iter,PID,start,end,instance,activation
0,27662,2351.296204493,2351.296211262,0,1
1,27662,2351.306194829,2351.306196675,0,0
2,27662,2351.316196012,2351.316197858,0,0
3,27662,2351.326192463,2351.326194194,0,0
4,27662,2351.336193838,2351.336195722,0,0
5,27662,2351.346395404,2351.346398674,0,0
6,27662,2351.356197164,2351.356199318,0,0
7,27662,2351.366196231,2351.373369185,0,1
8,27662,2351.376278297,2351.376280451,0,0
9,27662,2351.386354633,2351.386356441,0,0
10,27662,2351.396279662,2351.396280970,0,0
11,27662,2351.406195844,2351.406197152,0,0
12,27662,2351.416193488,2351.416194719,0,0
13,27662,2351.426190670,2351.426192093,0,0
14,27662,2351.436192891,2351.436194468,0,0
15,27662,2351.446193881,2351.446195304,0,0
16,27662,2351.457281062,2351.457283216,0,0
17,27662,2351.466201476,2351.466203592,0,0
18,27662,2351.476195351,2351.491909451,0,1
19,27662,2351.491941489,2351.491943066,0,0
20,27662,2351.496198177,2351.496198792,0,0
21,27662,2351.506192359,2351.506193513,0,0
22,27662,2351.516196157,2351.516197388,0,0
23,27662,2351.526191570,2351.526192493,0,0
24,27662,2351.536194829,2351.536196291,0,0
25,27662,2351.561877996,2351.561878880,0,0
26,27662,2351.561903842,2351.561904188,0,0
27,27662,2351.566203684,2351.584451396,0,1
28,27662,2351.584481896,2351.584484742,0,0
29,27662,2351.586199818,2351.586200433,0,0
30,27662,2351.596195692,2351.596196231,0,0
31,27662,2351.606189298,2351.606190682,0,0
32,27662,2351.616190634,2351.616191749,0,0
33,27662,2351.626211547,2351.626212547,0,0
34,27662,2351.636192267,2351.636193498,0,0
35,27662,2351.646190411,2351.646191296,0,0
36,27662,2351.659547706,2351.659548552,0,0
37,27662,2351.666325199,2351.666327968,0,0
38,27662,2351.676196420,2351.699056127,0,1
39,27662,2351.699072666,2351.699073550,0,0
40,27662,2351.709144579,2351.709146040,0,0
41,27662,2351.719142761,2351.719144107,0,0
42,27662,2351.729146828,2351.729147559,0,0
43,27662,2351.739298895,2351.739299395,0,0
44,27662,2351.749724654,2351.749725384,0,0
45,27662,2351.761167757,2351.761168488,0,0
46,27662,2351.769146096,2351.769148057,0,0
47,27662,2351.779145509,2351.779147355,0,0
48,27662,2351.789143422,2351.807516865,0,1
49,27662,2351.807535711,2351.807537480,0,0
50,27662,2351.809141055,2351.809142094,0,0
51,27662,2351.819139007,2351.819140238,0,0
52,27662,2351.829140305,2351.829141612,0,0
53,27662,2351.839205218,2351.839208602,0,0
54,27662,2351.856051508,2351.856052316,0,0
55,27662,2351.859143544,2351.859146044,0,0
56,27662,2351.869148534,2351.889716436,0,1
57,27662,2351.889735782,2351.889737744,0,0
58,27662,2351.899808888,2351.899811041,0,0
59,27662,2351.909805570,2351.909806647,0,0
60,27662,2351.919805021,2351.919806137,0,0
61,27662,2351.929803011,2351.929804011,0,0
62,27662,2351.940066540,2351.940069540,0,0
63,27662,2351.952270104,2351.952272143,0,0
64,27662,2351.964388477,2351.964389438,0,0
65,27662,2351.969808817,2351.988805606,0,1
66,27662,2351.988837760,2351.988840914,0,0
67,27662,2351.989812144,2351.989813605,0,0
68,27662,2351.999804403,2351.999805749,0,0
69,27662,2352.009806124,2352.009807354,0,0
70,27662,2352.019805575,2352.019806806,0,0
71,27662,2352.029882103,2352.029883373,0,0
72,27662,2352.039802901,2352.039804247,0,0
73,27662,2352.049805853,2352.049807122,0,0
74,27662,2352.059808304,2352.059810227,0,0
75,27662,2352.072042638,2352.072045984,0,0
76,27662,2352.079813092,2352.079816015,0,0
77,27662,2352.093017309,2352.124208817,0,1
78,27662,2352.124230432,2352.124232586,0,0
79,27662,2352.134300537,2352.134302460,0,0
80,27662,2352.144299950,2352.144301950,0,0
81,27662,2352.154306402,2352.154309171,0,0
82,27662,2352.164305392,2352.164308276,0,0
83,27662,2352.174331382,2352.192634440,0,1
84,27662,2352.192666094,2352.192669094,0,0
85,27662,2352.194561477,2352.194563054,0,0
86,27662,2352.204546505,2352.204547890,0,0
87,27662,2352.214302957,2352.214304534,0,0
88,27662,2352.224300332,2352.224301755,0,0
89,27662,2352.234351899,2352.234354245,0,0
90,27662,2352.244301312,2352.244303927,0,0
91,27662,2352.254305917,2352.254309379,0,0
92,27662,2352.264301599,2352.286425654,0,1
93,27662,2352.286453269,2352.286455269,0,0
94,27662,2352.296523452,2352.296525067,0,0
95,27662,2352.306522134,2352.306523711,0,0
96,27662,2352.316522162,2352.316523778,0,0
97,27662,2352.326521575,2352.326522883,0,0
98,27662,2352.336521412,2352.336523027,0,0
99,27662,2352.346582017,2352.346583786,0,0
100,27662,2352.358929543,2352.358931620,0,0
101,27662,2352.372299337,2352.372301260,0,0
102,27662,2352.376527141,2352.400909732,0,1
103,27662,2352.400938962,2352.400941309,0,0
104,27662,2352.411011222,2352.411013452,0,0
105,27662,2352.421046250,2352.421047942,0,0
106,27662,2352.431292240,2352.431292817,0,0
107,27662,2352.441267230,2352.441267999,0,0
108,27662,2352.451377450,2352.451378220,0,0
109,27662,2352.461008748,2352.461010671,0,0
110,27662,2352.478551731,2352.478553000,0,0
111,27662,2352.482594034,2352.482594804,0,0
112,27662,2352.491013372,2352.510066392,0,1
113,27662,2352.510095007,2352.510097892,0,0
114,27662,2352.511013314,2352.511013737,0,0
115,27662,2352.521006765,2352.521007765,0,0
116,27662,2352.531009832,2352.531010986,0,0
117,27662,2352.541009284,2352.541010437,0,0
118,27662,2352.560253687,2352.560254572,0,0
119,27662,2352.561012533,2352.561013879,0,0
120,27662,2352.571016523,2352.571018638,0,0
121,27662,2352.581013167,2352.600236878,0,1
122,27662,2352.600266917,2352.600270032,0,0
123,27662,2352.601006954,2352.601008031,0,0
124,27662,2352.611010867,2352.611011444,0,0
125,27662,2352.621008242,2352.621009434,0,0
126,27662,2352.631008424,2352.631009655,0,0
127,27662,2352.641006068,2352.641007299,0,0
128,27662,2352.651012366,2352.651013712,0,0
129,27662,2352.661506124,2352.661510471,0,0
130,27662,2352.671036615,2352.671039807,0,0
131,27662,2352.681014797,2352.699679355,0,1
132,27662,2352.699711548,2352.699714625,0,0
133,27662,2352.701006354,2352.701007508,0,0
134,27662,2352.711008921,2352.711010883,0,0
135,27662,2352.721010834,2352.721012257,0,0
136,27662,2352.731059978,2352.731061247,0,0
137,27662,2352.741006891,2352.741008699,0,0
138,27662,2352.751021650,2352.751025304,0,0
139,27662,2352.761011602,2352.761015179,0,0
140,27662,2352.771013399,2352.790702033,0,1
141,27662,2352.790733303,2352.790736226,0,0
142,27662,2352.791012841,2352.791013456,0,0
143,27662,2352.801007562,2352.801009715,0,0
144,27662,2352.811010167,2352.811012167,0,0
145,27662,2352.821011888,2352.821013426,0,0
146,27662,2352.831007339,2352.831008378,0,0
147,27662,2352.841041522,2352.841042714,0,0
148,27662,2352.851008281,2352.851009358,0,0
149,27662,2352.869114532,2352.869115493,0,0
150,27662,2352.871015145,2352.871016915,0,0
151,27662,2352.881009097,2352.881010751,0,0
152,27662,2352.891009048,2352.912203335,0,1
153,27662,2352.912233643,2352.912236258,0,0
154,27662,2352.922302440,2352.922303786,0,0
155,27662,2352.932299892,2352.932300969,0,0
156,27662,2352.942302151,2352.942303228,0,0
157,27662,2352.952300410,2352.952301872,0,0
158,27662,2352.967685818,2352.967687779,0,0
159,27662,2352.972301890,2352.972304275,0,0
160,27662,2352.982310457,2353.000083824,0,1
161,27662,2353.000113285,2353.000116093,0,0
162,27662,2353.002303437,2353.002304783,0,0
163,27662,2353.012298581,2353.012299696,0,0
164,27662,2353.022302571,2353.022303109,0,0
165,27662,2353.032298792,2353.032299369,0,0
166,27662,2353.042301705,2353.042303012,0,0
167,27662,2353.052299849,2353.052301156,0,0
168,27662,2353.064835182,2353.064835951,0,0
169,27662,2353.072305521,2353.072307367,0,0
170,27662,2353.082375318,2353.101428376,0,1
171,27662,2353.101459184,2353.101462376,0,0
172,27662,2353.102854952,2353.102855413,0,0
173,27662,2353.112444442,2353.112445058,0,0
174,27662,2353.122564971,2353.122566971,0,0
175,27662,2353.132604845,2353.132606345,0,0
176,27662,2353.142721373,2353.142723797,0,0
177,27662,2353.152421902,2353.152424979,0,0
178,27662,2353.162312508,2353.162315508,0,0
179,27662,2353.172306998,2353.191959593,0,1
180,27662,2353.192073439,2353.192077016,0,0
181,27662,2353.192301093,2353.192302055,0,0
182,27662,2353.202335698,2353.202337583,0,0
183,27662,2353.212305727,2353.212307765,0,0
184,27662,2353.222302948,2353.222304948,0,0
185,27662,2353.232301322,2353.232303207,0,0
186,27662,2353.242301351,2353.242303158,0,0
187,27662,2353.252302764,2353.252305687,0,0
188,27662,2353.273141089,2353.273143781,0,0
189,27662,2353.273166551,2353.273166974,0,0
190,27662,2353.282308388,2353.303080405,0,1
191,27662,2353.303098021,2353.303100059,0,0
192,27662,2353.313165434,2353.313167434,0,0
193,27662,2353.323214847,2353.323216693,0,0
194,27662,2353.333168029,2353.333169683,0,0
195,27662,2353.343593557,2353.343596288,0,0
196,27662,2353.353169740,2353.353172124,0,0
197,27662,2353.367175495,2353.367178187,0,0
198,27662,2353.373172335,2353.373175335,0,0
199,27662,2353.383172787,2353.401577653,0,1
200,27662,2353.401608384,2353.401611307,0,0
201,27662,2353.403190036,2353.403191459,0,0
202,27662,2353.413182872,2353.413184257,0,0
203,27662,2353.423181554,2353.423182824,0,0
204,27662,2353.433182814,2353.433184160,0,0
205,27662,2353.443181650,2353.443182957,0,0
206,27662,2353.453195486,2353.453197024,0,0
207,27662,2353.463205937,2353.463207553,0,0
208,27662,2353.473199620,2353.473201312,0,0
209,27662,2353.483202917,2353.504068589,0,1
210,27662,2353.504096204,2353.504098204,0,0
211,27662,2353.514166310,2353.514167579,0,0
212,27662,2353.524162761,2353.524164300,0,0
213,27662,2353.534187366,2353.534188943,0,0
214,27662,2353.544167126,2353.544168472,0,0
215,27662,2353.554171154,2353.554174423,0,0
216,27662,2353.564169529,2353.564171144,0,0
217,27662,2353.574174173,2353.574176403,0,0
218,27662,2353.584215162,2353.603877104,0,1
219,27662,2353.603900604,2353.603902989,0,0
220,27662,2353.604173719,2353.604174181,0,0
221,27662,2353.614163440,2353.614164671,0,0
222,27662,2353.624161892,2353.624163123,0,0
223,27662,2353.634190497,2353.634191459,0,0
224,27662,2353.644186718,2353.644187910,0,0
225,27662,2353.672857689,2353.672858766,0,0
226,27662,2353.672882074,2353.672882420,0,0
227,27662,2353.674180649,2353.696764550,0,1
228,27662,2353.696788627,2353.696790204,0,0
229,27662,2353.706859886,2353.706860963,0,0
230,27662,2353.716922299,2353.716923799,0,0
231,27662,2353.726856674,2353.726857635,0,0
232,27662,2353.736855356,2353.736856702,0,0
233,27662,2353.746867654,2353.746870692,0,0
234,27662,2353.760043448,2353.760046256,0,0
235,27662,2353.766860364,2353.786354999,0,1
236,27662,2353.786381383,2353.786382806,0,0
237,27662,2353.786858344,2353.786858806,0,0
238,27662,2353.796857873,2353.796858642,0,0
239,27662,2353.806857209,2353.806857978,0,0
240,27662,2353.816857661,2353.816858430,0,0
241,27662,2353.826857343,2353.826858035,0,0
242,27662,2353.839439599,2353.839440330,0,0
243,27662,2353.858835119,2353.858835849,0,0
244,27662,2353.858853042,2353.858853580,0,0
245,27662,2353.866858726,2353.888827319,0,1
246,27662,2353.888846512,2353.888848588,0,0
247,27662,2353.898914309,2353.898915425,0,0
248,27662,2353.908917799,2353.908919299,0,0
249,27662,2353.918943020,2353.918944251,0,0
250,27662,2353.928917856,2353.928919472,0,0
251,27662,2353.939273692,2353.939276846,0,0
252,27662,2353.950103873,2353.950107643,0,0
253,27662,2353.963559514,2353.963560783,0,0
254,27662,2353.968919585,2353.988656258,0,1
255,27662,2353.988685296,2353.988687219,0,0
256,27662,2353.988917065,2353.988917488,0,0
257,27662,2353.998914517,2353.998915517,0,0
258,27662,2354.008916161,2354.008917661,0,0
259,27662,2354.018943689,2354.018945612,0,0
260,27662,2354.028979372,2354.028980987,0,0
261,27662,2354.038925054,2354.038926939,0,0
262,27662,2354.048913736,2354.048915505,0,0
263,27662,2354.061751954,2354.061755800,0,0
264,27662,2354.068922755,2354.068925832,0,0
265,27662,2354.078920822,2354.100654761,0,1
266,27662,2354.100684838,2354.100687377,0,0
267,27662,2354.110753982,2354.110755905,0,0
268,27662,2354.120752664,2354.120754818,0,0
269,27662,2354.130752154,2354.130754001,0,0
270,27662,2354.140742144,2354.140744221,0,0
271,27662,2354.152611863,2354.152615094,0,0
272,27662,2354.160754740,2354.160757971,0,0
273,27662,2354.172204498,2354.197759780,0,1
274,27662,2354.197789472,2354.197791626,0,0
275,27662,2354.207857462,2354.207858539,0,0
276,27662,2354.217857452,2354.217859260,0,0
277,27662,2354.227855750,2354.227857134,0,0
278,27662,2354.237858047,2354.237859740,0,0
279,27662,2354.247965653,2354.247969576,0,0
280,27662,2354.266566173,2354.266566865,0,0
281,27662,2354.268081517,2354.268085286,0,0
282,27662,2354.277865392,2354.306890555,0,1
283,27662,2354.306918440,2354.306920709,0,0
284,27662,2354.316986699,2354.316988161,0,0
285,27662,2354.326988112,2354.326989497,0,0
286,27662,2354.336988371,2354.336989833,0,0
287,27662,2354.346986246,2354.346987438,0,0
288,27662,2354.378627445,2354.378628291,0,0
289,27662,2354.378646022,2354.378646330,0,0
290,27662,2354.388721435,2354.418534982,0,1
