iter,PID,start,end,instance,activation
0,27464,2313.268330036,2313.268331575,1,1
1,27464,2313.278326103,2313.278327449,1,0
2,27464,2313.288327707,2313.288328900,1,0
3,27464,2313.298329005,2313.298330158,1,0
4,27464,2313.308328917,2313.308330109,1,0
5,27464,2313.318323291,2313.318324445,1,0
6,27464,2313.328330281,2313.328331511,1,0
7,27464,2313.338327962,2313.338329193,1,0
8,27464,2313.348339606,2313.348340567,1,0
9,27464,2313.358327057,2313.358551210,2,1
10,27464,2313.368327200,2313.368328392,2,0
11,27464,2313.378329228,2313.378331112,2,0
12,27464,2313.388330409,2313.388333833,2,0
13,27464,2313.398447399,2313.398450360,2,0
14,27464,2313.408332081,2313.408333696,2,0
15,27464,2313.418327839,2313.418329301,2,0
16,27464,2313.428326406,2313.428329213,2,0
17,27464,2313.438326164,2313.438327626,2,0
18,27464,2313.448328269,2313.448329846,2,0
19,27464,2313.458328259,2313.458329489,2,0
20,27464,2313.468351786,2313.468609825,3,1
21,27464,2313.478331314,2313.478333430,3,0
22,27464,2313.488333804,2313.488336188,3,0
23,27464,2313.498329216,2313.498331601,3,0
24,27464,2313.508331436,2313.508332975,3,0
25,27464,2313.518329426,2313.518330618,3,0
26,27464,2313.528329915,2313.528331377,3,0
27,27464,2313.538325943,2313.538327289,3,0
28,27464,2313.548329125,2313.548330471,3,0
29,27464,2313.558332538,2313.558589268,4,1
30,27464,2313.568326181,2313.568327758,4,0
31,27464,2313.578330247,2313.578332093,4,0
32,27464,2313.588331044,2313.588333044,4,0
33,27464,2313.598327995,2313.598329149,4,0
34,27464,2313.608326254,2313.608327446,4,0
35,27464,2313.618363897,2313.618365166,4,0
36,27464,2313.628309040,2313.628310733,4,0
37,27464,2313.638324491,2313.638325530,4,0
38,27464,2313.648328250,2313.648329404,4,0
39,27464,2313.658325701,2313.658581162,5,1
40,27464,2313.668327498,2313.668329614,5,0
41,27464,2313.678328718,2313.678331565,5,0
42,27464,2313.688335669,2313.688337939,5,0
43,27464,2313.698328197,2313.698330620,5,0
44,27464,2313.708333379,2313.708335379,5,0
45,27464,2313.718323138,2313.718325253,5,0
46,27464,2313.728324781,2313.728326166,5,0
47,27464,2313.738327309,2313.738328809,5,0
48,27464,2313.748328644,2313.748576183,6,1
49,27464,2313.758330288,2313.758331865,6,0
50,27464,2313.768330931,2313.768332277,6,0
51,27464,2313.778329113,2313.778330844,6,0
52,27464,2313.788326910,2313.788328333,6,0
53,27464,2313.798330207,2313.798331784,6,0
54,27464,2313.808333043,2313.808334235,6,0
55,27464,2313.818324378,2313.818326070,6,0
56,27464,2313.828327675,2313.828328445,6,0
57,27464,2313.838324511,2313.838325088,6,0
58,27464,2313.848328616,2313.848579231,7,1
59,27464,2313.858330144,2313.858331836,7,0
60,27464,2313.868327787,2313.868329748,7,0
61,27464,2313.878331892,2313.878333584,7,0
62,27464,2313.888330458,2313.888331920,7,0
63,27464,2313.898328794,2313.898330140,7,0
64,27464,2313.908329860,2313.908331091,7,0
65,27464,2313.918323849,2313.918324965,7,0
66,27464,2313.928329224,2313.928330339,7,0
67,27464,2313.938326598,2313.938327636,7,0
68,27464,2313.948324472,2313.948325587,7,0
69,27464,2313.958327115,2313.958328076,7,0
70,27464,2313.968325989,2313.968576527,8,1
71,27464,2313.978334517,2313.978336171,8,0
72,27464,2313.988326122,2313.988327853,8,0
73,27464,2313.998330073,2313.998331534,8,0
74,27464,2314.008332408,2314.008333601,8,0
75,27464,2314.018327321,2314.018328475,8,0
76,27464,2314.028328541,2314.028329810,8,0
77,27464,2314.038328492,2314.038329492,8,0
78,27464,2314.048327943,2314.048329097,8,0
79,27464,2314.058327586,2314.058588509,9,1
80,27464,2314.068327768,2314.068330191,9,0
81,27464,2314.078333411,2314.078335988,9,0
82,27464,2314.088334478,2314.088336824,9,0
83,27464,2314.098329198,2314.098331313,9,0
84,27464,2314.108331995,2314.108333726,9,0
85,27464,2314.118326485,2314.118327792,9,0
86,27464,2314.128328782,2314.128329936,9,0
87,27464,2314.138325887,2314.138326963,9,0
88,27464,2314.148328568,2314.148329607,9,0
89,27464,2314.158329865,2314.158587404,10,1
90,27464,2314.168325316,2314.168328009,10,0
91,27464,2314.178329767,2314.178331460,10,0
92,27464,2314.188332257,2314.188333526,10,0
93,27464,2314.198328477,2314.198329631,10,0
94,27464,2314.208328428,2314.208329697,10,0
95,27464,2314.218328725,2314.218330033,10,0
96,27464,2314.228325830,2314.228327215,10,0
97,27464,2314.238390127,2314.238391435,10,0
98,27464,2314.248328309,2314.248575693,11,1
99,27464,2314.258329529,2314.258331298,11,0
100,27464,2314.268329288,2314.268331442,11,0
101,27464,2314.278330277,2314.278332123,11,0
102,27464,2314.288329421,2314.288330959,11,0
103,27464,2314.298328487,2314.298329641,11,0
104,27464,2314.308328515,2314.308329669,11,0
105,27464,2314.318327658,2314.318328735,11,0
106,27464,2314.328327878,2314.328328878,11,0
107,27464,2314.338337983,2314.338339099,11,0
108,27464,2314.348404473,2314.348653088,12,1
109,27464,2314.358328347,2314.358329962,12,0
110,27464,2314.368326336,2314.368328259,12,0
111,27464,2314.378332210,2314.378333979,12,0
112,27464,2314.388328700,2314.388329969,12,0
113,27464,2314.398331266,2314.398332881,12,0
114,27464,2314.408332140,2314.408333409,12,0
115,27464,2314.418325783,2314.418327091,12,0
116,27464,2314.428328657,2314.428330119,12,0
117,27464,2314.438331301,2314.438332147,12,0
118,27464,2314.448327944,2314.448329098,12,0
119,27464,2314.458327049,2314.458580433,13,1
120,27464,2314.468326884,2314.468328461,13,0
121,27464,2314.478330951,2314.478333643,13,0
122,27464,2314.488331133,2314.488333094,13,0
123,27464,2314.498329007,2314.498331276,13,0
124,27464,2314.508326150,2314.508328035,13,0
125,27464,2314.518327139,2314.518328986,13,0
126,27464,2314.528326860,2314.528328090,13,0
127,27464,2314.538338811,2314.538340080,13,0
128,27464,2314.548324992,2314.548326339,13,0
129,27464,2314.558330982,2314.558591135,14,1
130,27464,2314.568326317,2314.568328317,14,0
131,27464,2314.578330384,2314.578332230,14,0
132,27464,2314.588325489,2314.588327527,14,0
133,27464,2314.598330670,2314.598332209,14,0
134,27464,2314.608326621,2314.608327814,14,0
135,27464,2314.618325842,2314.618326957,14,0
136,27464,2314.628327831,2314.628329062,14,0
137,27464,2314.638333320,2314.638334436,14,0
138,27464,2314.648325887,2314.648583810,15,1
139,27464,2314.658335530,2314.658337607,15,0
140,27464,2314.668327597,2314.668329635,15,0
141,27464,2314.678331509,2314.678333317,15,0
142,27464,2314.688329306,2314.688331075,15,0
143,27464,2314.698328719,2314.698330949,15,0
144,27464,2314.708328785,2314.708330170,15,0
145,27464,2314.718350351,2314.718352044,15,0
146,27464,2314.728327418,2314.728328649,15,0
147,27464,2314.738328523,2314.738329830,15,0
148,27464,2314.748324512,2314.748574820,16,1
149,27464,2314.758331002,2314.758332655,16,0
150,27464,2314.768330991,2314.768332760,16,0
151,27464,2314.778331750,2314.778333634,16,0
152,27464,2314.788328355,2314.788329739,16,0
153,27464,2314.798337152,2314.798338498,16,0
154,27464,2314.808373141,2314.808374718,16,0
155,27464,2314.818286092,2314.818287438,16,0
156,27464,2314.828328466,2314.828330005,16,0
157,27464,2314.838332686,2314.838334033,16,0
158,27464,2314.848326484,2314.848327791,16,0
159,27464,2314.858324896,2314.858574934,17,1
160,27464,2314.868327385,2314.868329155,17,0
161,27464,2314.878330067,2314.878332490,17,0
162,27464,2314.888331749,2314.888333980,17,0
163,27464,2314.898331777,2314.898333931,17,0
164,27464,2314.908327074,2314.908328997,17,0
165,27464,2314.918328064,2314.918329640,17,0
166,27464,2314.928326438,2314.928327745,17,0
167,27464,2314.938327812,2314.938328850,17,0
168,27464,2314.948327570,2314.948577993,18,1
169,27464,2314.958330791,2314.958332752,18,0
170,27464,2314.968327934,2314.968329934,18,0
171,27464,2314.978333077,2314.978335308,18,0
172,27464,2314.988329682,2314.988331374,18,0
173,27464,2314.998331518,2314.998332902,18,0
174,27464,2315.008333699,2315.008335007,18,0
175,27464,2315.018327458,2315.018328612,18,0
176,27464,2315.028327140,2315.028328909,18,0
177,27464,2315.038331706,2315.038333168,18,0
178,27464,2315.048331388,2315.048591619,19,1
179,27464,2315.058330762,2315.058332762,19,0
180,27464,2315.068328059,2315.068330329,19,0
181,27464,2315.078332626,2315.078335087,19,0
182,27464,2315.088329923,2315.088331769,19,0
183,27464,2315.098330720,2315.098332951,19,0
184,27464,2315.108332671,2315.108334440,19,0
185,27464,2315.118325930,2315.118327314,19,0
186,27464,2315.128325227,2315.128326535,19,0
187,27464,2315.138329255,2315.138330524,19,0
188,27464,2315.148329360,2315.148330552,19,0
189,27464,2315.158333426,2315.158597772,20,1
190,27464,2315.168328454,2315.168330146,20,0
191,27464,2315.178329636,2315.178331482,20,0
192,27464,2315.188329779,2315.188331241,20,0
193,27464,2315.198329615,2315.198330845,20,0
194,27464,2315.208332220,2315.208333450,20,0
195,27464,2315.218327671,2315.218329017,20,0
196,27464,2315.228327852,2315.228329814,20,0
197,27464,2315.238329380,2315.238330765,20,0
198,27464,2315.248328408,2315.248330331,20,0
199,27464,2315.258327128,2315.258589397,21,1
200,27464,2315.268328195,2315.268330310,21,0
201,27464,2315.278336107,2315.278338453,21,0
202,27464,2315.288330058,2315.288332481,21,0
203,27464,2315.298329394,2315.298331317,21,0
204,27464,2315.308331691,2315.308333806,21,0
205,27464,2315.318328296,2315.318329950,21,0
206,27464,2315.328327901,2315.328329324,21,0
207,27464,2315.338329583,2315.338331506,21,0
208,27464,2315.348330187,2315.348332110,21,0
209,27464,2315.358374946,2315.358633177,22,1
210,27464,2315.368402705,2315.368404782,22,0
211,27464,2315.378283194,2315.378285117,22,0
212,27464,2315.388328068,2315.388329414,22,0
213,27464,2315.398344981,2315.398345673,22,0
214,27464,2315.408330201,2315.408331201,22,0
215,27464,2315.418328537,2315.418329652,22,0
216,27464,2315.428337526,2315.428338834,22,0
