iter,PID,start,end,instance,activation
0,27567,2319.094035827,2319.098093285,58,0
1,27567,2319.104097586,2319.104100163,58,0
2,27567,2319.114090460,2319.114092999,58,0
3,27567,2319.124089527,2319.124103873,58,0
4,27567,2319.134091478,2319.134110401,58,0
5,27567,2319.144087006,2319.144089429,58,0
6,27567,2319.154090380,2319.154092303,58,0
7,27567,2319.164091523,2319.194858222,59,1
8,27567,2319.196079182,2319.196082336,59,0
9,27567,2319.206133902,2319.206135710,59,0
10,27567,2319.216133853,2319.216151430,59,0
11,27567,2319.226132766,2319.226134920,59,0
12,27567,2319.236175217,2319.236176832,59,0
13,27567,2319.246153553,2319.246155014,59,0
14,27567,2319.256134465,2319.276673021,60,1
15,27567,2319.276706559,2319.276719944,60,0
16,27567,2319.286777087,2319.286778318,60,0
17,27567,2319.296779192,2319.296780923,60,0
18,27567,2319.306774412,2319.306775951,60,0
19,27567,2319.316775479,2319.316776979,60,0
20,27567,2319.326807237,2319.326808853,60,0
21,27567,2319.336774419,2319.336776035,60,0
22,27567,2319.346772524,2319.346789755,60,0
23,27567,2319.356776129,2319.377172761,61,1
24,27567,2319.377192300,2319.377194377,61,0
25,27567,2319.387261559,2319.387262789,61,0
26,27567,2319.397263548,2319.397264817,61,0
27,27567,2319.407259384,2319.407260730,61,0
28,27567,2319.417261566,2319.417262835,61,0
29,27567,2319.427263824,2319.427281786,61,0
30,27567,2319.437259468,2319.437261237,61,0
31,27567,2319.447259842,2319.447261611,61,0
32,27567,2319.457261024,2319.477714195,62,1
33,27567,2319.477732771,2319.477735002,62,0
34,27567,2319.487803569,2319.487804607,62,0
35,27567,2319.497798173,2319.497799673,62,0
36,27567,2319.507824663,2319.507826086,62,0
37,27567,2319.517804306,2319.517822806,62,0
38,27567,2319.527805180,2319.527807565,62,0
39,27567,2319.537801939,2319.537804439,62,0
40,27567,2319.547800621,2319.547802967,62,0
41,27567,2319.557802726,2319.578083243,63,1
42,27567,2319.578102012,2319.578104051,63,0
43,27567,2319.588166694,2319.588180386,63,0
44,27567,2319.598173953,2319.598175414,63,0
45,27567,2319.608173404,2319.608174596,63,0
46,27567,2319.618171201,2319.618172740,63,0
47,27567,2319.628167383,2319.628169075,63,0
48,27567,2319.638169565,2319.638171411,63,0
49,27567,2319.648168324,2319.648169862,63,0
50,27567,2319.659037197,2319.659040812,63,0
51,27567,2319.668170456,2319.690026934,64,1
52,27567,2319.690049510,2319.690063010,64,0
53,27567,2319.700115500,2319.700118000,64,0
54,27567,2319.710118220,2319.710119528,64,0
55,27567,2319.720121287,2319.720123210,64,0
56,27567,2319.730119853,2319.730121545,64,0
57,27567,2319.740121266,2319.740123266,64,0
58,27567,2319.750184217,2319.750198986,64,0
59,27567,2319.760115129,2319.760116783,64,0
60,27567,2319.770119427,2319.791274712,65,1
61,27567,2319.791296366,2319.791297904,65,0
62,27567,2319.801362548,2319.801364432,65,0
63,27567,2319.811365653,2319.811366614,65,0
64,27567,2319.821367334,2319.821369027,65,0
65,27567,2319.831364862,2319.831380439,65,0
66,27567,2319.841367621,2319.841369390,65,0
67,27567,2319.851369495,2319.851372111,65,0
68,27567,2319.861364062,2319.882193078,66,1
69,27567,2319.882215655,2319.882217386,66,0
70,27567,2319.892283529,2319.892285952,66,0
71,27567,2319.902288057,2319.902290096,66,0
72,27567,2319.912425624,2319.912427124,66,0
73,27567,2319.922286344,2319.922287883,66,0
