iter,PID,start,end,instance,activation
0,28045,2357.486786923,2357.486963192,0,1
1,28045,2357.526960383,2357.527091114,0,1
2,28045,2357.566938189,2357.567336689,0,1
3,28045,2357.606867996,2357.606998265,0,1
4,28045,2357.646866225,2357.647007533,0,1
5,28045,2357.686863493,2357.687040185,0,1
6,28045,2357.726932299,2357.727065761,0,1
7,28045,2357.767040221,2357.767176336,0,1
8,28045,2357.806915758,2357.807053489,0,1
9,28045,2357.846875719,2357.847019565,0,1
10,28045,2357.886902140,2357.887022063,0,1
11,28045,2357.926873101,2357.926993331,0,1
12,28045,2357.966867599,2357.967013176,0,1
13,28045,2358.007007290,2358.007130790,0,1
14,28045,2358.047393173,2358.047536673,0,1
15,28045,2358.087444941,2358.087576787,0,1
16,28045,2358.126864402,2358.127018979,0,1
17,28045,2358.166868977,2358.167005131,0,1
18,28045,2358.206866361,2358.234542102,0,1
19,28045,2358.247589974,2358.247675859,0,1
20,28045,2358.286868858,2358.286933704,0,1
21,28045,2358.326872780,2358.326940088,0,1
22,28045,2358.366862048,2358.366948086,0,1
23,28045,2358.406864739,2358.406926547,0,1
24,28045,2358.446864891,2358.446943238,0,1
25,28045,2358.488068504,2358.488123504,0,1
26,28045,2358.526930581,2358.526996312,0,1
27,28045,2358.566950272,2358.567031003,0,1
28,28045,2358.606868386,2358.606929463,0,1
29,28045,2358.646916270,2358.646978500,0,1
30,28045,2358.686865768,2358.686939922,0,1
31,28045,2358.726907536,2358.726972344,0,1
32,28045,2358.766874227,2358.766940920,0,1
33,28045,2358.806864534,2358.806949611,0,1
34,28045,2358.846865186,2358.846935725,0,1
35,28045,2358.886866531,2358.886927262,0,1
36,28045,2358.926870953,2358.926941722,0,1
37,28045,2358.967192336,2358.967244874,0,1
38,28045,2359.007109912,2359.007164912,0,1
39,28045,2359.046874834,2359.046941488,0,1
40,28045,2359.086864948,2359.086931948,0,1
41,28045,2359.126863524,2359.126940870,0,1
42,28045,2359.168632367,2359.168698636,0,1
43,28045,2359.206862444,2359.206930521,0,1
44,28045,2359.246863097,2359.246946635,0,1
45,28045,2359.287245288,2359.287293634,0,1
46,28045,2359.328057055,2359.328109516,0,1
47,28045,2359.366960747,2359.367034247,0,1
48,28045,2359.406866707,2359.406929361,0,1
49,28045,2359.446869360,2359.446943629,0,1
50,28045,2359.486870859,2359.486936743,0,1
51,28045,2359.526955165,2359.527025165,0,1
52,28045,2359.568073047,2359.568142163,0,1
53,28045,2359.606868086,2359.606935663,0,1
54,28045,2359.646867431,2359.646944777,0,1
55,28045,2359.686868276,2359.686934814,0,1
56,28045,2359.727160274,2359.727213736,0,1
57,28045,2359.766874119,2359.766956388,0,1
58,28045,2359.806867733,2359.806929772,0,1
59,28045,2359.847503616,2359.847573385,0,1
60,28045,2359.886876231,2359.886958000,0,1
61,28045,2359.926868153,2359.926932422,0,1
62,28045,2359.968074266,2359.968157343,0,1
63,28045,2360.006867112,2360.006929497,0,1
64,28045,2360.046870303,2360.046924649,0,1
65,28045,2360.086865340,2360.086929033,0,1
66,28045,2360.126936608,2360.127004608,0,1
67,28045,2360.166910876,2360.166981992,0,1
68,28045,2360.206867991,2360.206934606,0,1
69,28045,2360.246873605,2360.246928759,0,1
70,28045,2360.286871565,2360.286947450,0,1
71,28045,2360.326886602,2360.326935833,0,1
72,28045,2360.366863024,2360.366919563,0,1
73,28045,2360.406862908,2360.406938177,0,1
74,28045,2360.446869137,2360.446936137,0,1
75,28045,2360.486867021,2360.486949828,0,1
76,28045,2360.526863558,2360.526916173,0,1
77,28045,2360.566863942,2360.566948018,0,1
78,28045,2360.606827287,2360.606879248,0,1
79,28045,2360.647067324,2360.647135670,0,1
80,28045,2360.687071861,2360.687123361,0,1
81,28045,2360.727017667,2360.727088090,0,1
82,28045,2360.766870743,2360.766936512,0,1
83,28045,2360.806866896,2360.806922127,0,1
84,28045,2360.846859318,2360.846925702,0,1
85,28045,2360.886866317,2360.886948047,0,1
86,28045,2360.926884892,2360.926945162,0,1
87,28045,2360.968068967,2360.968140659,0,1
88,28045,2361.008261966,2361.008323312,0,1
89,28045,2361.046909428,2361.046978504,0,1
90,28045,2361.087143695,2361.087187118,0,1
91,28045,2361.126874541,2361.126948233,0,1
92,28045,2361.169602421,2361.169664075,0,1
93,28045,2361.207504576,2361.207554692,0,1
94,28045,2361.247484844,2361.247555152,0,1
95,28045,2361.287358728,2361.287409151,0,1
96,28045,2361.327502534,2361.327554765,0,1
97,28045,2361.368193186,2361.368258763,0,1
98,28045,2361.408043916,2361.408096416,0,1
99,28045,2361.447351954,2361.447421800,0,1
100,28045,2361.486894607,2361.486941992,0,1
101,28045,2361.527512375,2361.527581913,0,1
102,28045,2361.567419720,2361.567472412,0,1
103,28045,2361.606909181,2361.606952219,0,1
104,28045,2361.646862411,2361.646920949,0,1
105,28045,2361.687053602,2361.687115294,0,1
106,28045,2361.726868447,2361.726920178,0,1
107,28045,2361.766866676,2361.766925753,0,1
108,28045,2361.806865714,2361.806927560,0,1
109,28045,2361.847364366,2361.847434174,0,1
110,28045,2361.886975404,2361.887023750,0,1
111,28045,2361.926866210,2361.926935172,0,1
112,28045,2361.966866286,2361.966919017,0,1
113,28045,2362.007229246,2362.007295439,0,1
114,28045,2362.047133899,2362.047188438,0,1
115,28045,2362.087235821,2362.087308513,0,1
116,28045,2362.127362281,2362.127414089,0,1
117,28045,2362.166914089,2362.166978165,0,1
118,28045,2362.207292472,2362.207362741,0,1
119,28045,2362.247406470,2362.247480701,0,1
120,28045,2362.287136354,2362.287187162,0,1
121,28045,2362.327239545,2362.327309776,0,1
122,28045,2362.368065505,2362.368132197,0,1
123,28045,2362.407178659,2362.407226697,0,1
124,28045,2362.449006540,2362.449073848,0,1
125,28045,2362.486938964,2362.486990926,0,1
126,28045,2362.526870233,2362.526936502,0,1
127,28045,2362.566875309,2362.566927501,0,1
128,28045,2362.606863538,2362.606936269,0,1
129,28045,2362.647626190,2362.647678152,0,1
130,28045,2362.686873190,2362.686925228,0,1
131,28045,2362.726862266,2362.726929920,0,1
132,28045,2362.768059379,2362.768108763,0,1
133,28045,2362.806861264,2362.806909033,0,1
134,28045,2362.846861339,2362.846927686,0,1
135,28045,2362.886869723,2362.886922031,0,1
136,28045,2362.926862876,2362.926911953,0,1
137,28045,2362.966863144,2362.966931029,0,1
138,28045,2363.006858797,2363.006906335,0,1
139,28045,2363.048041141,2363.048089179,0,1
140,28045,2363.086870526,2363.086940487,0,1
141,28045,2363.126859486,2363.126905678,0,1
142,28045,2363.166865600,2363.166941177,0,1
143,28045,2363.206861676,2363.206913022,0,1
144,28045,2363.247329444,2363.247403021,0,1
145,28045,2363.286816674,2363.286868059,0,1
146,28045,2363.326821173,2363.326874750,0,1
147,28045,2363.368074863,2363.368149709,0,1
148,28045,2363.406824441,2363.406873402,0,1
149,28045,2363.446854401,2363.446904093,0,1
150,28045,2363.486867515,2363.486935784,0,1
151,28045,2363.526861976,2363.526912168,0,1
152,28045,2363.566861513,2363.566924282,0,1
153,28045,2363.606856897,2363.606901974,0,1
154,28045,2363.647528049,2363.647592049,0,1
155,28045,2363.686867510,2363.686923318,0,1
156,28045,2363.726923201,2363.726975394,0,1
157,28045,2363.766863393,2363.766930893,0,1
158,28045,2363.806862584,2363.806912892,0,1
159,28045,2363.846863352,2363.846936391,0,1
160,28045,2363.887196505,2363.887246659,0,1
161,28045,2363.926866619,2363.926944273,0,1
162,28045,2363.967419926,2363.967473426,0,1
163,28045,2364.007080079,2364.007126271,0,1
164,28045,2364.047198693,2364.047248578,0,1
165,28045,2364.086861000,2364.086938154,0,1
166,28045,2364.126874038,2364.126936884,0,1
167,28045,2364.166944421,2364.166997075,0,1
168,28045,2364.207099459,2364.207170189,0,1
169,28045,2364.246862419,2364.246913535,0,1
170,28045,2364.287470187,2364.287537264,0,1
171,28045,2364.326861148,2364.326914225,0,1
172,28045,2364.366869993,2364.366919570,0,1
173,28045,2364.406865839,2364.406932915,0,1
174,28045,2364.446936761,2364.446984761,0,1
175,28045,2364.486874683,2364.486948106,0,1
176,28045,2364.526864066,2364.526913643,0,1
177,28045,2364.567301757,2364.567367527,0,1
178,28045,2364.606866872,2364.606916411,0,1
179,28045,2364.646864025,2364.646930217,0,1
180,28045,2364.686861986,2364.686911370,0,1
181,28045,2364.726884600,2364.726934446,0,1
182,28045,2364.766918945,2364.766984599,0,1
183,28045,2364.807080175,2364.807126367,0,1
184,28045,2364.846864405,2364.846932751,0,1
185,28045,2364.886864288,2364.886912481,0,1
186,28045,2364.926862480,2364.926920287,0,1
187,28045,2364.966866633,2364.966930133,0,1
188,28045,2365.006865170,2365.006914440,0,1
189,28045,2365.046865362,2365.046914977,0,1
190,28045,2365.086862822,2365.086930861,0,1
191,28045,2365.126931975,2365.126979552,0,1
192,28045,2365.167074513,2365.167121320,0,1
193,28045,2365.207226319,2365.207290858,0,1
194,28045,2365.247144780,2365.247214934,0,1
195,28045,2365.286869087,2365.286923279,0,1
196,28045,2365.326864201,2365.326918971,0,1
197,28045,2365.366866470,2365.366915239,0,1
198,28045,2365.406862777,2365.406930546,0,1
199,28045,2365.446928083,2365.446976275,0,1
200,28045,2365.486860967,2365.486928852,0,1
201,28045,2365.526912004,2365.526960351,0,1
202,28045,2365.566862773,2365.566929580,0,1
203,28045,2365.606857272,2365.606903810,0,1
204,28045,2365.647624270,2365.647690539,0,1
205,28045,2365.687118847,2365.687170424,0,1
206,28045,2365.726864538,2365.726914538,0,1
207,28045,2365.766871768,2365.766938999,0,1
208,28045,2365.806861190,2365.806908460,0,1
209,28045,2365.847296228,2365.847358843,0,1
210,28045,2365.886868112,2365.886915650,0,1
211,28045,2365.926861726,2365.926920188,0,1
212,28045,2365.966860379,2365.966919187,0,1
213,28045,2366.007052955,2366.007095763,0,1
214,28045,2366.046868339,2366.046937070,0,1
215,28045,2366.086872030,2366.086926376,0,1
216,28045,2366.126861953,2366.126910606,0,1
217,28045,2366.167432567,2366.167508720,0,1
218,28045,2366.206861335,2366.206914028,0,1
219,28045,2366.247010565,2366.247078988,0,1
220,28045,2366.286908141,2366.286954526,0,1
221,28045,2366.326894410,2366.326969564,0,1
222,28045,2366.366966870,2366.367017024,0,1
223,28045,2366.406867600,2366.406917908,0,1
224,28045,2366.446873907,2366.446926638,0,1
225,28045,2366.486862291,2366.486935175,0,1
226,28045,2366.527411790,2366.527471713,0,1
227,28045,2366.566892674,2366.566938866,0,1
228,28045,2366.606858327,2366.606925711,0,1
229,28045,2366.647060903,2366.647110172,0,1
230,28045,2366.686871748,2366.686935402,0,1
231,28045,2366.726887401,2366.726955747,0,1
232,28045,2366.766965554,2366.767013900,0,1
233,28045,2366.806863130,2366.806930015,0,1
234,28045,2366.846862668,2366.846916860,0,1
235,28045,2366.886863821,2366.886930667,0,1
236,28045,2366.926862589,2366.926928012,0,1
237,28045,2366.966923165,2366.966975742,0,1
238,28045,2367.006863703,2367.006912972,0,1
239,28045,2367.048119701,2367.048186508,0,1
240,28045,2367.086865009,2367.086914701,0,1
241,28045,2367.127189931,2367.127237546,0,1
242,28045,2367.166862238,2367.166929507,0,1
243,28045,2367.206862968,2367.206910353,0,1
244,28045,2367.246814390,2367.246885313,0,1
245,28045,2367.286871236,2367.286925428,0,1
246,28045,2367.326971273,2367.327021850,0,1
247,28045,2367.366857234,2367.366924542,0,1
248,28045,2367.406879887,2367.406927887,0,1
249,28045,2367.447054040,2367.447118040,0,1
250,28045,2367.487163347,2367.487210347,0,1
251,28045,2367.527001154,2367.527065923,0,1
252,28045,2367.566863768,2367.566910230,0,1
253,28045,2367.606863537,2367.606912998,0,1
254,28045,2367.647425651,2367.647499958,0,1
255,28045,2367.686867266,2367.686917343,0,1
256,28045,2367.726893688,2367.726940765,0,1
257,28045,2367.770037415,2367.770104761,0,1
258,28045,2367.806865340,2367.806921148,0,1
259,28045,2367.846868301,2367.846923147,0,1
260,28045,2367.886865723,2367.886933839,0,1
261,28045,2367.926862800,2367.926911338,0,1
262,28045,2367.966864414,2367.966914337,0,1
263,28045,2368.006861913,2368.006927990,0,1
264,28045,2368.046863297,2368.046914297,0,1
265,28045,2368.086956220,2368.087007719,0,1
266,28045,2368.127127642,2368.127193719,0,1
267,28045,2368.166870333,2368.166913872,0,1
268,28045,2368.206895948,2368.206940371,0,1
269,28045,2368.246863793,2368.246934140,0,1
270,28045,2368.286865139,2368.286916254,0,1
271,28045,2368.326868215,2368.326932600,0,1
272,28045,2368.367102022,2368.367161022,0,1
273,28045,2368.407049636,2368.407111213,0,1
274,28045,2368.448082865,2368.448134135,0,1
275,28045,2368.486868327,2368.486943058,0,1
276,28045,2368.526864480,2368.526917250,0,1
277,28045,2368.568208363,2368.568261632,0,1
278,28045,2368.606861479,2368.606935210,0,1
279,28045,2368.646933324,2368.646985440,0,1
280,28045,2368.686873324,2368.686923862,0,1
281,28045,2368.726923284,2368.726992092,0,1
282,28045,2368.768083013,2368.768135667,0,1
283,28045,2368.806867091,2368.806918283,0,1
284,28045,2368.846861897,2368.846936974,0,1
285,28045,2368.886866743,2368.886918320,0,1
286,28045,2368.927126780,2368.927176588,0,1
287,28045,2368.968322355,2368.968380548,0,1
288,28045,2369.006906241,2369.006973894,0,1
289,28045,2369.046827317,2369.046888355,0,1
290,28045,2369.086868585,2369.086919278,0,1
291,28045,2369.126869085,2369.126939623,0,1
292,28045,2369.166867853,2369.166917738,0,1
293,28045,2369.206907083,2369.206961660,0,1
294,28045,2369.247327621,2369.247387351,0,1
295,28045,2369.286871543,2369.286938851,0,1
296,28045,2369.326873197,2369.326928158,0,1
297,28045,2369.366869080,2369.366921196,0,1
298,28045,2369.406867849,2369.406937387,0,1
299,28045,2369.446951387,2369.447000733,0,1
300,28045,2369.486933655,2369.486982847,0,1
301,28045,2369.527510500,2369.527575346,0,1
302,28045,2369.567140269,2369.567187692,0,1
303,28045,2369.607247076,2369.607303845,0,1
304,28045,2369.646875806,2369.646945460,0,1
305,28045,2369.686870882,2369.686924152,0,1
306,28045,2369.726903882,2369.726954536,0,1
307,28045,2369.766861996,2369.766931766,0,1
308,28045,2369.807019149,2369.807065496,0,1
309,28045,2369.847348302,2369.847397571,0,1
310,28045,2369.886870802,2369.886921687,0,1
311,28045,2369.926863340,2369.926930724,0,1
312,28045,2369.966867378,2369.966913993,0,1
313,28045,2370.006864185,2370.006914646,0,1
314,28045,2370.046928030,2370.046994299,0,1
315,28045,2370.087340491,2370.087396567,0,1
316,28045,2370.126871260,2370.126934375,0,1
317,28045,2370.166865413,2370.166915605,0,1
318,28045,2370.206894874,2370.206943912,0,1
319,28045,2370.247052450,2370.247116450,0,1
320,28045,2370.286870257,2370.286921949,0,1
321,28045,2370.326964987,2370.327014179,0,1
322,28045,2370.366865063,2370.366934102,0,1
323,28045,2370.406863101,2370.406912601,0,1
324,28045,2370.446862139,2370.446912677,0,1
325,28045,2370.486935215,2370.486999984,0,1
326,28045,2370.526870791,2370.526918253,0,1
327,28045,2370.566863329,2370.566911137,0,1
328,28045,2370.607351828,2370.607421751,0,1
329,28045,2370.646862982,2370.646912097,0,1
330,28045,2370.686918558,2370.686965943,0,1
331,28045,2370.727043557,2370.727105211,0,1
332,28045,2370.766865018,2370.766916018,0,1
333,28045,2370.806868248,2370.806918941,0,1
334,28045,2370.847739093,2370.847805785,0,1
335,28045,2370.887403324,2370.887451093,0,1
336,28045,2370.926914170,2370.926964016,0,1
337,28045,2370.966888784,2370.966955823,0,1
338,28045,2371.007053361,2371.007101745,0,1
339,28045,2371.047011668,2371.047062283,0,1
340,28045,2371.086866129,2371.086932744,0,1
341,28045,2371.127386974,2371.127435974,0,1
342,28045,2371.167118896,2371.167167550,0,1
343,28045,2371.206975896,2371.207040357,0,1
344,28045,2371.246864896,2371.246917319,0,1
345,28045,2371.286864933,2371.286926856,0,1
346,28045,2371.326866510,2371.326929087,0,1
347,28045,2371.366859701,2371.366913048,0,1
348,28045,2371.407402316,2371.407466931,0,1
349,28045,2371.448463929,2371.448511699,0,1
350,28045,2371.486864584,2371.486915238,0,1
351,28045,2371.526963814,2371.527015583,0,1
352,28045,2371.566864045,2371.566929929,0,1
353,28045,2371.606819006,2371.606868544,0,1
354,28045,2371.646864813,2371.646914197,0,1
355,28045,2371.686863773,2371.686930120,0,1
356,28045,2371.727032696,2371.727077350,0,1
357,28045,2371.767153887,2371.767212426,0,1
358,28045,2371.806870656,2371.806936118,0,1
359,28045,2371.846866271,2371.846919271,0,1
360,28045,2371.886875232,2371.886925578,0,1
361,28045,2371.926869847,2371.926924116,0,1
362,28045,2371.966867923,2371.966932269,0,1
363,28045,2372.006876192,2372.006930807,0,1
364,28045,2372.046913114,2372.046964845,0,1
365,28045,2372.086866422,2372.086940883,0,1
366,28045,2372.126868998,2372.126920190,0,1
367,28045,2372.166865882,2372.166931882,0,1
368,28045,2372.206994651,2372.207042035,0,1
369,28045,2372.246862765,2372.246910535,0,1
370,28045,2372.287059611,2372.287125419,0,1
371,28045,2372.326978649,2372.327031380,0,1
372,28045,2372.367107610,2372.367157225,0,1
373,28045,2372.406868994,2372.406934225,0,1
374,28045,2372.446864724,2372.446916109,0,1
375,28045,2372.486864762,2372.486913301,0,1
376,28045,2372.527470876,2372.527538530,0,1
377,28045,2372.566874299,2372.566930146,0,1
378,28045,2372.606870684,2372.606922684,0,1
379,28045,2372.646870452,2372.646942106,0,1
380,28045,2372.686875221,2372.686930567,0,1
381,28045,2372.726866220,2372.726917105,0,1
382,28045,2372.767191335,2372.767260027,0,1
383,28045,2372.806864565,2372.806913758,0,1
384,28045,2372.846862488,2372.846919565,0,1
385,28045,2372.886977372,2372.887034103,0,1
386,28045,2372.926865371,2372.926915756,0,1
387,28045,2372.967062217,2372.967126563,0,1
388,28045,2373.006866563,2373.006916178,0,1
389,28045,2373.047032754,2373.047080716,0,1
390,28045,2373.086862716,2373.086928562,0,1
391,28045,2373.128613329,2373.128665329,0,1
392,28045,2373.166873907,2373.166927445,0,1
393,28045,2373.206880060,2373.206926329,0,1
394,28045,2373.246867867,2373.246936983,0,1
395,28045,2373.287123482,2373.287174828,0,1
396,28045,2373.326867482,2373.326918636,0,1
397,28045,2373.366862558,2373.366918789,0,1
398,28045,2373.406949712,2373.407009019,0,1
399,28045,2373.446968134,2373.447019403,0,1
400,28045,2373.487146172,2373.487196133,0,1
401,28045,2373.526912249,2373.526976902,0,1
402,28045,2373.566876171,2373.566928133,0,1
403,28045,2373.606922978,2373.606970747,0,1
404,28045,2373.646874786,2373.646944362,0,1
405,28045,2373.687066208,2373.687117669,0,1
406,28045,2373.726870285,2373.726918977,0,1
407,28045,2373.766868476,2373.766937592,0,1
408,28045,2373.806863822,2373.806914360,0,1
409,28045,2373.847292475,2373.847363206,0,1
410,28045,2373.886865436,2373.886914321,0,1
411,28045,2373.926863859,2373.926911474,0,1
412,28045,2373.966863435,2373.966909166,0,1
413,28045,2374.006861320,2374.006922358,0,1
414,28045,2374.046863665,2374.046911435,0,1
415,28045,2374.087097242,2374.087146165,0,1
416,28045,2374.126870934,2374.126923818,0,1
417,28045,2374.166873741,2374.166942741,0,1
418,28045,2374.207025317,2374.207079625,0,1
419,28045,2374.246863740,2374.246923432,0,1
420,28045,2374.287124509,2374.287185278,0,1
421,28045,2374.326924393,2374.326975085,0,1
422,28045,2374.366874585,2374.366922316,0,1
423,28045,2374.407118123,2374.407184584,0,1
424,28045,2374.447109391,2374.447157968,0,1
425,28045,2374.486868083,2374.486920545,0,1
426,28045,2374.526872045,2374.526950275,0,1
427,28045,2374.566871852,2374.566923967,0,1
428,28045,2374.606868659,2374.606915582,0,1
429,28045,2374.646865966,2374.646938082,0,1
430,28045,2374.686868235,2374.686914581,0,1
431,28045,2374.726900388,2374.726947350,0,1
432,28045,2374.766957388,2374.767018119,0,1
433,28045,2374.807130503,2374.807192233,0,1
434,28045,2374.846873464,2374.846936195,0,1
435,28045,2374.886874887,2374.886942002,0,1
436,28045,2374.926869963,2374.926923886,0,1
437,28045,2374.966864847,2374.966915117,0,1
438,28045,2375.006866424,2375.006932808,0,1
439,28045,2375.046873039,2375.046922962,0,1
440,28045,2375.086864039,2375.086914808,0,1
441,28045,2375.126899807,2375.126947538,0,1
442,28045,2375.166867884,2375.166932884,0,1
443,28045,2375.206863691,2375.206910383,0,1
444,28045,2375.246863768,2375.246909498,0,1
445,28045,2375.286867113,2375.286925421,0,1
446,28045,2375.327073536,2375.327119228,0,1
447,28045,2375.367013266,2375.367064112,0,1
448,28045,2375.406869805,2375.406924112,0,1
449,28045,2375.447210727,2375.447285227,0,1
450,28045,2375.486866650,2375.486921535,0,1
451,28045,2375.526865650,2375.526913265,0,1
452,28045,2375.566863111,2375.566934380,0,1
453,28045,2375.606864610,2375.606911726,0,1
