iter,PID,start,end,instance,activation
0,28059,2358.216328236,2358.217446196,0,0
1,28059,2358.256804619,2358.257307388,0,0
2,28059,2358.296409656,2358.296413964,0,0
3,28059,2358.336906270,2358.336983578,0,0
4,28059,2358.377841229,2358.378284113,0,0
5,28059,2358.416734229,2358.418263343,0,0
6,28059,2358.457238112,2358.457264843,0,0
7,28059,2358.496482111,2358.498261263,0,1
8,28059,2358.536499610,2358.536510264,0,0
9,28059,2358.577103916,2358.578382799,0,1
10,28059,2358.617593645,2358.617597991,0,0
11,28059,2358.656403991,2358.657702297,0,1
12,28059,2358.696497797,2358.696500797,0,0
13,28059,2358.736847065,2358.736850372,0,0
14,28059,2358.778432293,2358.779698638,0,1
15,28059,2358.817335639,2358.817361177,0,0
16,28059,2358.858729828,2358.866083821,0,1
17,28059,2358.896456099,2358.896458637,0,0
18,28059,2358.936762059,2358.936789982,0,0
19,28059,2358.976710250,2358.977923518,0,1
20,28059,2359.016405556,2359.016430749,0,0
21,28059,2359.060574859,2359.060663897,0,0
22,28059,2359.096404477,2359.097612399,0,1
23,28059,2359.136403283,2359.136427091,0,0
24,28059,2359.176400475,2359.177624973,0,1
25,28059,2359.216405089,2359.216427512,0,0
26,28059,2359.256403010,2359.257594317,0,1
27,28059,2359.296405509,2359.296407855,0,0
28,28059,2359.338155083,2359.338256622,0,0
29,28059,2359.376579699,2359.377873505,0,1
30,28059,2359.416410775,2359.416437044,0,0
31,28059,2359.457668772,2359.458970694,0,1
32,28059,2359.496696272,2359.496701080,0,0
33,28059,2359.536409348,2359.536437233,0,0
34,28059,2359.576408578,2359.576413347,0,0
35,28059,2359.616411076,2359.617761690,0,1
36,28059,2359.656408537,2359.656413498,0,0
37,28059,2359.696591804,2359.697799265,0,1
38,28059,2359.736410073,2359.736413611,0,0
39,28059,2359.776413110,2359.777636916,0,1
40,28059,2359.816474378,2359.816476839,0,0
41,28059,2359.860510488,2359.861868063,0,1
42,28059,2359.896408760,2359.896501568,0,0
43,28059,2359.936812335,2359.936835335,0,0
44,28059,2359.976404296,2359.976407719,0,0
45,28059,2360.016926333,2360.018244908,0,1
46,28059,2360.056408063,2360.057700677,0,1
47,28059,2360.096553523,2360.096602677,0,0
48,28059,2360.136649522,2360.136652560,0,0
49,28059,2360.176406636,2360.176524944,0,0
50,28059,2360.216453712,2360.217749557,0,1
51,28059,2360.256531672,2360.256535672,0,0
52,28059,2360.296670671,2360.297892516,0,1
53,28059,2360.336407824,2360.336411401,0,0
54,28059,2360.376404707,2360.376431553,0,0
55,28059,2360.416402398,2360.417734166,0,1
56,28059,2360.456403897,2360.456489743,0,0
57,28059,2360.496402204,2360.497722010,0,1
58,28059,2360.536405126,2360.536408664,0,0
59,28059,2360.576464509,2360.576487970,0,0
60,28059,2360.616702854,2360.617985006,0,1
61,28059,2360.656750814,2360.656753237,0,0
62,28059,2360.696571851,2360.697872235,0,1
63,28059,2360.736407120,2360.736520043,0,0
64,28059,2360.776435542,2360.777660848,0,1
65,28059,2360.816403310,2360.816406156,0,0
66,28059,2360.856400385,2360.857604500,0,1
67,28059,2360.896404038,2360.896425961,0,0
68,28059,2360.936626767,2360.937864228,0,1
69,28059,2360.976407267,2360.976423497,0,0
70,28059,2361.016398573,2361.017681033,0,1
71,28059,2361.056681802,2361.056732879,0,0
72,28059,2361.096468763,2361.096473340,0,0
73,28059,2361.136411954,2361.136442339,0,0
74,28059,2361.177104760,2361.178341836,0,1
75,28059,2361.217423336,2361.217427605,0,0
76,28059,2361.256560182,2361.256591951,0,0
77,28059,2361.297502333,2361.298823909,0,1
78,28059,2361.337952409,2361.337955447,0,0
79,28059,2361.377595793,2361.377624562,0,0
80,28059,2361.417087215,2361.418295560,0,1
81,28059,2361.457491290,2361.457510944,0,0
82,28059,2361.496402252,2361.497701674,0,1
83,28059,2361.537577788,2361.537605250,0,0
84,28059,2361.577476518,2361.578882670,0,1
85,28059,2361.616403864,2361.616406518,0,0
