iter,PID,start,end,instance,activation
0,28067,2358.026130271,2358.046517212,0,0
1,28067,2358.046562674,2358.061087429,0,0
2,28067,2358.061110159,2358.173850240,0,0
3,28067,2358.173874047,2358.207968129,0,0
4,28067,2358.207989629,2358.223740036,0,0
5,28067,2358.223759305,2358.242793940,0,1
6,28067,2358.242822748,2358.253646737,0,1
7,28067,2358.253669660,2358.259018732,0,1
8,28067,2358.267532531,2358.300174730,0,1
9,28067,2358.300198768,2358.310771411,0,1
10,28067,2358.310796181,2358.325233012,0,1
11,28067,2358.325258435,2358.336718347,0,1
12,28067,2358.336742809,2358.344499339,0,1
13,28067,2358.344527339,2358.348261413,0,1
14,28067,2358.350270795,2358.355818482,0,1
15,28067,2358.360274939,2358.366085164,0,1
16,28067,2358.370228929,2358.385852952,0,1
17,28067,2358.385878260,2358.408803468,0,1
18,28067,2358.408829891,2358.428541371,0,1
19,28067,2358.428568140,2358.439237668,0,1
20,28067,2358.439261245,2358.457137650,0,1
21,28067,2358.457166304,2358.461008339,0,1
22,28067,2358.461034339,2358.463576183,0,1
23,28067,2358.469340100,2358.477629015,0,1
24,28067,2358.479333551,2358.485391199,0,1
25,28067,2358.490424117,2358.507990023,0,1
26,28067,2358.508896791,2358.519180243,0,1
27,28067,2358.519207627,2358.530580731,0,1
28,28067,2358.530604077,2358.549291290,0,1
29,28067,2358.549320443,2358.558408934,0,1
30,28067,2358.558437857,2358.566032504,0,1
31,28067,2358.566062042,2358.580125297,0,1
32,28067,2358.580148490,2358.589318327,0,1
33,28067,2358.589338711,2358.596821319,0,1
34,28067,2358.596849473,2358.604805734,0,1
35,28067,2358.604832311,2358.610984575,0,1
36,28067,2358.611011113,2358.617542414,0,1
37,28067,2358.628280250,2358.652547072,0,1
38,28067,2358.652572187,2358.663035369,0,1
39,28067,2358.663061946,2358.668228556,0,1
40,28067,2358.672936474,2358.678867276,0,1
41,28067,2358.684617655,2358.699024564,0,1
42,28067,2358.699051179,2358.708713400,0,1
43,28067,2358.708741439,2358.713896434,0,1
44,28067,2358.713919165,2358.722317887,0,1
45,28067,2358.722645964,2358.734199760,0,1
46,28067,2358.734226452,2358.747270285,0,1
47,28067,2358.747299554,2358.757392891,0,1
48,28067,2358.757418391,2358.780981329,0,1
49,28067,2358.781005482,2358.794441969,0,1
50,28067,2358.794470854,2358.801127116,0,1
51,28067,2358.801156770,2358.806685495,0,1
52,28067,2358.811349452,2358.817269908,0,1
53,28067,2358.821078020,2358.827082629,0,1
54,28067,2358.831092856,2358.837477542,0,1
55,28067,2358.841076461,2358.847702108,0,1
56,28067,2358.851081797,2358.855810870,0,1
57,28067,2358.868763164,2358.894049909,0,1
58,28067,2358.894079870,2358.913134543,0,1
59,28067,2358.913163774,2358.921139843,0,1
60,28067,2358.921169382,2358.929303258,0,1
61,28067,2358.929322758,2358.939312864,0,1
62,28067,2358.939335748,2358.959233344,0,1
63,28067,2358.959255844,2358.975762904,0,1
64,28067,2358.975793174,2358.987773431,0,1
65,28067,2358.987803200,2358.998108575,0,1
66,28067,2358.998137459,2359.006430797,0,1
67,28067,2359.006460028,2359.015410327,0,1
68,28067,2359.015439673,2359.021062821,0,1
69,28067,2359.021085975,2359.027835353,0,1
70,28067,2359.029340813,2359.037448766,0,1
71,28067,2359.039327957,2359.046713988,0,1
72,28067,2359.049861100,2359.054669711,0,1
73,28067,2359.061252858,2359.083194144,0,1
74,28067,2359.083223875,2359.091323136,0,1
75,28067,2359.093978095,2359.105738006,0,1
76,28067,2359.105757891,2359.109551079,0,1
77,28067,2359.114756766,2359.118961570,0,1
78,28067,2359.124887718,2359.130145751,0,1
79,28067,2359.133661748,2359.139341473,0,1
80,28067,2359.143825661,2359.148864079,0,1
81,28067,2359.154188381,2359.174917668,0,1
82,28067,2359.174943130,2359.186252888,0,1
83,28067,2359.186271388,2359.196653224,0,1
84,28067,2359.196683454,2359.203623986,0,1
85,28067,2359.205079023,2359.211648363,0,1
86,28067,2359.215182282,2359.222017083,0,1
87,28067,2359.225018542,2359.233709610,0,1
88,28067,2359.235180916,2359.241506871,0,1
89,28067,2359.245274714,2359.253397667,0,1
90,28067,2359.255017973,2359.273453647,0,1
91,28067,2359.273476455,2359.301401620,0,1
92,28067,2359.301427120,2359.312868685,0,1
93,28067,2359.312893185,2359.319864486,0,1
94,28067,2359.321495561,2359.327424440,0,1
95,28067,2359.331501513,2359.337462469,0,1
96,28067,2359.341517503,2359.354091067,0,1
97,28067,2359.354120529,2359.370084128,0,1
98,28067,2359.370107436,2359.379909503,0,1
99,28067,2359.379932926,2359.391823915,0,1
100,28067,2359.391852107,2359.406446939,0,1
101,28067,2359.406476746,2359.416532967,0,1
102,28067,2359.416551390,2359.426695841,0,1
103,28067,2359.426725418,2359.438853214,0,1
104,28067,2359.438874022,2359.446509937,0,1
105,28067,2359.446539860,2359.457512580,0,1
106,28067,2359.457543465,2359.470167260,0,1
107,28067,2359.470197837,2359.481104211,0,1
108,28067,2359.481130134,2359.489850086,0,1
109,28067,2359.489872317,2359.505188148,0,1
110,28067,2359.505218802,2359.515399023,0,1
111,28067,2359.515427100,2359.533458812,0,1
112,28067,2359.533482312,2359.545432993,0,1
113,28067,2359.545461147,2359.557741019,0,1
114,28067,2359.557773827,2359.579369344,0,1
115,28067,2359.579391767,2359.590972448,0,1
116,28067,2359.590996294,2359.598564786,0,1
117,28067,2359.600902630,2359.611456389,0,1
118,28067,2359.611484581,2359.628958141,0,1
119,28067,2359.628976987,2359.637813401,0,1
120,28067,2359.637843901,2359.646561816,0,1
121,28067,2359.646589123,2359.669774869,0,1
122,28067,2359.669808177,2359.722437202,0,1
123,28067,2359.722469586,2359.745158564,0,1
124,28067,2359.745184025,2359.765557159,0,1
125,28067,2359.765583697,2359.773373267,0,1
126,28067,2359.775659495,2359.787904368,0,1
127,28067,2359.787933714,2359.804332967,0,1
128,28067,2359.804357005,2359.814469457,0,1
129,28067,2359.814497918,2359.847362270,0,1
130,28067,2359.847390309,2359.879800930,0,1
131,28067,2359.879822007,2359.898489796,0,1
132,28067,2359.898508450,2359.935082299,0,1
133,28067,2359.935111375,2359.966318768,0,1
134,28067,2359.966347960,2359.978171140,0,1
135,28067,2359.978191871,2359.990228013,0,1
136,28067,2359.990249590,2360.011440031,0,1
137,28067,2360.011465877,2360.054557642,0,1
138,28067,2360.054836757,2360.108573511,0,1
139,28067,2360.108596934,2360.155276080,0,1
140,28067,2360.155303042,2360.171579564,0,1
141,28067,2360.171800179,2360.185682012,0,1
142,28067,2360.185704858,2360.204615916,0,1
143,28067,2360.204641185,2360.226275279,0,1
144,28067,2360.226303741,2360.246217682,0,1
145,28067,2360.246245221,2360.277204075,0,1
146,28067,2360.277236652,2360.296554633,0,1
147,28067,2360.296583094,2360.314649345,0,1
148,28067,2360.314677845,2360.327266487,0,1
149,28067,2360.327400025,2360.352886731,0,1
150,28067,2360.352922846,2360.375558477,0,1
151,28067,2360.375587862,2360.387421581,0,1
152,28067,2360.387447850,2360.440392836,0,1
153,28067,2360.442080027,2360.480527566,0,1
154,28067,2360.480553296,2360.505535233,0,1
155,28067,2360.505563156,2360.521168602,0,1
156,28067,2360.521199602,2360.563897214,0,1
157,28067,2360.563922483,2360.593065954,0,1
158,28067,2360.593094492,2360.628863765,0,1
159,28067,2360.628885572,2360.666129920,0,1
160,28067,2360.666157343,2360.683138096,0,1
161,28067,2360.683168980,2360.728256666,0,1
162,28067,2360.728298166,2360.735833120,0,1
163,28067,2360.738621617,2360.754937409,0,1
164,28067,2360.754957601,2360.776265888,0,1
165,28067,2360.776293157,2360.797281175,0,1
166,28067,2360.797311290,2360.836700405,0,1
167,28067,2360.836720328,2360.867522451,0,1
168,28067,2360.867543759,2360.895723654,0,1
169,28067,2360.895744231,2360.913976290,0,1
170,28067,2360.913993944,2360.927760738,0,1
171,28067,2360.927783392,2360.951659406,0,1
172,28067,2360.951681406,2360.961393858,0,1
173,28067,2360.961750973,2360.996465401,0,1
174,28067,2360.996495362,2361.001464780,0,1
175,28067,2361.009848964,2361.030248444,0,1
176,28067,2361.030269559,2361.039217243,0,1
177,28067,2361.040340588,2361.044566007,0,1
178,28067,2361.050341655,2361.054343728,0,1
179,28067,2361.061662298,2361.078173974,0,1
180,28067,2361.078201820,2361.099947029,0,1
181,28067,2361.099973183,2361.103878525,0,1
182,28067,2361.110046519,2361.113829515,0,1
183,28067,2361.120065586,2361.125683080,0,1
184,28067,2361.130047461,2361.135341071,0,1
185,28067,2361.140224297,2361.145376369,0,1
186,28067,2361.150206095,2361.154458321,0,1
187,28067,2361.160675546,2361.164409004,0,1
188,28067,2361.187646904,2361.203128042,0,1
189,28067,2361.203157234,2361.209524305,0,1
190,28067,2361.224112137,2361.238509046,0,1
191,28067,2361.238527584,2361.255768721,0,1
192,28067,2361.255801605,2361.277991776,0,1
193,28067,2361.278017391,2361.288785765,0,1
194,28067,2361.288803034,2361.299450754,0,1
195,28067,2361.299473601,2361.310149436,0,1
196,28067,2361.310175821,2361.320386657,0,1
197,28067,2361.320410541,2361.334346181,0,1
198,28067,2361.334375105,2361.354820200,0,1
199,28067,2361.354848123,2361.365596112,0,1
200,28067,2361.365624074,2361.374906564,0,1
