iter,PID,start,end,instance,activation
0,27569,2319.213154933,2319.213156510,59,1
1,27569,2319.223154654,2319.223156884,59,0
2,27569,2319.233154105,2319.233156374,59,0
3,27569,2319.243173556,2319.243175556,59,0
4,27569,2319.253128122,2319.253130161,59,0
5,27569,2319.263158189,2319.263160958,59,0
6,27569,2319.273156486,2319.273159063,59,0
7,27569,2319.283154475,2319.283172514,60,1
8,27569,2319.293154926,2319.293156619,60,0
9,27569,2319.303151993,2319.303153685,60,0
10,27569,2319.313152213,2319.313153713,60,0
11,27569,2319.323165587,2319.323166818,60,0
12,27569,2319.333152654,2319.333153654,60,0
13,27569,2319.343155720,2319.343157220,60,0
14,27569,2319.353153825,2319.353155017,60,0
15,27569,2319.363156468,2319.363158353,60,0
16,27569,2319.373155266,2319.373157112,60,0
17,27569,2319.383223909,2319.383241947,61,1
18,27569,2319.393152245,2319.393153514,61,0
19,27569,2319.403151157,2319.403152311,61,0
20,27569,2319.413162762,2319.413163993,61,0
21,27569,2319.423255790,2319.423257367,61,0
22,27569,2319.433151280,2319.433153164,61,0
23,27569,2319.443151731,2319.443152769,61,0
24,27569,2319.453152451,2319.453154028,61,0
25,27569,2319.463157133,2319.463159017,61,0
26,27569,2319.473157045,2319.473158815,61,0
27,27569,2319.483154112,2319.483170843,62,1
28,27569,2319.493153986,2319.493155332,62,0
29,27569,2319.503152706,2319.503153822,62,0
30,27569,2319.513151196,2319.513152388,62,0
31,27569,2319.523151608,2319.523152801,62,0
32,27569,2319.533169559,2319.533171329,62,0
33,27569,2319.543153318,2319.543154972,62,0
34,27569,2319.553152346,2319.553153808,62,0
35,27569,2319.563155259,2319.563157067,62,0
36,27569,2319.573154710,2319.573156556,62,0
37,27569,2319.583166815,2319.583182084,63,1
38,27569,2319.593183958,2319.593185035,63,0
39,27569,2319.603226755,2319.603228025,63,0
40,27569,2319.613152860,2319.613154168,63,0
41,27569,2319.623152004,2319.623153273,63,0
42,27569,2319.633151647,2319.633153262,63,0
43,27569,2319.643151175,2319.643152829,63,0
44,27569,2319.653156588,2319.653158472,63,0
45,27569,2319.663150846,2319.663152577,63,0
46,27569,2319.673154413,2319.673156528,63,0
47,27569,2319.683156787,2319.683158595,63,0
48,27569,2319.693152853,2319.693171238,64,1
49,27569,2319.703155151,2319.703156920,64,0
50,27569,2319.713152332,2319.713153909,64,0
