iter,PID,start,end,instance,activation
0,28312,2376.553826114,2376.561135069,631,1
1,28312,2376.587234274,2376.588341888,632,1
2,28312,2376.620571396,2376.620768165,632,0
3,28312,2376.653862748,2376.654021979,632,0
4,28312,2376.687228793,2376.688375907,633,1
5,28312,2376.720570299,2376.720685145,633,0
6,28312,2376.753847805,2376.754047766,633,0
7,28312,2376.787231696,2376.788333579,634,1
8,28312,2376.820578702,2376.820860971,634,0
9,28312,2376.853939131,2376.854637399,635,1
10,28312,2376.887235329,2376.887393560,635,0
11,28312,2376.920567297,2376.921370296,635,0
12,28312,2376.953905265,2376.954756802,636,1
13,28312,2376.987233579,2376.987385386,636,0
14,28312,2377.020564892,2377.020810354,636,0
15,28312,2377.053956129,2377.055442820,637,1
16,28312,2377.087287174,2377.087404443,637,0
17,28312,2377.120622219,2377.120820334,637,0
18,28312,2377.153980532,2377.155555339,638,1
19,28312,2377.188383037,2377.188814806,638,0
20,28312,2377.220718352,2377.220920467,638,0
21,28312,2377.253904089,2377.254150397,638,0
22,28312,2377.287582211,2377.287695326,638,0
23,28312,2377.320568909,2377.323952445,639,1
24,28312,2377.353919992,2377.354153069,639,0
25,28312,2377.387235883,2377.387391845,639,0
26,28312,2377.420567389,2377.421462042,640,1
27,28312,2377.454023165,2377.454177857,640,0
28,28312,2377.487234863,2377.487347402,640,0
29,28312,2377.520730139,2377.520927292,640,0
30,28312,2377.553899453,2377.554107068,640,0
31,28312,2377.587403305,2377.588793842,641,1
32,28312,2377.620566426,2377.620817234,641,0
33,28312,2377.654347817,2377.654501547,641,0
34,28312,2377.687233977,2377.687348054,641,0
35,28312,2377.720570368,2377.722864443,643,1
36,28312,2377.754190143,2377.755060604,643,0
37,28312,2377.787234034,2377.787394534,643,0
38,28312,2377.820568579,2377.822210731,644,1
39,28312,2377.853904623,2377.854059969,644,0
40,28312,2377.887234668,2377.887348629,644,0
41,28312,2377.920570443,2377.922624634,645,1
42,28312,2377.954353103,2377.954553141,645,0
43,28312,2377.987544609,2377.987700994,645,0
44,28312,2378.020658462,2378.021639884,645,0
45,28312,2378.054141199,2378.056089658,646,1
46,28312,2378.087235128,2378.087350205,646,0
47,28312,2378.120602365,2378.121756133,646,0
48,28312,2378.153903333,2378.154100179,646,0
49,28312,2378.187218378,2378.187370685,646,0
50,28312,2378.220569576,2378.220770461,646,0
51,28312,2378.254150467,2378.254305697,646,0
