iter,PID,start,end,instance,activation
0,27659,2324.788250073,2324.788255881,0,1
1,27659,2324.794842220,2324.794844644,0,0
2,27659,2324.804753326,2324.804755825,0,0
3,27659,2324.814753200,2324.814754661,0,0
4,27659,2324.824752997,2324.824754305,0,0
5,27659,2324.834752333,2324.834754256,0,0
6,27659,2324.844794245,2324.844796245,0,0
7,27659,2324.855315850,2324.855317773,0,0
8,27659,2324.864754225,2324.867906029,0,1
9,27659,2324.874759483,2324.874762830,0,0
10,27659,2324.884758973,2324.884762435,0,0
11,27659,2324.894759809,2324.894763424,0,0
12,27659,2324.904768721,2324.904770914,0,0
13,27659,2324.914757519,2324.914759211,0,0
14,27659,2324.924822316,2324.924823970,0,0
15,27659,2324.934752460,2324.934753921,0,0
16,27659,2324.944754872,2324.944756564,0,0
17,27659,2324.954759862,2324.957793359,0,1
18,27659,2324.964761621,2324.964764774,0,0
19,27659,2324.974760341,2324.974762687,0,0
20,27659,2324.984758177,2324.984760254,0,0
21,27659,2324.994760589,2324.994762320,0,0
22,27659,2325.004754694,2325.004756156,0,0
23,27659,2325.014762684,2325.014764146,0,0
24,27659,2325.024757020,2325.024758635,0,0
25,27659,2325.034760240,2325.034761740,0,0
26,27659,2325.044758691,2325.044759922,0,0
27,27659,2325.054762489,2325.058266254,0,1
28,27659,2325.064757286,2325.064759017,0,0
29,27659,2325.074756891,2325.074758468,0,0
30,27659,2325.084793380,2325.084794880,0,0
31,27659,2325.094756562,2325.094758178,0,0
32,27659,2325.104759091,2325.104760821,0,0
33,27659,2325.114758388,2325.114759965,0,0
34,27659,2325.124754224,2325.124755762,0,0
35,27659,2325.134757059,2325.134758444,0,0
36,27659,2325.144756318,2325.144758049,0,0
37,27659,2325.154760808,2325.154762346,0,0
38,27659,2325.164740605,2325.168231909,0,1
39,27659,2325.174762864,2325.174764825,0,0
40,27659,2325.184755277,2325.184757354,0,0
41,27659,2325.194754189,2325.194755728,0,0
42,27659,2325.204755333,2325.204756948,0,0
43,27659,2325.214757015,2325.214758630,0,0
44,27659,2325.224754197,2325.224755927,0,0
45,27659,2325.234755340,2325.234757225,0,0
46,27659,2325.244756753,2325.244758522,0,0
47,27659,2325.254872358,2325.254874050,0,0
48,27659,2325.264895232,2325.268453343,0,1
49,27659,2325.274762991,2325.274764068,0,0
50,27659,2325.284754634,2325.284755865,0,0
51,27659,2325.294892662,2325.294893585,0,0
52,27659,2325.304756883,2325.304758498,0,0
53,27659,2325.314756218,2325.314757680,0,0
54,27659,2325.324906477,2325.324907592,0,0
55,27659,2325.334907544,2325.334908313,0,0
56,27659,2325.344877072,2325.344878841,0,0
57,27659,2325.354754023,2325.358778942,0,1
58,27659,2325.364755282,2325.364757320,0,0
59,27659,2325.374754502,2325.374756425,0,0
60,27659,2325.384754992,2325.384756876,0,0
61,27659,2325.394755674,2325.394757135,0,0
62,27659,2325.404754125,2325.404755779,0,0
63,27659,2325.414755653,2325.414757114,0,0
64,27659,2325.424755181,2325.424756604,0,0
65,27659,2325.434757478,2325.434759094,0,0
66,27659,2325.444756660,2325.444758622,0,0
67,27659,2325.454755419,2325.459056568,0,1
68,27659,2325.464754832,2325.464756832,0,0
69,27659,2325.474755014,2325.474757091,0,0
70,27659,2325.484754311,2325.484756426,0,0
71,27659,2325.494759762,2325.494761301,0,0
72,27659,2325.504753059,2325.504754482,0,0
73,27659,2325.514754857,2325.514756395,0,0
74,27659,2325.524752885,2325.524754423,0,0
75,27659,2325.534757259,2325.534759221,0,0
76,27659,2325.544752787,2325.544754633,0,0
77,27659,2325.554754623,2325.554756238,0,0
78,27659,2325.564754305,2325.564756228,0,0
79,27659,2325.574759179,2325.578583290,0,1
80,27659,2325.584759861,2325.584762207,0,0
81,27659,2325.594757274,2325.594759274,0,0
82,27659,2325.604755225,2325.604756648,0,0
83,27659,2325.614754791,2325.614756368,0,0
84,27659,2325.624753589,2325.624755089,0,0
85,27659,2325.634754578,2325.634756270,0,0
86,27659,2325.644753529,2325.644755183,0,0
87,27659,2325.654754442,2325.654755788,0,0
88,27659,2325.664770393,2325.664772278,0,0
89,27659,2325.676037689,2325.684217681,0,1
90,27659,2325.684755488,2325.684757372,0,0
91,27659,2325.694761170,2325.694763170,0,0
92,27659,2325.704755621,2325.704757544,0,0
93,27659,2325.714755687,2325.714757341,0,0
94,27659,2325.724753062,2325.724754369,0,0
95,27659,2325.734752936,2325.734754359,0,0
96,27659,2325.744752887,2325.747447538,0,1
97,27659,2325.754770376,2325.754774069,0,0
98,27659,2325.764779289,2325.764782712,0,0
99,27659,2325.774764125,2325.774767163,0,0
100,27659,2325.784755576,2325.784757384,0,0
101,27659,2325.794756873,2325.794758720,0,0
102,27659,2325.804729632,2325.804731478,0,0
103,27659,2325.814732045,2325.814733622,0,0
104,27659,2325.824729381,2325.824730958,0,0
105,27659,2325.834729909,2325.834731563,0,0
106,27659,2325.844728168,2325.844729821,0,0
107,27659,2325.854767157,2325.858088884,0,1
108,27659,2325.864761224,2325.864762839,0,0
109,27659,2325.874758598,2325.874760098,0,0
110,27659,2325.884758280,2325.884759703,0,0
111,27659,2325.894759731,2325.894761269,0,0
112,27659,2325.904822413,2325.904823874,0,0
113,27659,2325.914770710,2325.914771287,0,0
114,27659,2325.924856084,2325.924856623,0,0
115,27659,2325.935015728,2325.935016228,0,0
116,27659,2325.944773794,2325.944774987,0,0
117,27659,2325.954760053,2325.954761976,0,0
118,27659,2325.964757543,2325.968904154,0,1
119,27659,2325.974759648,2325.974761071,0,0
120,27659,2325.984850330,2325.984852061,0,0
121,27659,2325.994895089,2325.994896435,0,0
122,27659,2326.004828271,2326.004828886,0,0
123,27659,2326.014910606,2326.014911337,0,0
124,27659,2326.024969557,2326.024970250,0,0
125,27659,2326.034754893,2326.034756816,0,0
126,27659,2326.044727806,2326.044729345,0,0
127,27659,2326.054885988,2326.060579136,0,1
128,27659,2326.064760824,2326.064763131,0,0
129,27659,2326.074766390,2326.074768544,0,0
130,27659,2326.084758765,2326.084761418,0,0
131,27659,2326.094766485,2326.094769331,0,0
132,27659,2326.104762398,2326.104765167,0,0
133,27659,2326.114773003,2326.114775426,0,0
134,27659,2326.124760108,2326.124762569,0,0
135,27659,2326.134761597,2326.134764443,0,0
136,27659,2326.144768010,2326.144770548,0,0
137,27659,2326.154766000,2326.158471150,0,1
138,27659,2326.164761182,2326.164763489,0,0
139,27659,2326.174760325,2326.174763094,0,0
140,27659,2326.184764276,2326.184767084,0,0
141,27659,2326.194761189,2326.194764612,0,0
142,27659,2326.204761063,2326.204764063,0,0
143,27659,2326.214761283,2326.214764245,0,0
144,27659,2326.224761504,2326.224764465,0,0
145,27659,2326.234760570,2326.234763570,0,0
146,27659,2326.244761214,2326.244764214,0,0
147,27659,2326.254760396,2326.254763204,0,0
148,27659,2326.264759962,2326.264763193,0,0
149,27659,2326.274760760,2326.277961410,0,1
150,27659,2326.284761019,2326.284763903,0,0
151,27659,2326.294765585,2326.294768277,0,0
152,27659,2326.304759229,2326.304762152,0,0
153,27659,2326.314766718,2326.314769564,0,0
154,27659,2326.324763592,2326.324766323,0,0
155,27659,2326.334764544,2326.334767390,0,0
156,27659,2326.344761649,2326.344764572,0,0
157,27659,2326.354760138,2326.354763100,0,0
158,27659,2326.364760782,2326.368124817,0,1
159,27659,2326.374765733,2326.374768387,0,0
160,27659,2326.384763838,2326.384766376,0,0
161,27659,2326.394764481,2326.394767327,0,0
162,27659,2326.404766586,2326.404769279,0,0
163,27659,2326.414767307,2326.414769922,0,0
164,27659,2326.424767296,2326.424769950,0,0
165,27659,2326.434764440,2326.434766709,0,0
166,27659,2326.444763199,2326.447911349,0,1
167,27659,2326.454762265,2326.454764842,0,0
168,27659,2326.464758986,2326.464761332,0,0
169,27659,2326.474855552,2326.474857514,0,0
170,27659,2326.486199886,2326.486201848,0,0
171,27659,2326.494760608,2326.494763454,0,0
172,27659,2326.504765329,2326.504768136,0,0
173,27659,2326.514763357,2326.514765857,0,0
174,27659,2326.524760308,2326.524762769,0,0
175,27659,2326.534760182,2326.534762259,0,0
176,27659,2326.544822787,2326.544824479,0,0
177,27659,2326.554872892,2326.558353042,0,1
178,27659,2326.564755036,2326.564757651,0,0
179,27659,2326.575133948,2326.575136025,0,0
180,27659,2326.584759823,2326.584761784,0,0
181,27659,2326.594755735,2326.594757851,0,0
182,27659,2326.604751917,2326.604754033,0,0
183,27659,2326.614757676,2326.614759291,0,0
184,27659,2326.624752627,2326.624753896,0,0
185,27659,2326.635320809,2326.635322424,0,0
186,27659,2326.644751606,2326.644753722,0,0
187,27659,2326.654758365,2326.659085515,0,1
188,27659,2326.664763740,2326.664767393,0,0
189,27659,2326.674762383,2326.674766075,0,0
190,27659,2326.684755988,2326.684759103,0,0
191,27659,2326.694761093,2326.694764170,0,0
192,27659,2326.704756621,2326.704759006,0,0
193,27659,2326.714756265,2326.714758572,0,0
194,27659,2326.724755293,2326.724757754,0,0
195,27659,2326.734754782,2326.734757090,0,0
196,27659,2326.744754426,2326.744756310,0,0
197,27659,2326.754762992,2326.759444410,0,1
198,27659,2326.764753751,2326.764757213,0,0
199,27659,2326.774762471,2326.774765548,0,0
200,27659,2326.784757807,2326.784761384,0,0
201,27659,2326.794761028,2326.794763835,0,0
202,27659,2326.804813902,2326.804816786,0,0
203,27659,2326.814755468,2326.814757776,0,0
204,27659,2326.824755689,2326.824758112,0,0
205,27659,2326.834752794,2326.834754986,0,0
206,27659,2326.847920242,2326.847923165,0,0
207,27659,2326.854759388,2326.863356226,0,1
208,27659,2326.864754724,2326.864757955,0,0
209,27659,2326.874760675,2326.874763445,0,0
210,27659,2326.884759857,2326.884763627,0,0
211,27659,2326.894755693,2326.894759385,0,0
212,27659,2326.904754029,2326.904756452,0,0
213,27659,2326.914754211,2326.914756480,0,0
214,27659,2326.924752047,2326.924754200,0,0
215,27659,2326.934753652,2326.934755882,0,0
216,27659,2326.944754526,2326.947925407,0,1
217,27659,2326.954758516,2326.954761285,0,0
218,27659,2326.964757197,2326.964760159,0,0
219,27659,2326.974757303,2326.974760649,0,0
220,27659,2326.984757984,2326.984760715,0,0
221,27659,2326.994755243,2326.994758089,0,0
222,27659,2327.004756733,2327.004759233,0,0
223,27659,2327.014754453,2327.014756530,0,0
224,27659,2327.024753481,2327.024755712,0,0
225,27659,2327.035493163,2327.035504009,0,0
226,27659,2327.044773845,2327.044776307,0,0
227,27659,2327.054752758,2327.054753681,0,0
228,27659,2327.064760017,2327.068129013,0,1
229,27659,2327.074763545,2327.074766891,0,0
230,27659,2327.084758188,2327.084760996,0,0
231,27659,2327.094760294,2327.094762832,0,0
232,27659,2327.104754514,2327.104757360,0,0
233,27659,2327.114757427,2327.114759888,0,0
234,27659,2327.124754724,2327.124756839,0,0
235,27659,2327.134754944,2327.134757291,0,0
236,27659,2327.144756126,2327.144758357,0,0
237,27659,2327.154753270,2327.154754847,0,0
