iter,PID,start,end,instance,activation
0,28313,2376.656999091,2376.657007860,632,1
1,28313,2376.668065542,2376.668068773,632,0
2,28313,2376.676908226,2376.676918879,632,0
3,28313,2376.686934024,2376.686946408,632,0
4,28313,2376.697027437,2376.697109475,633,1
5,28313,2376.707156235,2376.707166158,633,0
6,28313,2376.716920341,2376.716923802,633,0
7,28313,2376.726911177,2376.726926369,633,0
8,28313,2376.736909821,2376.736920821,633,0
9,28313,2376.746913312,2376.746927312,633,0
10,28313,2376.756916417,2376.756919686,633,0
11,28313,2376.766908446,2376.766918523,633,0
12,28313,2376.776916667,2376.776932052,633,0
13,28313,2376.786962196,2376.786971311,633,0
14,28313,2376.796908263,2376.796962763,634,1
15,28313,2376.806930253,2376.806933792,634,0
16,28313,2376.817004859,2376.817018397,634,0
17,28313,2376.826908888,2376.826912080,634,0
18,28313,2376.836910532,2376.836922763,634,0
19,28313,2376.846907445,2376.846910907,634,0
20,28313,2376.856914705,2376.856970089,635,1
21,28313,2376.866913887,2376.866930657,635,0
22,28313,2376.876914224,2376.876930608,635,0
23,28313,2376.886912522,2376.886915906,635,0
24,28313,2376.896908781,2376.896922051,635,0
25,28313,2376.906915349,2376.906918772,635,0
26,28313,2376.916911262,2376.916927377,635,0
27,28313,2376.926942522,2376.926945868,635,0
28,28313,2376.936906512,2376.936918781,635,0
29,28313,2376.946909348,2376.946920733,635,0
30,28313,2376.956914108,2376.956972031,636,1
31,28313,2376.966912483,2376.966915675,636,0
32,28313,2376.976908550,2376.976911742,636,0
33,28313,2376.986912694,2376.986928156,636,0
34,28313,2376.996911838,2376.996926723,636,0
35,28313,2377.006914521,2377.006929713,636,0
36,28313,2377.016956242,2377.016970819,636,0
37,28313,2377.026973771,2377.026989617,636,0
38,28313,2377.036901953,2377.036974723,636,0
39,28313,2377.047026482,2377.047041521,636,0
40,28313,2377.056915511,2377.056978626,637,1
41,28313,2377.068563269,2377.068577192,637,0
42,28313,2377.076934876,2377.076949145,637,0
43,28313,2377.086914674,2377.086930059,637,0
44,28313,2377.096943126,2377.096957972,637,0
45,28313,2377.107040155,2377.107055347,637,0
46,28313,2377.117099183,2377.117114183,637,0
47,28313,2377.127145751,2377.127161674,637,0
48,28313,2377.137128818,2377.137143626,637,0
49,28313,2377.146911424,2377.146996731,637,0
50,28313,2377.156911837,2377.156967799,638,1
51,28313,2377.166912674,2377.166928135,638,0
52,28313,2377.176910433,2377.176926202,638,0
53,28313,2377.188582422,2377.188592576,638,0
54,28313,2377.196915914,2377.196918837,638,0
55,28313,2377.206913327,2377.206928943,638,0
56,28313,2377.216908548,2377.216923664,638,0
57,28313,2377.226908500,2377.226924077,638,0
58,28313,2377.236908952,2377.236925260,638,0
59,28313,2377.246911058,2377.246928135,638,0
60,28313,2377.256919086,2377.256934779,638,0
61,28313,2377.268063883,2377.268079653,638,0
62,28313,2377.276910567,2377.276926106,638,0
63,28313,2377.287319557,2377.287334903,638,0
64,28313,2377.296910625,2377.296926125,638,0
65,28313,2377.306924538,2377.306941038,638,0
66,28313,2377.316910336,2377.316925836,638,0
67,28313,2377.326913634,2377.327018211,639,1
68,28313,2377.336910932,2377.336926740,639,0
69,28313,2377.346923692,2377.346938461,639,0
70,28313,2377.356928105,2377.356943451,639,0
71,28313,2377.366915249,2377.366930441,639,0
72,28313,2377.376930701,2377.376945316,639,0
73,28313,2377.386912614,2377.386927576,639,0
74,28313,2377.396912758,2377.396927412,639,0
75,28313,2377.406974480,2377.406990095,639,0
76,28313,2377.417337969,2377.417353931,639,0
77,28313,2377.427002845,2377.427065729,640,1
78,28313,2377.437230219,2377.437244758,640,0
79,28313,2377.447815286,2377.447831248,640,0
80,28313,2377.456912200,2377.456928431,640,0
81,28313,2377.468094305,2377.468110343,640,0
82,28313,2377.476863681,2377.476880950,640,0
83,28313,2377.486916671,2377.486932287,640,0
84,28313,2377.496907969,2377.496922854,640,0
85,28313,2377.506917575,2377.506932998,640,0
86,28313,2377.516909835,2377.516924642,640,0
87,28313,2377.526911709,2377.526927440,640,0
88,28313,2377.536966507,2377.536982084,640,0
89,28313,2377.546947844,2377.546965075,640,0
90,28313,2377.556910950,2377.556927142,640,0
91,28313,2377.566943478,2377.566960248,640,0
92,28313,2377.578386313,2377.578401352,640,0
93,28313,2377.586919036,2377.586934151,640,0
94,28313,2377.596907295,2377.596967411,641,1
95,28313,2377.606915978,2377.606931363,641,0
96,28313,2377.616923161,2377.616938045,641,0
97,28313,2377.626913305,2377.626927843,641,0
98,28313,2377.636950718,2377.636965949,641,0
99,28313,2377.646912939,2377.646927439,641,0
100,28313,2377.656917660,2377.656932660,641,0
101,28313,2377.668063034,2377.668078688,641,0
102,28313,2377.676943795,2377.676958103,641,0
103,28313,2377.686911362,2377.686926054,641,0
104,28313,2377.696910160,2377.696924891,641,0
105,28313,2377.706918920,2377.706932689,641,0
106,28313,2377.717061410,2377.717076871,641,0
107,28313,2377.726914746,2377.726975669,643,1
108,28313,2377.736935621,2377.736951160,643,0
109,28313,2377.746923535,2377.746937958,643,0
110,28313,2377.756920371,2377.756935333,643,0
111,28313,2377.766949746,2377.766964361,643,0
112,28313,2377.778406427,2377.778420543,643,0
113,28313,2377.786906842,2377.786921727,643,0
114,28313,2377.796945948,2377.796960563,643,0
115,28313,2377.806912438,2377.806927554,643,0
116,28313,2377.816910236,2377.816925544,643,0
117,28313,2377.826924111,2377.826982996,644,1
118,28313,2377.836929524,2377.836943832,644,0
119,28313,2377.846909746,2377.846925015,644,0
120,28313,2377.856914044,2377.856928390,644,0
121,28313,2377.866895303,2377.866909534,644,0
122,28313,2377.876933832,2377.876949563,644,0
123,28313,2377.886884938,2377.886901207,644,0
124,28313,2377.896994312,2377.897009159,644,0
125,28313,2377.906916649,2377.906932341,644,0
126,28313,2377.916910678,2377.916926024,644,0
127,28313,2377.926934553,2377.926995437,645,1
128,28313,2377.937220812,2377.937235235,645,0
129,28313,2377.948517340,2377.948530147,645,0
130,28313,2377.956961101,2377.956964139,645,0
131,28313,2377.967121552,2377.967136206,645,0
132,28313,2377.977227273,2377.977241350,645,0
133,28313,2377.987171225,2377.987186187,645,0
134,28313,2377.996909254,2377.996922523,645,0
135,28313,2378.006911360,2378.006924860,645,0
136,28313,2378.016909119,2378.016923504,645,0
137,28313,2378.026908918,2378.026923187,645,0
138,28313,2378.036934600,2378.036948639,645,0
139,28313,2378.047328436,2378.047342705,645,0
140,28313,2378.056911965,2378.056972658,646,1
141,28313,2378.068154031,2378.068164416,646,0
142,28313,2378.076908985,2378.076912292,646,0
143,28313,2378.086910590,2378.086926552,646,0
144,28313,2378.096909888,2378.096923388,646,0
145,28313,2378.106910763,2378.106925263,646,0
146,28313,2378.116917869,2378.116932869,646,0
147,28313,2378.126911552,2378.126926705,646,0
148,28313,2378.136947696,2378.136962119,646,0
149,28313,2378.146907109,2378.146919840,646,0
150,28313,2378.156917407,2378.156931984,646,0
151,28313,2378.168108935,2378.168123742,646,0
152,28313,2378.176910426,2378.176925157,646,0
153,28313,2378.186913301,2378.186927609,646,0
154,28313,2378.196909638,2378.196923061,646,0
155,28313,2378.206909820,2378.206923013,646,0
156,28313,2378.216909426,2378.216924464,646,0
157,28313,2378.226908301,2378.226924416,646,0
158,28313,2378.236910330,2378.236991291,646,0
159,28313,2378.246920935,2378.246933782,646,0
160,28313,2378.256909503,2378.256923618,646,0
161,28313,2378.268048453,2378.268063415,646,0
162,28313,2378.276911791,2378.276926214,646,0
163,28313,2378.286910435,2378.286924858,646,0
164,28313,2378.296909233,2378.296924387,646,0
165,28313,2378.306910800,2378.306925954,646,0
166,28313,2378.316910560,2378.316925598,646,0
167,28313,2378.326972127,2378.327070204,648,1
168,28313,2378.336930348,2378.336945810,648,0
169,28313,2378.346911492,2378.346926146,648,0
170,28313,2378.356925252,2378.356939790,648,0
171,28313,2378.366911665,2378.366926204,648,0
172,28313,2378.376908887,2378.376924387,648,0
173,28313,2378.386908954,2378.386924646,648,0
174,28313,2378.396955559,2378.396968636,648,0
175,28313,2378.406914511,2378.406928434,648,0
176,28313,2378.417131232,2378.417154117,648,0
177,28313,2378.426953146,2378.426967300,648,0
178,28313,2378.437152559,2378.437167751,648,0
179,28313,2378.446909665,2378.446923511,648,0
180,28313,2378.456944463,2378.457039347,650,1
181,28313,2378.466926146,2378.466938299,650,0
182,28313,2378.476908944,2378.476923559,650,0
183,28313,2378.486907895,2378.486922203,650,0
184,28313,2378.496907347,2378.496920809,650,0
185,28313,2378.506942068,2378.506955415,650,0
186,28313,2378.517003136,2378.517015674,650,0
187,28313,2378.527040280,2378.527053587,650,0
188,28313,2378.536914962,2378.536929616,650,0
189,28313,2378.546905607,2378.546919722,650,0
190,28313,2378.556913135,2378.556971828,651,1
191,28313,2378.569078085,2378.569090239,651,0
192,28313,2378.576974885,2378.576977731,651,0
193,28313,2378.586911260,2378.586926760,651,0
194,28313,2378.596940481,2378.596952904,651,0
195,28313,2378.606909279,2378.606922856,651,0
196,28313,2378.617003116,2378.617016693,651,0
197,28313,2378.626949183,2378.627025375,652,1
198,28313,2378.636934827,2378.636949212,652,0
199,28313,2378.647817778,2378.647827432,652,0
200,28313,2378.656909769,2378.656912923,652,0
201,28313,2378.668185143,2378.668196566,652,0
202,28313,2378.676910596,2378.676913750,652,0
203,28313,2378.686912279,2378.686926625,652,0
204,28313,2378.696912077,2378.696972423,653,1
205,28313,2378.706917336,2378.706931798,653,0
206,28313,2378.716908673,2378.716924634,653,0
207,28313,2378.726939932,2378.726955894,653,0
