iter,PID,start,end,instance,activation
0,28315,2376.811292941,2376.811342441,634,1
1,28315,2376.821292816,2376.821296970,634,0
2,28315,2376.831295653,2376.831299037,634,0
3,28315,2376.841291220,2376.841333566,634,1
4,28315,2376.851288672,2376.851292249,634,0
5,28315,2376.861289739,2376.861308316,635,1
6,28315,2376.871291729,2376.871340114,635,1
7,28315,2376.881369566,2376.881372527,635,0
8,28315,2376.891345595,2376.891348710,635,0
9,28315,2376.901417469,2376.901464700,635,1
10,28315,2376.911528460,2376.911531460,635,0
11,28315,2376.921298027,2376.921301065,635,0
12,28315,2376.932632247,2376.932635631,635,0
13,28315,2376.941295815,2376.941349008,635,1
14,28315,2376.951845305,2376.951848767,635,0
15,28315,2376.961289219,2376.961313411,636,1
16,28315,2376.971296017,2376.971352286,636,1
17,28315,2376.981296930,2376.981301007,636,0
18,28315,2376.991298652,2376.991302459,636,0
19,28315,2377.001297257,2377.001300757,636,0
20,28315,2377.011302671,2377.011358440,636,1
21,28315,2377.021304738,2377.021308161,636,0
22,28315,2377.031440959,2377.031444728,636,0
23,28315,2377.041291257,2377.041339949,636,1
24,28315,2377.051300170,2377.051303440,636,0
25,28315,2377.061331853,2377.061352891,637,1
26,28315,2377.071290305,2377.071342112,637,1
27,28315,2377.081291680,2377.081295026,637,0
28,28315,2377.091295478,2377.091299285,637,0
29,28315,2377.101292391,2377.101296276,637,0
30,28315,2377.111289343,2377.111327804,637,1
31,28315,2377.121291564,2377.121295333,637,0
32,28315,2377.131332439,2377.131335708,637,0
33,28315,2377.141296352,2377.141336929,637,1
34,28315,2377.151297189,2377.151300343,637,0
35,28315,2377.161290910,2377.161314794,638,1
36,28315,2377.171295785,2377.171344900,638,1
37,28315,2377.181295929,2377.181299314,638,0
38,28315,2377.191293919,2377.191297304,638,0
39,28315,2377.201291179,2377.201294563,638,0
40,28315,2377.211293284,2377.211333861,638,1
41,28315,2377.221328929,2377.221332313,638,0
42,28315,2377.231337650,2377.231340804,638,0
43,28315,2377.241344986,2377.241386371,638,1
44,28315,2377.251296861,2377.251300169,638,0
45,28315,2377.261405082,2377.261408390,638,0
46,28315,2377.271502303,2377.271552341,638,1
47,28315,2377.281333755,2377.281336986,638,0
48,28315,2377.291386207,2377.291389168,638,0
49,28315,2377.301468236,2377.301515428,638,1
50,28315,2377.311541380,2377.311544380,638,0
51,28315,2377.321427793,2377.321430947,638,0
52,28315,2377.331539168,2377.331563860,639,1
53,28315,2377.341309274,2377.341370543,639,1
54,28315,2377.351292918,2377.351296457,639,0
55,28315,2377.361297524,2377.361301062,639,0
56,28315,2377.371291322,2377.371342283,639,1
57,28315,2377.382444773,2377.382448426,639,0
58,28315,2377.391293649,2377.391297264,639,0
59,28315,2377.401296485,2377.401300177,639,0
60,28315,2377.411294398,2377.411344898,639,1
61,28315,2377.421295889,2377.421299312,639,0
62,28315,2377.431296917,2377.431321071,640,1
63,28315,2377.441293523,2377.441354946,640,1
64,28315,2377.451294860,2377.451298283,640,0
65,28315,2377.461292812,2377.461296042,640,0
66,28315,2377.471294840,2377.471348263,640,1
67,28315,2377.481294446,2377.481297869,640,0
68,28315,2377.491296013,2377.491299629,640,0
69,28315,2377.501295234,2377.501298542,640,0
70,28315,2377.511289455,2377.511336994,640,1
71,28315,2377.521291061,2377.521294407,640,0
72,28315,2377.531349090,2377.531352397,640,0
73,28315,2377.541286157,2377.541326157,640,1
74,28315,2377.551290686,2377.551294917,640,0
75,28315,2377.561360522,2377.561364022,640,0
76,28315,2377.571289282,2377.571328282,640,1
77,28315,2377.581289464,2377.581292926,640,0
78,28315,2377.591933800,2377.591937185,640,0
79,28315,2377.601290022,2377.601314791,641,1
