iter,PID,start,end,instance,activation
0,27566,2318.662843395,2318.662846780,54,1
1,27566,2318.672843654,2318.672846961,54,0
2,27566,2318.682841259,2318.682844951,54,0
3,27566,2318.692847825,2318.692852248,54,0
4,27566,2318.702841507,2318.702845276,54,0
5,27566,2318.712839958,2318.712844227,54,0
6,27566,2318.722840178,2318.722844293,54,0
7,27566,2318.732910437,2318.732913706,54,0
8,27566,2318.742837965,2318.742841773,54,0
9,27566,2318.752838724,2318.752842800,54,0
10,27566,2318.762834636,2318.763493982,55,1
11,27566,2318.772925664,2318.772929241,55,0
12,27566,2318.782834269,2318.782837269,55,0
13,27566,2318.792831412,2318.792834220,55,0
14,27566,2318.802833171,2318.802834979,55,0
15,27566,2318.812827314,2318.812829276,55,0
16,27566,2318.822833919,2318.822836689,55,0
17,27566,2318.832832063,2318.832834640,55,0
18,27566,2318.842857244,2318.842859283,55,0
19,27566,2318.852830772,2318.853382464,56,1
20,27566,2318.862840070,2318.862843339,56,0
21,27566,2318.872836136,2318.872839905,56,0
22,27566,2318.882834510,2318.882837549,56,0
23,27566,2318.892836230,2318.892839115,56,0
24,27566,2318.902834182,2318.902836720,56,0
25,27566,2318.912832979,2318.912834786,56,0
26,27566,2318.922841430,2318.922845122,56,0
27,27566,2318.932871381,2318.932874535,56,0
28,27566,2318.942868486,2318.942871755,56,0
29,27566,2318.952868706,2318.952872283,56,0
30,27566,2318.962845311,2318.963440580,57,1
31,27566,2318.972837993,2318.972842185,57,0
32,27566,2318.982838713,2318.982842252,57,0
33,27566,2318.992841856,2318.992845510,57,0
34,27566,2319.002844615,2319.002848115,57,0
35,27566,2319.012840951,2319.012844528,57,0
36,27566,2319.022845594,2319.022849287,57,0
37,27566,2319.032899814,2319.032903276,57,0
38,27566,2319.042835227,2319.045256378,58,1
39,27566,2319.052834755,2319.052838678,58,0
40,27566,2319.062833706,2319.062837399,58,0
41,27566,2319.072830811,2319.072834734,58,0
42,27566,2319.082832762,2319.082835378,58,0
43,27566,2319.092832829,2319.092835675,58,0
44,27566,2319.102831972,2319.102834318,58,0
45,27566,2319.112831769,2319.112834269,58,0
46,27566,2319.122841259,2319.122844913,58,0
47,27566,2319.132834787,2319.132837864,58,0
48,27566,2319.142833699,2319.142836507,58,0
49,27566,2319.152833073,2319.152835150,58,0
50,27566,2319.162833101,2319.163409101,59,1
51,27566,2319.172832283,2319.172835052,59,0
52,27566,2319.182833004,2319.182835542,59,0
53,27566,2319.192834839,2319.192837147,59,0
