iter,PID,start,end,instance,activation
0,22517,1914.602265596,1914.602271211,0,1
1,22517,1914.612254637,1914.612255753,0,0
2,22517,1914.622269487,1914.622272294,0,0
3,22517,1914.632397105,1914.632399451,0,0
4,22517,1914.642435070,1914.642436185,0,0
5,22517,1914.652256304,1914.652257881,0,0
6,22517,1914.662255999,1914.662257499,0,0
7,22517,1914.672254041,1914.672255810,0,0
8,22517,1914.682260736,1914.682261929,0,0
9,22517,1914.692261509,1914.699392896,0,1
10,22517,1914.702351358,1914.702352820,0,0
11,22517,1914.712521823,1914.712522592,0,0
12,22517,1914.722254441,1914.722255672,0,0
13,22517,1914.732253752,1914.732254906,0,0
14,22517,1914.742254909,1914.742255948,0,0
15,22517,1914.752257451,1914.752258951,0,0
16,22517,1914.762264415,1914.762268338,0,0
17,22517,1914.782032883,1914.782033960,0,0
18,22517,1914.782555037,1914.782556691,0,0
19,22517,1914.792255233,1914.808408199,0,1
20,22517,1914.808438430,1914.808440968,0,0
21,22517,1914.812255547,1914.812256585,0,0
22,22517,1914.822254934,1914.822257357,0,0
23,22517,1914.832254668,1914.832256784,0,0
24,22517,1914.842255325,1914.842256979,0,0
25,22517,1914.852254444,1914.852256136,0,0
26,22517,1914.862613178,1914.862617678,0,0
27,22517,1914.876198528,1914.876201144,0,0
28,22517,1914.885568877,1914.885572531,0,0
29,22517,1914.892257149,1914.909784077,0,1
30,22517,1914.909814808,1914.909817885,0,0
31,22517,1914.912256693,1914.912257809,0,0
32,22517,1914.922254504,1914.922255735,0,0
33,22517,1914.932254238,1914.932254854,0,0
34,22517,1914.942257472,1914.942259511,0,0
35,22517,1914.952281591,1914.952283629,0,0
36,22517,1914.962253748,1914.962256094,0,0
37,22517,1914.972254943,1914.972258174,0,0
38,22517,1914.986637101,1914.986640217,0,0
39,22517,1914.992254488,1915.013687648,0,1
40,22517,1915.013719225,1915.013721341,0,0
41,22517,1915.023809075,1915.023811728,0,0
42,22517,1915.033789616,1915.033791155,0,0
43,22517,1915.043809658,1915.043811004,0,0
44,22517,1915.053788469,1915.053789776,0,0
45,22517,1915.063814472,1915.063816780,0,0
46,22517,1915.073804283,1915.073806552,0,0
47,22517,1915.084513094,1915.084515901,0,0
48,22517,1915.093894212,1915.093897481,0,0
49,22517,1915.103794023,1915.124556106,0,1
50,22517,1915.124623914,1915.124625414,0,0
51,22517,1915.134699225,1915.134700225,0,0
52,22517,1915.144779459,1915.144780036,0,0
53,22517,1915.154721423,1915.154722654,0,0
54,22517,1915.164942196,1915.164943157,0,0
55,22517,1915.175726738,1915.175727699,0,0
56,22517,1915.188329396,1915.207111132,0,1
57,22517,1915.208055440,1915.208056671,0,0
58,22517,1915.218132443,1915.218133213,0,0
59,22517,1915.228279023,1915.228280677,0,0
60,22517,1915.238286104,1915.238287834,0,0
61,22517,1915.248347530,1915.248349337,0,0
62,22517,1915.261962226,1915.261965457,0,0
63,22517,1915.268125574,1915.268128074,0,0
64,22517,1915.278138462,1915.278141693,0,0
65,22517,1915.288127696,1915.288130927,0,0
66,22517,1915.298126468,1915.316197243,0,1
67,22517,1915.316228513,1915.316230974,0,0
68,22517,1915.318124475,1915.318125321,0,0
69,22517,1915.328125324,1915.328125632,0,0
70,22517,1915.338122558,1915.338123519,0,0
71,22517,1915.348123100,1915.348124100,0,0
72,22517,1915.358123218,1915.358124257,0,0
73,22517,1915.368127260,1915.368128837,0,0
74,22517,1915.378150378,1915.378151647,0,0
75,22517,1915.388128189,1915.388129843,0,0
76,22517,1915.398133077,1915.418660929,0,1
77,22517,1915.418681699,1915.418684006,0,0
78,22517,1915.428753356,1915.428756317,0,0
79,22517,1915.438750397,1915.438752936,0,0
80,22517,1915.448749400,1915.448751554,0,0
81,22517,1915.472048908,1915.472052369,0,0
82,22517,1915.472070485,1915.472070831,0,0
83,22517,1915.478758910,1915.504897764,0,1
84,22517,1915.504926533,1915.504928149,0,0
85,22517,1915.514997383,1915.514999537,0,0
86,22517,1915.524997809,1915.524999578,0,0
87,22517,1915.534997735,1915.534999658,0,0
88,22517,1915.544996508,1915.544998508,0,0
89,22517,1915.554995434,1915.554997434,0,0
90,22517,1915.564996706,1915.564998937,0,0
91,22517,1915.578375633,1915.578376595,0,0
92,22517,1915.586908482,1915.586909444,0,0
93,22517,1915.596140293,1915.618170569,0,1
94,22517,1915.618201300,1915.618203607,0,0
95,22517,1915.628275803,1915.628278649,0,0
96,22517,1915.638269614,1915.638271652,0,0
97,22517,1915.648270848,1915.648272848,0,0
98,22517,1915.658273658,1915.658275812,0,0
99,22517,1915.668269162,1915.668271277,0,0
100,22517,1915.678275319,1915.678277665,0,0
101,22517,1915.688271014,1915.712921753,0,1
102,22517,1915.712949791,1915.712952022,0,0
103,22517,1915.723019179,1915.723021640,0,0
104,22517,1915.733018720,1915.733020913,0,0
105,22517,1915.743018300,1915.743020531,0,0
106,22517,1915.753018265,1915.753020496,0,0
107,22517,1915.763106153,1915.763108422,0,0
108,22517,1915.773020618,1915.773023195,0,0
109,22517,1915.783028851,1915.783031928,0,0
110,22517,1915.793804893,1915.793807893,0,0
111,22517,1915.803027973,1915.821982018,0,1
112,22517,1915.822013171,1915.822016287,0,0
113,22517,1915.823019864,1915.823020479,0,0
114,22517,1915.833015944,1915.833016521,0,0
115,22517,1915.843195447,1915.843196101,0,0
116,22517,1915.853229643,1915.853230181,0,0
117,22517,1915.863463415,1915.863463954,0,0
118,22517,1915.873111226,1915.873111764,0,0
119,22517,1915.890630308,1915.911665046,0,1
120,22517,1915.911695084,1915.911697392,0,0
121,22517,1915.921766895,1915.921768703,0,0
122,22517,1915.931848398,1915.931849821,0,0
123,22517,1915.941764324,1915.941766401,0,0
124,22517,1915.951763597,1915.951765866,0,0
125,22517,1915.961763638,1915.961766484,0,0
126,22517,1915.971872218,1915.971876603,0,0
127,22517,1915.981765183,1916.001803343,0,1
128,22517,1916.001833112,1916.001835882,0,0
129,22517,1916.011901346,1916.011902923,0,0
130,22517,1916.021902580,1916.021904888,0,0
131,22517,1916.031902545,1916.031904276,0,0
132,22517,1916.041901548,1916.041903894,0,0
133,22517,1916.051900436,1916.051902513,0,0
134,22517,1916.061905016,1916.061907246,0,0
135,22517,1916.072296134,1916.072299442,0,0
136,22517,1916.083474099,1916.105323529,0,1
137,22517,1916.105353568,1916.105356491,0,0
138,22517,1916.115424994,1916.115426955,0,0
139,22517,1916.125428920,1916.125431497,0,0
140,22517,1916.135467885,1916.135470539,0,0
141,22517,1916.145418965,1916.145421657,0,0
142,22517,1916.155423045,1916.155425506,0,0
143,22517,1916.166884125,1916.166885510,0,0
144,22517,1916.176403090,1916.176406398,0,0
145,22517,1916.190585940,1916.190590133,0,0
146,22517,1916.196054827,1916.216815295,0,1
147,22517,1916.216831333,1916.216833026,0,0
148,22517,1916.226901952,1916.226903644,0,0
149,22517,1916.236903455,1916.236905032,0,0
150,22517,1916.246901804,1916.246903266,0,0
151,22517,1916.256901692,1916.256903192,0,0
152,22517,1916.266899849,1916.266901310,0,0
153,22517,1916.276901583,1916.276903121,0,0
154,22517,1916.286909663,1916.286913086,0,0
155,22517,1916.296904551,1916.319003288,0,1
156,22517,1916.319032519,1916.319035057,0,0
157,22517,1916.329107407,1916.329109907,0,0
158,22517,1916.339100871,1916.339102833,0,0
159,22517,1916.349101490,1916.349103528,0,0
160,22517,1916.359103878,1916.359105839,0,0
161,22517,1916.370271689,1916.370275150,0,0
162,22517,1916.379116576,1916.398553659,0,1
163,22517,1916.398583352,1916.398585621,0,0
164,22517,1916.399106659,1916.399106967,0,0
165,22517,1916.409099547,1916.409101509,0,0
166,22517,1916.419102127,1916.419104127,0,0
167,22517,1916.429102015,1916.429103553,0,0
168,22517,1916.439120210,1916.439121249,0,0
169,22517,1916.449100560,1916.449101598,0,0
170,22517,1916.459103255,1916.459104486,0,0
171,22517,1916.469104912,1916.469106527,0,0
172,22517,1916.479278877,1916.499421998,0,1
173,22517,1916.499444460,1916.499447075,0,0
174,22517,1916.509543425,1916.509546309,0,0
175,22517,1916.519514543,1916.519515889,0,0
176,22517,1916.529562623,1916.529564777,0,0
177,22517,1916.539516319,1916.539518626,0,0
178,22517,1916.549514783,1916.549516937,0,0
179,22517,1916.560596787,1916.560600248,0,0
180,22517,1916.569520020,1916.589274642,0,1
181,22517,1916.589298142,1916.589300680,0,0
182,22517,1916.589642642,1916.589644296,0,0
183,22517,1916.599513260,1916.599515722,0,0
184,22517,1916.610221764,1916.610222841,0,0
185,22517,1916.619515497,1916.619516690,0,0
186,22517,1916.629514885,1916.629516424,0,0
187,22517,1916.639513581,1916.639514811,0,0
188,22517,1916.649513699,1916.649514930,0,0
189,22517,1916.659514356,1916.659515587,0,0
190,22517,1916.669546282,1916.669547975,0,0
191,22517,1916.679518670,1916.679521093,0,0
192,22517,1916.689634135,1916.710513295,0,1
193,22517,1916.710531795,1916.710534064,0,0
194,22517,1916.720600644,1916.720602183,0,0
195,22517,1916.730602455,1916.730603340,0,0
196,22517,1916.740601112,1916.740602151,0,0
197,22517,1916.750599538,1916.750600115,0,0
198,22517,1916.760650503,1916.760651118,0,0
199,22517,1916.770820237,1916.770820737,0,0
200,22517,1916.780931086,1916.808843749,0,1
201,22517,1916.808861518,1916.808862480,0,0
202,22517,1916.818930290,1916.818931637,0,0
203,22517,1916.828933140,1916.828933794,0,0
204,22517,1916.838932066,1916.838932604,0,0
205,22517,1916.848929761,1916.848930377,0,0
206,22517,1916.858957495,1916.858958111,0,0
207,22517,1916.878426732,1916.878430578,0,0
208,22517,1916.878939925,1916.878942540,0,0
209,22517,1916.888936005,1916.915487397,0,1
210,22517,1916.915516359,1916.915518167,0,0
211,22517,1916.925585439,1916.925586247,0,0
212,22517,1916.935584404,1916.935585596,0,0
213,22517,1916.945584522,1916.945586061,0,0
