iter,PID,start,end,instance,activation
0,22205,1866.780986468,1866.780987660,1,1
1,22205,1866.790984049,1866.790985433,1,0
2,22205,1866.800986822,1866.800988053,1,0
3,22205,1866.810983980,1866.810985288,1,0
4,22205,1866.820984177,1866.820985330,1,0
5,22205,1866.830986219,1866.830987258,1,0
6,22205,1866.840987569,1866.840989146,1,0
7,22205,1866.850987766,1866.850989227,1,0
8,22205,1866.860985578,1866.860986808,1,0
9,22205,1866.870995543,1866.871221351,2,1
10,22205,1866.880995163,1866.880999201,2,0
11,22205,1866.890996090,1866.890999667,2,0
12,22205,1866.900997556,1866.901000556,2,0
13,22205,1866.910995445,1866.910998752,2,0
14,22205,1866.920998526,1866.921002179,2,0
15,22205,1866.930990837,1866.930994645,2,0
16,22205,1866.940989957,1866.940992572,2,0
17,22205,1866.950992884,1866.950995230,2,0
18,22205,1866.960990157,1866.960992081,2,0
19,22205,1866.971000854,1866.971003431,2,0
20,22205,1866.980993743,1866.981245166,3,1
21,22205,1866.991029978,1866.991033093,3,0
22,22205,1867.001003212,1867.001005251,3,0
23,22205,1867.010985178,1867.010987217,3,0
24,22205,1867.020984259,1867.020986105,3,0
25,22205,1867.030984225,1867.030986071,3,0
26,22205,1867.040983152,1867.040984614,3,0
27,22205,1867.051008579,1867.051010387,3,0
28,22205,1867.061052853,1867.061054429,3,0
29,22205,1867.070983434,1867.071228703,4,1
30,22205,1867.080993284,1867.080996630,4,0
31,22205,1867.090998326,1867.091002519,4,0
32,22205,1867.100996407,1867.101000369,4,0
33,22205,1867.110996796,1867.111001258,4,0
34,22205,1867.120998839,1867.121003146,4,0
35,22205,1867.131002189,1867.131006804,4,0
36,22205,1867.140989847,1867.140993116,4,0
37,22205,1867.150988159,1867.150990890,4,0
38,22205,1867.160987740,1867.160990432,4,0
39,22205,1867.170992090,1867.171254052,5,1
40,22205,1867.180989517,1867.180992056,5,0
41,22205,1867.192076753,1867.192080368,5,0
42,22205,1867.200988641,1867.200991756,5,0
43,22205,1867.211080107,1867.211084145,5,0
44,22205,1867.221129611,1867.221132995,5,0
45,22205,1867.231000653,1867.231004153,5,0
46,22205,1867.240994773,1867.240998119,5,0
47,22205,1867.250994508,1867.250998008,5,0
48,22205,1867.261020050,1867.261023358,5,0
49,22205,1867.272127516,1867.272373132,6,1
50,22205,1867.280987751,1867.280991020,6,0
51,22205,1867.290985986,1867.290989524,6,0
52,22205,1867.300988567,1867.300991221,6,0
53,22205,1867.310985071,1867.310987456,6,0
54,22205,1867.320986114,1867.320988075,6,0
55,22205,1867.330987118,1867.330988848,6,0
56,22205,1867.340984660,1867.340986468,6,0
57,22205,1867.350984857,1867.350986434,6,0
58,22205,1867.360984438,1867.360986169,6,0
59,22205,1867.370983019,1867.371235634,7,1
60,22205,1867.381261677,1867.381264061,7,0
61,22205,1867.390988219,1867.390990719,7,0
62,22205,1867.400985993,1867.400987800,7,0
63,22205,1867.410986804,1867.410988843,7,0
64,22205,1867.420985193,1867.420986770,7,0
65,22205,1867.430987197,1867.430990044,7,0
66,22205,1867.440987701,1867.440989778,7,0
67,22205,1867.450990436,1867.450993244,7,0
68,22205,1867.460991940,1867.460994594,7,0
69,22205,1867.472047945,1867.472318445,8,1
70,22205,1867.480986564,1867.480989603,8,0
71,22205,1867.490986645,1867.490989337,8,0
72,22205,1867.504128804,1867.504131266,8,0
73,22205,1867.510986884,1867.510989153,8,0
74,22205,1867.520985427,1867.520987927,8,0
75,22205,1867.530984931,1867.530987008,8,0
76,22205,1867.540986012,1867.540987473,8,0
77,22205,1867.550983901,1867.550985208,8,0
78,22205,1867.560983405,1867.560984597,8,0
79,22205,1867.570991640,1867.570993678,8,0
80,22205,1867.583299876,1867.583568376,9,1
81,22205,1867.590990417,1867.590993186,9,0
82,22205,1867.600997498,1867.601000421,9,0
83,22205,1867.610996002,1867.610999695,9,0
84,22205,1867.621001622,1867.621005122,9,0
85,22205,1867.630999857,1867.631003318,9,0
86,22205,1867.641001015,1867.641003707,9,0
87,22205,1867.651001403,1867.651004673,9,0
88,22205,1867.660993677,1867.661249177,10,1
89,22205,1867.670991989,1867.670995219,10,0
90,22205,1867.680989993,1867.680992800,10,0
91,22205,1867.690989497,1867.690992228,10,0
92,22205,1867.702180040,1867.702183194,10,0
93,22205,1867.710985428,1867.710987967,10,0
94,22205,1867.720986702,1867.720988471,10,0
95,22205,1867.730996052,1867.730999475,10,0
96,22205,1867.740988710,1867.740991210,10,0
97,22205,1867.750986445,1867.750988099,10,0
98,22205,1867.760982333,1867.760983795,10,0
99,22205,1867.770986568,1867.771234068,11,1
100,22205,1867.780987688,1867.780990726,11,0
101,22205,1867.790993269,1867.790996807,11,0
102,22205,1867.800990696,1867.800993696,11,0
103,22205,1867.810986085,1867.810987777,11,0
104,22205,1867.824073744,1867.824077321,11,0
105,22205,1867.830999939,1867.831004093,11,0
106,22205,1867.840992405,1867.840995789,11,0
107,22205,1867.850998101,1867.851001755,11,0
108,22205,1867.860994452,1867.860997913,11,0
109,22205,1867.870993494,1867.870996725,11,0
110,22205,1867.880994537,1867.881262921,12,1
111,22205,1867.891000502,1867.891003887,12,0
112,22205,1867.900997814,1867.901002083,12,0
113,22205,1867.910995587,1867.910998626,12,0
114,22205,1867.920998130,1867.921002553,12,0
115,22205,1867.930995865,1867.930999134,12,0
116,22205,1867.940994523,1867.940997331,12,0
117,22205,1867.950994296,1867.950997065,12,0
118,22205,1867.960993339,1867.960996146,12,0
119,22205,1867.970993266,1867.970996381,12,0
120,22205,1867.980994155,1867.981251270,13,1
121,22205,1867.990996813,1867.991000466,13,0
122,22205,1868.000989355,1868.000992624,13,0
123,22205,1868.010993436,1868.010997205,13,0
124,22205,1868.020988133,1868.020991056,13,0
125,22205,1868.030994214,1868.030997752,13,0
126,22205,1868.040995987,1868.040998679,13,0
127,22205,1868.050992568,1868.050995414,13,0
128,22205,1868.060995111,1868.061258611,14,1
129,22205,1868.070993192,1868.070995884,14,0
130,22205,1868.080990196,1868.080993773,14,0
131,22205,1868.090993046,1868.090996507,14,0
132,22205,1868.100992088,1868.100995742,14,0
133,22205,1868.112221708,1868.112224939,14,0
134,22205,1868.124078136,1868.124082713,14,0
135,22205,1868.131002678,1868.131006370,14,0
136,22205,1868.140998913,1868.141002566,14,0
137,22205,1868.150995763,1868.150999647,14,0
138,22205,1868.160994613,1868.161247382,15,1
139,22205,1868.170997348,1868.171000733,15,0
140,22205,1868.180996544,1868.181001429,15,0
141,22205,1868.191001702,1868.191006702,15,0
142,22205,1868.200994860,1868.200999245,15,0
143,22205,1868.210997018,1868.211001018,15,0
144,22205,1868.221000368,1868.221004792,15,0
145,22205,1868.231007603,1868.231012026,15,0
146,22205,1868.241004300,1868.241008415,15,0
147,22205,1868.251094919,1868.251097881,15,0
148,22205,1868.260991193,1868.260994616,15,0
149,22205,1868.270998504,1868.271002274,15,0
150,22205,1868.280998739,1868.281262470,16,1
151,22205,1868.290991705,1868.290995551,16,0
152,22205,1868.300997901,1868.301001555,16,0
153,22205,1868.310994482,1868.310997636,16,0
154,22205,1868.320994756,1868.320998256,16,0
155,22205,1868.331000144,1868.331004375,16,0
156,22205,1868.340996302,1868.341000764,16,0
157,22205,1868.351005999,1868.351010268,16,0
158,22205,1868.360994695,1868.360998310,16,0
159,22205,1868.371006238,1868.371258969,17,1
160,22205,1868.380995511,1868.380999511,17,0
161,22205,1868.392135131,1868.392139131,17,0
162,22205,1868.400995711,1868.401000327,17,0
163,22205,1868.411001369,1868.411004677,17,0
164,22205,1868.421001450,1868.421006066,17,0
165,22205,1868.431005531,1868.431009955,17,0
166,22205,1868.440998112,1868.441002882,17,0
167,22205,1868.450998001,1868.451002386,17,0
168,22205,1868.460995351,1868.460999121,17,0
169,22205,1868.470995894,1868.471253933,18,1
170,22205,1868.480994590,1868.480998167,18,0
171,22205,1868.491007671,1868.491012248,18,0
172,22205,1868.500997945,1868.501002252,18,0
173,22205,1868.511002526,1868.511005718,18,0
174,22205,1868.520995722,1868.520999568,18,0
175,22205,1868.531004419,1868.531008688,18,0
176,22205,1868.540996384,1868.540999807,18,0
177,22205,1868.550994696,1868.550997850,18,0
178,22205,1868.562818893,1868.563067124,19,1
179,22205,1868.570994127,1868.570997320,19,0
180,22205,1868.580987554,1868.580990708,19,0
181,22205,1868.590987405,1868.590990905,19,0
182,22205,1868.600989563,1868.600992063,19,0
183,22205,1868.610984874,1868.610986490,19,0
184,22205,1868.620984148,1868.620985494,19,0
185,22205,1868.630983921,1868.630985075,19,0
186,22205,1868.640984194,1868.640985310,19,0
187,22205,1868.650994237,1868.650997045,19,0
188,22205,1868.660992549,1868.660995280,19,0
189,22205,1868.672081053,1868.672437438,20,1
190,22205,1868.680988442,1868.680992134,20,0
191,22205,1868.690989407,1868.690992715,20,0
192,22205,1868.704070105,1868.704073566,20,0
193,22205,1868.710987685,1868.710990569,20,0
194,22205,1868.720990189,1868.720993381,20,0
195,22205,1868.730989539,1868.730992616,20,0
196,22205,1868.740991428,1868.740994351,20,0
197,22205,1868.751050393,1868.751052547,20,0
198,22205,1868.760986551,1868.760988590,20,0
199,22205,1868.770988286,1868.770989902,20,0
200,22205,1868.780985944,1868.781311367,21,1
201,22205,1868.791626064,1868.791628295,21,0
202,22205,1868.800990029,1868.800993183,21,0
203,22205,1868.810987456,1868.810990072,21,0
204,22205,1868.820962114,1868.820964230,21,0
205,22205,1868.830935426,1868.830937080,21,0
206,22205,1868.841095738,1868.841098046,21,0
207,22205,1868.850987857,1868.850989627,21,0
208,22205,1868.860986208,1868.860987939,21,0
209,22205,1868.870985250,1868.870986750,21,0
210,22205,1868.880986870,1868.881310639,22,1
211,22205,1868.890991182,1868.890993220,22,0
212,22205,1868.901423878,1868.901426840,22,0
213,22205,1868.910993613,1868.910996959,22,0
214,22205,1868.920991040,1868.920994271,22,0
215,22205,1868.930992390,1868.930995813,22,0
216,22205,1868.940991279,1868.940994587,22,0
217,22205,1868.950990398,1868.950992783,22,0
218,22205,1868.961009479,1868.961011633,22,0
219,22205,1868.970991022,1868.971314830,23,1
220,22205,1868.980993295,1868.980996757,23,0
221,22205,1868.990991645,1868.990994953,23,0
222,22205,1869.001679573,1869.001683304,23,0
223,22205,1869.010989961,1869.010992500,23,0
224,22205,1869.020985812,1869.020986735,23,0
225,22205,1869.030984816,1869.030985585,23,0
226,22205,1869.040982704,1869.040983589,23,0
227,22205,1869.050982862,1869.050983862,23,0
228,22205,1869.061018405,1869.061019866,23,0
229,22205,1869.070990601,1869.071324140,24,1
230,22205,1869.080990413,1869.080993413,24,0
231,22205,1869.090986340,1869.090988225,24,0
232,22205,1869.100979536,1869.100980652,24,0
233,22205,1869.110985733,1869.110987194,24,0
234,22205,1869.120987506,1869.120988506,24,0
235,22205,1869.130985933,1869.130987318,24,0
236,22205,1869.140984322,1869.140985399,24,0
237,22205,1869.150980672,1869.150981557,24,0
238,22205,1869.160985446,1869.160986215,24,0
239,22205,1869.170984373,1869.171298450,25,1
240,22205,1869.180984992,1869.180986108,25,0
241,22205,1869.190987881,1869.190989842,25,0
242,22205,1869.200987962,1869.200990231,25,0
243,22205,1869.210989158,1869.210991466,25,0
244,22205,1869.220990124,1869.220992432,25,0
245,22205,1869.230987397,1869.230989628,25,0
246,22205,1869.240986401,1869.240987632,25,0
247,22205,1869.250984790,1869.250986136,25,0
248,22205,1869.260984717,1869.260986217,25,0
249,22205,1869.271015529,1869.271016683,25,0
250,22205,1869.280984918,1869.281298841,26,1
