iter,PID,start,end,instance,activation
0,23189,1950.955937271,1950.956261541,0,1
1,23189,1950.996025743,1950.996150743,0,1
2,23189,1951.036070561,1951.036721061,0,1
3,23189,1951.076044379,1951.076174032,0,1
4,23189,1951.116047389,1951.116189658,0,1
5,23189,1951.155997360,1951.156193091,0,1
6,23189,1951.196312947,1951.196434601,0,1
7,23189,1951.236038996,1951.236224457,0,1
8,23189,1951.276064698,1951.276190698,0,1
9,23189,1951.316046900,1951.316173247,0,1
10,23189,1951.356082757,1951.356264064,0,1
11,23189,1951.396046228,1951.396176844,0,1
12,23189,1951.436074738,1951.436580354,0,1
13,23189,1951.476059171,1951.476179364,0,1
14,23189,1951.516049528,1951.516202682,0,1
15,23189,1951.556057884,1951.556189922,0,1
16,23189,1951.596056548,1951.596188202,0,1
17,23189,1951.636055942,1951.636516904,0,1
18,23189,1951.676042914,1951.692100880,0,1
19,23189,1951.716066001,1951.716138847,0,1
20,23189,1951.756069857,1951.756139473,0,1
21,23189,1951.796056290,1951.796117175,0,1
22,23189,1951.836047954,1951.836118031,0,1
23,23189,1951.876066503,1951.876128234,0,1
24,23189,1951.916573667,1951.916625628,0,1
25,23189,1951.956035100,1951.956119792,0,1
26,23189,1951.996068764,1951.996125917,0,1
27,23189,1952.036051581,1952.036129466,0,1
28,23189,1952.076054053,1952.076106245,0,1
29,23189,1952.116041371,1952.116090717,0,1
30,23189,1952.156054227,1952.156129996,0,1
31,23189,1952.197373775,1952.197429275,0,1
32,23189,1952.236041939,1952.236173977,0,1
33,23189,1952.276043641,1952.276103718,0,1
34,23189,1952.316028190,1952.316106190,0,1
35,23189,1952.356041815,1952.356101277,0,1
36,23189,1952.396067556,1952.396120710,0,1
37,23189,1952.436070758,1952.436143758,0,1
38,23189,1952.476047999,1952.476109691,0,1
39,23189,1952.516044894,1952.516112355,0,1
40,23189,1952.556049365,1952.556112596,0,1
41,23189,1952.596041760,1952.596102029,0,1
42,23189,1952.636167385,1952.636245924,0,1
43,23189,1952.676045395,1952.676097934,0,1
44,23189,1952.716537367,1952.716620751,0,1
45,23189,1952.756035184,1952.756086954,0,1
46,23189,1952.796042156,1952.796099771,0,1
47,23189,1952.836097820,1952.836162397,0,1
48,23189,1952.876055176,1952.876099984,0,1
49,23189,1952.916040686,1952.916094301,0,1
50,23189,1952.956074388,1952.956142888,0,1
51,23189,1952.996102321,1952.996168244,0,1
52,23189,1953.036051100,1953.036156062,0,1
53,23189,1953.076116610,1953.076180649,0,1
54,23189,1953.116047274,1953.116106620,0,1
55,23189,1953.156045822,1953.156124861,0,1
56,23189,1953.195975525,1953.196087640,0,1
57,23189,1953.236049727,1953.236130611,0,1
58,23189,1953.276071814,1953.276123429,0,1
59,23189,1953.316064900,1953.316173093,0,1
60,23189,1953.356415949,1953.356480911,0,1
61,23189,1953.396047074,1953.396100574,0,1
62,23189,1953.436076892,1953.436133353,0,1
63,23189,1953.476038402,1953.476108940,0,1
64,23189,1953.516412258,1953.516463566,0,1
65,23189,1953.556037883,1953.556112845,0,1
66,23189,1953.596049162,1953.596104201,0,1
67,23189,1953.636081057,1953.636157095,0,1
68,23189,1953.676034374,1953.676087990,0,1
69,23189,1953.716045500,1953.716096384,0,1
70,23189,1953.756091779,1953.756167741,0,1
71,23189,1953.796029981,1953.796082443,0,1
72,23189,1953.836036299,1953.836098183,0,1
73,23189,1953.876066309,1953.876139347,0,1
74,23189,1953.916039742,1953.916091434,0,1
75,23189,1953.956054829,1953.956128405,0,1
76,23189,1953.996034069,1953.996086415,0,1
77,23189,1954.036069810,1954.036120810,0,1
78,23189,1954.076049704,1954.076099666,0,1
79,23189,1954.116260599,1954.116329560,0,1
80,23189,1954.156034301,1954.156088647,0,1
81,23189,1954.196035157,1954.196104888,0,1
82,23189,1954.236162205,1954.236211013,0,1
83,23189,1954.276057869,1954.276104907,0,1
84,23189,1954.316089263,1954.316164071,0,1
85,23189,1954.356082850,1954.356135927,0,1
86,23189,1954.396052976,1954.396127283,0,1
87,23189,1954.436050716,1954.436135408,0,1
88,23189,1954.476058457,1954.476121572,0,1
89,23189,1954.516079851,1954.516130621,0,1
90,23189,1954.556070746,1954.556140900,0,1
91,23189,1954.596038333,1954.596085102,0,1
92,23189,1954.636083458,1954.636129842,0,1
93,23189,1954.676048660,1954.676100006,0,1
94,23189,1954.716029516,1954.716102324,0,1
95,23189,1954.756098949,1954.756168257,0,1
96,23189,1954.796033190,1954.796084190,0,1
97,23189,1954.836023853,1954.836079776,0,1
98,23189,1954.876277094,1954.876390594,0,1
99,23189,1954.916041488,1954.916114719,0,1
100,23189,1954.956040844,1954.956094267,0,1
101,23189,1954.996070431,1954.996115162,0,1
102,23189,1955.036689364,1955.036737633,0,1
103,23189,1955.076144181,1955.076213258,0,1
104,23189,1955.116200537,1955.116246076,0,1
105,23189,1955.156042047,1955.156094201,0,1
106,23189,1955.195978711,1955.196072134,0,1
107,23189,1955.236046605,1955.236100759,0,1
108,23189,1955.276040154,1955.276102577,0,1
109,23189,1955.316080817,1955.316156317,0,1
110,23189,1955.356032789,1955.356083789,0,1
111,23189,1955.396043798,1955.396089529,0,1
112,23189,1955.436034077,1955.436160039,0,1
113,23189,1955.476755357,1955.476825895,0,1
114,23189,1955.516038174,1955.516093212,0,1
115,23189,1955.556037953,1955.556109876,0,1
116,23189,1955.596055540,1955.596107809,0,1
117,23189,1955.636031357,1955.636118703,0,1
118,23189,1955.676050521,1955.676119252,0,1
119,23189,1955.716408415,1955.716459646,0,1
120,23189,1955.756087271,1955.756152964,0,1
121,23189,1955.796029666,1955.796081204,0,1
122,23189,1955.836027406,1955.836076098,0,1
123,23189,1955.876239647,1955.876305685,0,1
124,23189,1955.916130503,1955.916191772,0,1
125,23189,1955.956151436,1955.956200012,0,1
126,23189,1955.996023138,1955.996072022,0,1
127,23189,1956.036023109,1956.036115109,0,1
128,23189,1956.076456234,1956.076520196,0,1
129,23189,1956.116073167,1956.116130436,0,1
130,23189,1956.156036907,1956.156102830,0,1
131,23189,1956.196043109,1956.196090032,0,1
132,23189,1956.236051619,1956.236098619,0,1
133,23189,1956.276070206,1956.276135821,0,1
134,23189,1956.316024408,1956.316072754,0,1
135,23189,1956.356037764,1956.356101764,0,1
136,23189,1956.396060850,1956.396109158,0,1
137,23189,1956.436027822,1956.436097399,0,1
138,23189,1956.476081947,1956.476134985,0,1
139,23189,1956.516026303,1956.516079072,0,1
140,23189,1956.556217197,1956.556287735,0,1
141,23189,1956.596026245,1956.596075822,0,1
142,23189,1956.636044755,1956.636115563,0,1
143,23189,1956.676046726,1956.676096649,0,1
144,23189,1956.716166467,1956.716208698,0,1
145,23189,1956.756250246,1956.756332861,0,1
146,23189,1956.799676949,1956.799721679,0,1
147,23189,1956.836144765,1956.836220958,0,1
148,23189,1956.876049198,1956.876106121,0,1
149,23189,1956.916040938,1956.916275669,0,1
150,23189,1956.956051871,1956.956102179,0,1
151,23189,1956.996029958,1956.996077919,0,1
152,23189,1957.036098429,1957.036160467,0,1
153,23189,1957.076027362,1957.076095631,0,1
154,23189,1957.116030756,1957.116079295,0,1
155,23189,1957.156248997,1957.156317381,0,1
156,23189,1957.196038237,1957.196081083,0,1
157,23189,1957.236039208,1957.236103708,0,1
158,23189,1957.276314256,1957.276358256,0,1
159,23189,1957.316060612,1957.316124343,0,1
160,23189,1957.356321930,1957.356374507,0,1
161,23189,1957.396076631,1957.396124555,0,1
162,23189,1957.435977372,1957.436055410,0,1
163,23189,1957.476043305,1957.476091882,0,1
164,23189,1957.516025814,1957.516072891,0,1
165,23189,1957.556071132,1957.556140401,0,1
166,23189,1957.597476065,1957.597522488,0,1
167,23189,1957.636039228,1957.636104305,0,1
168,23189,1957.676049045,1957.676102007,0,1
169,23189,1957.716047094,1957.716099555,0,1
170,23189,1957.756043642,1957.756106949,0,1
171,23189,1957.796083074,1957.796131036,0,1
172,23189,1957.836101546,1957.836148507,0,1
173,23189,1957.876889748,1957.876948671,0,1
174,23189,1957.917154450,1957.917213604,0,1
175,23189,1957.956296921,1957.956360844,0,1
176,23189,1957.996029315,1957.996078084,0,1
177,23189,1958.036036171,1958.036121517,0,1
178,23189,1958.076072065,1958.076142526,0,1
179,23189,1958.116030036,1958.116078305,0,1
180,23189,1958.156555930,1958.156625430,0,1
181,23189,1958.196030632,1958.196078632,0,1
182,23189,1958.236197719,1958.236250219,0,1
183,23189,1958.276184536,1958.276244921,0,1
184,23189,1958.316342200,1958.316389392,0,1
185,23189,1958.356058632,1958.356134863,0,1
186,23189,1958.399360296,1958.399416835,0,1
187,23189,1958.436110344,1958.436171882,0,1
188,23189,1958.476072200,1958.476118200,0,1
189,23189,1958.516056017,1958.516122440,0,1
190,23189,1958.557265719,1958.557315988,0,1
191,23189,1958.596081382,1958.596128075,0,1
192,23189,1958.636222084,1958.636288046,0,1
193,23189,1958.676136632,1958.676188478,0,1
194,23189,1958.716083257,1958.716125603,0,1
195,23189,1958.756050036,1958.756121690,0,1
196,23189,1958.796025161,1958.796074084,0,1
197,23189,1958.836082017,1958.836151863,0,1
198,23189,1958.876447680,1958.876495142,0,1
199,23189,1958.916023574,1958.916070998,0,1
200,23189,1958.956104584,1958.956153584,0,1
201,23189,1958.996107555,1958.996173863,0,1
202,23189,1959.036038488,1959.036107142,0,1
203,23189,1959.076349767,1959.076394574,0,1
204,23189,1959.116030661,1959.116883161,0,1
205,23189,1959.156031786,1959.156098170,0,1
206,23189,1959.196156718,1959.196205141,0,1
207,23189,1959.236035689,1959.236092805,0,1
208,23189,1959.276036660,1959.276097584,0,1
209,23189,1959.316025632,1959.316073747,0,1
210,23189,1959.357271680,1959.357349372,0,1
211,23189,1959.396048612,1959.396098881,0,1
212,23189,1959.436075199,1959.436144276,0,1
213,23189,1959.476073401,1959.476122516,0,1
214,23189,1959.516105602,1959.516150410,0,1
215,23189,1959.556048458,1959.556095881,0,1
216,23189,1959.596024083,1959.596083352,0,1
217,23189,1959.636122093,1959.636187516,0,1
218,23189,1959.676024294,1959.676085179,0,1
219,23189,1959.716059189,1959.716109612,0,1
220,23189,1959.756070621,1959.756133660,0,1
221,23189,1959.796115785,1959.796162208,0,1
222,23189,1959.836257025,1959.836326794,0,1
223,23189,1959.876083881,1959.876132188,0,1
224,23189,1959.916092006,1959.916159159,0,1
225,23189,1959.956063092,1959.956115323,0,1
226,23189,1959.996032640,1959.996075948,0,1
227,23189,1960.036033265,1960.036157226,0,1
228,23189,1960.076338197,1960.076381851,0,1
229,23189,1960.116096515,1960.116145822,0,1
230,23189,1960.156404063,1960.156463293,0,1
231,23189,1960.196040457,1960.196093457,0,1
232,23189,1960.236063697,1960.236116235,0,1
233,23189,1960.276031745,1960.276098783,0,1
234,23189,1960.316119139,1960.316160677,0,1
235,23189,1960.356183764,1960.356246571,0,1
236,23189,1960.396319581,1960.396359619,0,1
237,23189,1960.436105090,1960.436174975,0,1
238,23189,1960.476045446,1960.476090215,0,1
239,23189,1960.516113456,1960.516179533,0,1
240,23189,1960.556051580,1960.556095465,0,1
241,23189,1960.596044513,1960.596093436,0,1
242,23189,1960.636572715,1960.636618792,0,1
243,23189,1960.677643917,1960.677713648,0,1
244,23189,1960.720590581,1960.720637081,0,1
245,23189,1960.756043012,1960.756095205,0,1
246,23189,1960.796028099,1960.796094791,0,1
247,23189,1960.836042108,1960.836090301,0,1
248,23189,1960.876024618,1960.876091272,0,1
249,23189,1960.916722589,1960.916769281,0,1
250,23189,1960.957267137,1960.957338560,0,1
251,23189,1960.996034800,1960.996083185,0,1
252,23189,1961.036581002,1961.036628963,0,1
253,23189,1961.076144434,1961.076212357,0,1
254,23189,1961.116184828,1961.116226905,0,1
255,23189,1961.156046607,1961.156100876,0,1
256,23189,1961.196083424,1961.196149270,0,1
257,23189,1961.236085472,1961.236135741,0,1
258,23189,1961.276051404,1961.276101866,0,1
259,23189,1961.316051568,1961.316135952,0,1
260,23189,1961.356784270,1961.356834770,0,1
261,23189,1961.396026894,1961.396092856,0,1
262,23189,1961.436083096,1961.436147288,0,1
263,23189,1961.476035221,1961.476084067,0,1
264,23189,1961.516225269,1961.516268923,0,1
265,23189,1961.556217855,1961.556265471,0,1
266,23189,1961.596651942,1961.596716326,0,1
267,23189,1961.636075951,1961.636123182,0,1
268,23189,1961.676101268,1961.676170268,0,1
269,23189,1961.716281893,1961.716330393,0,1
270,23189,1961.756062287,1961.756132133,0,1
271,23189,1961.796027181,1961.796076835,0,1
272,23189,1961.836090498,1961.836155306,0,1
