iter,PID,start,end,instance,activation
0,23198,1951.836808647,1951.837893993,0,0
1,23198,1951.876890080,1951.876895734,0,0
2,23198,1951.918238552,1951.918676167,0,0
3,23198,1951.956883985,1951.956912754,0,0
4,23198,1951.996885995,1951.998397918,0,0
5,23198,1952.036882505,1952.038448736,0,1
6,23198,1952.076899515,1952.076904053,0,0
7,23198,1952.116896371,1952.116986025,0,0
8,23198,1952.156888804,1952.158035612,0,1
9,23198,1952.196885083,1952.196890929,0,0
10,23198,1952.236884516,1952.238031286,0,1
11,23198,1952.276886911,1952.276893180,0,0
12,23198,1952.316885767,1952.316914421,0,0
13,23198,1952.356889161,1952.358222816,0,1
14,23198,1952.396891441,1952.396981979,0,0
15,23198,1952.436961951,1952.438116182,0,1
16,23198,1952.477101692,1952.477105422,0,0
17,23198,1952.517707856,1952.518832702,0,1
18,23198,1952.556904327,1952.556928327,0,0
19,23198,1952.600046761,1952.600066453,0,0
20,23198,1952.636887193,1952.636907078,0,0
21,23198,1952.680303742,1952.681657781,0,1
22,23198,1952.716882790,1952.718110136,0,1
23,23198,1952.756885800,1952.756890415,0,0
24,23198,1952.796892656,1952.796909310,0,0
25,23198,1952.836886358,1952.838032974,0,1
26,23198,1952.876884176,1952.876887022,0,0
27,23198,1952.916889801,1952.916895917,0,0
28,23198,1952.956883811,1952.956996619,0,0
29,23198,1952.996884821,1952.996888129,0,0
30,23198,1953.036950139,1953.038118947,0,1
31,23198,1953.077213880,1953.078333918,0,1
32,23198,1953.116934236,1953.116937890,0,0
33,23198,1953.157684130,1953.158893785,0,1
34,23198,1953.196891025,1953.196896871,0,0
35,23198,1953.236882035,1953.236993881,0,0
36,23198,1953.276908237,1953.278061583,0,1
37,23198,1953.317130016,1953.317134439,0,0
38,23198,1953.356885372,1953.356905334,0,0
39,23198,1953.397047344,1953.398272306,0,1
40,23198,1953.437976662,1953.437981008,0,0
41,23198,1953.477291056,1953.478439864,0,1
42,23198,1953.516881873,1953.516969604,0,0
43,23198,1953.556851960,1953.556875383,0,0
44,23198,1953.596885778,1953.598038240,0,1
45,23198,1953.638596827,1953.638625788,0,0
46,23198,1953.676886990,1953.678154413,0,1
47,23198,1953.716892923,1953.716895885,0,0
48,23198,1953.756996779,1953.758242164,0,1
49,23198,1953.798542559,1953.798630097,0,0
50,23198,1953.836888607,1953.836929530,0,0
51,23198,1953.876928347,1953.876950655,0,0
52,23198,1953.917216127,1953.918501742,0,1
53,23198,1953.956892098,1953.956917444,0,0
54,23198,1953.996890377,1953.996894185,0,0
55,23198,1954.036890848,1954.038047349,0,1
56,23198,1954.076888435,1954.076981205,0,0
57,23198,1954.117076330,1954.117093830,0,0
58,23198,1954.157886071,1954.159156263,0,1
59,23198,1954.196892657,1954.196918619,0,0
60,23198,1954.236882898,1954.238126283,0,1
61,23198,1954.277041485,1954.277043792,0,0
62,23198,1954.317378841,1954.317395879,0,0
63,23198,1954.356886197,1954.358143735,0,1
64,23198,1954.397433668,1954.397463437,0,0
65,23198,1954.437381409,1954.438528486,0,1
66,23198,1954.476882419,1954.476902649,0,0
67,23198,1954.517678698,1954.517680429,0,0
68,23198,1954.556958554,1954.558134131,0,1
