iter,PID,start,end,instance,activation
0,23210,1951.403484384,1951.434709815,0,0
1,23210,1951.434759738,1951.454979282,0,0
2,23210,1951.455006820,1951.512725065,0,0
3,23210,1951.512745219,1951.533455763,0,0
4,23210,1951.533519878,1951.563096463,0,0
5,23210,1951.563115616,1951.612759667,0,0
6,23210,1951.612781090,1951.628072748,0,0
7,23210,1951.628091094,1951.649345484,0,0
8,23210,1951.649371677,1951.657760140,0,0
9,23210,1951.660474256,1951.706983460,0,1
10,23210,1951.707014922,1951.721539272,0,1
11,23210,1951.721567695,1951.742937431,0,1
12,23210,1951.742969200,1951.767886745,0,1
13,23210,1951.767915514,1951.777025555,0,1
14,23210,1951.777995363,1951.794377752,0,1
15,23210,1951.794404790,1951.813200525,0,1
16,23210,1951.813226256,1951.826695337,0,1
17,23210,1951.826724298,1951.834351031,0,1
18,23210,1951.834378915,1951.844986610,0,1
19,23210,1951.845013649,1951.858735691,0,1
20,23210,1951.858764383,1951.865248962,0,1
21,23210,1951.865278385,1951.867775039,0,1
22,23210,1951.873300271,1951.876493734,0,1
23,23210,1951.883297620,1951.886332159,0,1
24,23210,1951.893304084,1951.896417354,0,1
25,23210,1951.903310856,1951.916456744,0,1
26,23210,1951.916484590,1951.928207208,0,1
27,23210,1951.928234477,1951.937335249,0,1
28,23210,1951.937440287,1951.945907520,0,1
29,23210,1951.945936674,1951.948437329,0,1
30,23210,1951.953799176,1951.958946370,0,1
31,23210,1951.963927179,1951.967124603,0,1
32,23210,1951.975967412,1951.983960376,0,1
33,23210,1951.983990030,1951.987602146,0,1
34,23210,1951.993300378,1951.999752611,0,1
35,23210,1952.003302304,1952.007874882,0,1
36,23210,1952.013321460,1952.019526269,0,1
37,23210,1952.023394963,1952.028149156,0,1
38,23210,1952.033708773,1952.077496669,0,1
39,23210,1952.077522938,1952.100851674,0,1
40,23210,1952.100881328,1952.112477870,0,1
41,23210,1952.112505177,1952.123193949,0,1
42,23210,1952.123222949,1952.130978682,0,1
43,23210,1952.131009874,1952.140576800,0,1
44,23210,1952.140969608,1952.144604955,0,1
45,23210,1952.150952764,1952.154541149,0,1
46,23210,1952.165977960,1952.197240314,0,1
47,23210,1952.197271122,1952.207161470,0,1
48,23210,1952.207342970,1952.213042779,0,1
49,23210,1952.220147435,1952.224804282,0,1
50,23210,1952.227343552,1952.233021823,0,1
51,23210,1952.238107324,1952.246670480,0,1
52,23210,1952.247341249,1952.253115636,0,1
53,23210,1952.265099985,1952.272306717,0,1
54,23210,1952.272332256,1952.291328722,0,1
55,23210,1952.291351953,1952.301779148,0,1
56,23210,1952.301799840,1952.308978765,0,1
57,23210,1952.311658304,1952.319434037,0,1
58,23210,1952.322323461,1952.329362924,0,1
59,23210,1952.332548232,1952.338255695,0,1
60,23210,1952.342271081,1952.347302621,0,1
61,23210,1952.353916507,1952.389696516,0,1
62,23210,1952.389717554,1952.403572481,0,1
63,23210,1952.403593558,1952.409968059,0,1
64,23210,1952.409992444,1952.413778906,0,1
65,23210,1952.419766677,1952.428779987,0,1
66,23210,1952.429787641,1952.438115220,0,1
67,23210,1952.439821528,1952.461650995,0,1
68,23210,1952.461673842,1952.469872459,0,1
69,23210,1952.471743344,1952.475378037,0,1
70,23210,1952.495262081,1952.504870506,0,1
71,23210,1952.504893122,1952.510728508,0,1
72,23210,1952.515610393,1952.524596011,0,1
73,23210,1952.525232204,1952.532060474,0,1
74,23210,1952.535097052,1952.541664592,0,1
75,23210,1952.545242132,1952.551399787,0,1
76,23210,1952.555053557,1952.561687328,0,1
77,23210,1952.565254598,1952.569090638,0,1
78,23210,1952.580468756,1952.595279106,0,1
79,23210,1952.595305375,1952.613285802,0,1
80,23210,1952.613309341,1952.622731151,0,1
81,23210,1952.622753074,1952.628452075,0,1
82,23210,1952.628479729,1952.634234423,0,1
83,23210,1952.635460270,1952.643779425,0,1
84,23210,1952.646015695,1952.650067850,0,1
85,23210,1952.667905970,1952.695733323,0,1
86,23210,1952.695762785,1952.700385670,0,1
87,23210,1952.707758634,1952.712615058,0,1
88,23210,1952.715889443,1952.728065677,0,1
89,23210,1952.728083523,1952.733547640,0,1
90,23210,1952.736138949,1952.742336565,0,1
91,23210,1952.745832413,1952.754207030,0,1
92,23210,1952.756177838,1952.762277494,0,1
93,23210,1952.770676111,1952.789577616,0,1
94,23210,1952.789601770,1952.799648118,0,1
95,23210,1952.799693195,1952.806568466,0,1
96,23210,1952.809854236,1952.814811084,0,1
97,23210,1952.820083546,1952.825375048,0,1
98,23210,1952.830139434,1952.835620089,0,1
99,23210,1952.840857667,1952.846841399,0,1
