iter,PID,start,end,instance,activation
0,23191,1951.257099539,1951.279979238,0,0
1,23191,1951.280077968,1951.305118436,0,0
2,23191,1951.305141475,1951.348412216,0,0
3,23191,1951.348435370,1951.386904534,0,0
4,23191,1951.386932111,1951.396933267,0,0
5,23191,1951.396957882,1951.410755155,0,0
6,23191,1951.410779886,1951.418553349,0,0
7,23191,1951.418577042,1951.430342045,0,0
8,23191,1951.430361275,1951.455913320,0,0
9,23191,1951.455932320,1951.486045520,0,0
10,23191,1951.486071751,1951.510173872,0,0
11,23191,1951.510196372,1951.517315759,0,0
12,23191,1951.520289798,1951.531677916,0,0
13,23191,1951.531695685,1951.543211573,0,0
14,23191,1951.543232111,1951.575689543,0,0
15,23191,1951.575708081,1951.588496007,0,0
16,23191,1951.588527123,1951.604745088,0,0
17,23191,1951.604771050,1951.617412322,0,0
18,23191,1951.617432899,1951.623260516,0,0
19,23191,1951.627513748,1951.645806868,0,0
20,23191,1951.645827522,1951.654318947,0,0
21,23191,1951.654345986,1951.657026871,0,0
22,23191,1951.657502717,1951.699378535,0,0
23,23191,1951.699398689,1951.701458036,0,1
24,23191,1951.709473692,1951.710912192,0,1
25,23191,1951.719484656,1951.721877887,0,1
26,23191,1951.729482235,1951.730846236,0,1
27,23191,1951.743048008,1951.745300201,0,1
28,23191,1951.749473740,1951.750568548,0,1
29,23191,1951.759587589,1951.761060474,0,1
30,23191,1951.769663476,1951.770719284,0,1
31,23191,1951.779905556,1951.781278517,0,1
32,23191,1951.790072674,1951.791541828,0,1
33,23191,1951.799486907,1951.801645292,0,1
34,23191,1951.809564140,1951.812098294,0,1
35,23191,1951.819936258,1951.823930067,0,1
36,23191,1951.829740414,1951.834647262,0,1
37,23191,1951.839797071,1951.841890033,0,1
38,23191,1951.853302420,1951.854605882,0,1
39,23191,1951.859547037,1951.861797115,0,1
40,23191,1951.869815540,1951.871193386,0,1
41,23191,1951.879746388,1951.881178696,0,1
42,23191,1951.889606045,1951.891547814,0,1
43,23191,1951.899788086,1951.901074663,0,1
44,23191,1951.909535396,1951.913488628,0,1
45,23191,1951.919504552,1951.924133130,0,1
46,23191,1951.929479055,1951.933818056,0,1
