iter,PID,start,end,instance,activation
0,22276,1869.230359474,1869.230361012,24,1
1,22276,1869.240355939,1869.240357478,24,0
2,22276,1869.250355097,1869.250357213,24,0
3,22276,1869.260353755,1869.260355448,24,0
4,22276,1869.270353182,1869.270355105,24,0
5,22276,1869.280351110,1869.280352610,24,0
6,22276,1869.290353152,1869.290355268,24,0
7,22276,1869.300354579,1869.300357002,24,0
8,22276,1869.310355891,1869.310414430,24,0
9,22276,1869.320355934,1869.320373049,25,1
10,22276,1869.330353015,1869.330354515,25,0
11,22276,1869.340353519,1869.340355173,25,0
12,22276,1869.350356407,1869.350358023,25,0
13,22276,1869.360350835,1869.360353104,25,0
14,22276,1869.370354723,1869.370357108,25,0
15,22276,1869.380352958,1869.380354920,25,0
16,22276,1869.390356001,1869.390358462,25,0
17,22276,1869.400370543,1869.400387120,26,1
18,22276,1869.410353816,1869.410356047,26,0
19,22276,1869.420351590,1869.420353359,26,0
20,22276,1869.430351671,1869.430353325,26,0
21,22276,1869.440351175,1869.440352636,26,0
22,22276,1869.450354179,1869.450356256,26,0
23,22276,1869.460353068,1869.460355221,26,0
24,22276,1869.470352687,1869.470354456,26,0
25,22276,1869.480355614,1869.480357730,26,0
26,22276,1869.490357772,1869.490360272,26,0
27,22276,1869.500355469,1869.500357699,26,0
28,22276,1869.510409050,1869.510411742,26,0
29,22276,1869.520350707,1869.520366515,27,1
30,22276,1869.530352596,1869.530354096,27,0
31,22276,1869.540355908,1869.540357485,27,0
32,22276,1869.550354335,1869.550356374,27,0
33,22276,1869.560354724,1869.560356647,27,0
34,22276,1869.570382689,1869.570384574,27,0
35,22276,1869.580356040,1869.580357617,27,0
36,22276,1869.590355198,1869.590357428,27,0
37,22276,1869.600354817,1869.600356779,27,0
38,22276,1869.610429360,1869.610431860,27,0
39,22276,1869.620353287,1869.620371864,28,1
40,22276,1869.630354560,1869.630355945,28,0
41,22276,1869.640357949,1869.640359795,28,0
42,22276,1869.650354107,1869.650355914,28,0
43,22276,1869.660354918,1869.660356803,28,0
44,22276,1869.670355115,1869.670356769,28,0
45,22276,1869.680356311,1869.680357927,28,0
46,22276,1869.690374431,1869.690376546,28,0
47,22276,1869.700409896,1869.700412012,28,0
48,22276,1869.710586016,1869.710587977,28,0
49,22276,1869.720357251,1869.720375174,29,1
50,22276,1869.730354908,1869.730356370,29,0
51,22276,1869.740352797,1869.740354220,29,0
52,22276,1869.750351455,1869.750352801,29,0
53,22276,1869.760352921,1869.760354305,29,0
54,22276,1869.770352425,1869.770353617,29,0
55,22276,1869.780353544,1869.780354967,29,0
56,22276,1869.790357933,1869.790360010,29,0
57,22276,1869.800407975,1869.800410206,29,0
58,22276,1869.810356095,1869.810488672,29,0
59,22276,1869.820355868,1869.820373484,30,1
60,22276,1869.830353795,1869.830355372,30,0
61,22276,1869.840465415,1869.840466992,30,0
62,22276,1869.850365380,1869.850366804,30,0
63,22276,1869.860352154,1869.860353731,30,0
64,22276,1869.870353081,1869.870354466,30,0
65,22276,1869.880352277,1869.880353816,30,0
66,22276,1869.890361051,1869.890363704,30,0
67,22276,1869.900357093,1869.900359901,30,0
68,22276,1869.910353597,1869.910443520,31,1
69,22276,1869.920355909,1869.920357909,31,0
70,22276,1869.930354759,1869.930356798,31,0
71,22276,1869.940351186,1869.940353532,31,0
72,22276,1869.950353306,1869.950355383,31,0
73,22276,1869.960353002,1869.960354579,31,0
74,22276,1869.970352045,1869.970353891,31,0
75,22276,1869.980352510,1869.980354972,31,0
76,22276,1869.990358553,1869.990361630,31,0
77,22276,1870.000354749,1870.000357134,31,0
78,22276,1870.010352984,1870.010354715,31,0
79,22276,1870.020350065,1870.020352373,31,0
80,22276,1870.030354492,1870.030374723,32,1
81,22276,1870.040351419,1870.040352919,32,0
82,22276,1870.050356885,1870.050358846,32,0
83,22276,1870.060353273,1870.060355350,32,0
84,22276,1870.070353624,1870.070355931,32,0
85,22276,1870.080355128,1870.080357628,32,0
86,22276,1870.090356555,1870.090359632,32,0
87,22276,1870.100358020,1870.100360636,32,0
88,22276,1870.110434948,1870.110437640,32,0
89,22276,1870.120353259,1870.120355952,32,0
90,22276,1870.130386148,1870.130406186,33,1
91,22276,1870.140354037,1870.140355460,33,0
92,22276,1870.150357348,1870.150359079,33,0
93,22276,1870.160352660,1870.160354391,33,0
94,22276,1870.170361318,1870.170363241,33,0
95,22276,1870.180355091,1870.180357091,33,0
96,22276,1870.190354634,1870.190356788,33,0
97,22276,1870.200354061,1870.200355869,33,0
98,22276,1870.210352527,1870.210354488,33,0
99,22276,1870.220357184,1870.220375761,34,1
100,22276,1870.230354189,1870.230355996,34,0
101,22276,1870.240356385,1870.240357731,34,0
102,22276,1870.250352927,1870.250354927,34,0
103,22276,1870.260352970,1870.260355162,34,0
104,22276,1870.270353320,1870.270354820,34,0
105,22276,1870.280350709,1870.280352016,34,0
106,22276,1870.290352636,1870.290354636,34,0
107,22276,1870.300356948,1870.300360025,34,0
108,22276,1870.310415836,1870.310432606,34,0
109,22276,1870.320359648,1870.320380879,35,1
110,22276,1870.330354921,1870.330357075,35,0
111,22276,1870.340357579,1870.340359272,35,0
112,22276,1870.350377853,1870.350379545,35,0
113,22276,1870.360454203,1870.360456049,35,0
114,22276,1870.370352245,1870.370353784,35,0
115,22276,1870.380354865,1870.380356595,35,0
116,22276,1870.390357176,1870.390359715,35,0
117,22276,1870.400358681,1870.400361450,35,0
118,22276,1870.410356646,1870.410443185,36,1
119,22276,1870.420355458,1870.420357266,36,0
120,22276,1870.430353462,1870.430354770,36,0
121,22276,1870.440349697,1870.440351158,36,0
122,22276,1870.450353932,1870.450355585,36,0
123,22276,1870.460443013,1870.460445551,36,0
124,22276,1870.470353055,1870.470354824,36,0
125,22276,1870.480353598,1870.480355021,36,0
126,22276,1870.490356909,1870.490359332,36,0
127,22276,1870.500356260,1870.500358798,36,0
128,22276,1870.510356264,1870.510447802,37,1
129,22276,1870.520356614,1870.520358460,37,0
130,22276,1870.530354002,1870.530356079,37,0
131,22276,1870.540354353,1870.540355814,37,0
132,22276,1870.550352511,1870.550354049,37,0
133,22276,1870.560354092,1870.560355861,37,0
134,22276,1870.570353442,1870.570355557,37,0
135,22276,1870.580351984,1870.580354100,37,0
136,22276,1870.590360911,1870.590363758,37,0
137,22276,1870.600360877,1870.600363915,37,0
138,22276,1870.610357381,1870.610448958,38,1
139,22276,1870.620357308,1870.620359039,38,0
140,22276,1870.630355581,1870.630357812,38,0
141,22276,1870.640375547,1870.640377470,38,0
142,22276,1870.650354974,1870.650357051,38,0
143,22276,1870.660355517,1870.660410786,38,0
144,22276,1870.670453290,1870.670455521,38,0
145,22276,1870.680355948,1870.680358409,38,0
146,22276,1870.690356375,1870.690358606,38,0
147,22276,1870.700365841,1870.700368264,38,0
148,22276,1870.710441883,1870.710444883,38,0
149,22276,1870.720356156,1870.720359003,38,0
150,22276,1870.730357353,1870.730377468,39,1
151,22276,1870.740358780,1870.740361741,39,0
152,22276,1870.750354553,1870.750357015,39,0
153,22276,1870.760355365,1870.760429942,39,0
154,22276,1870.770358484,1870.770361446,39,0
155,22276,1870.780408258,1870.780411142,39,0
