iter,PID,start,end,instance,activation
0,23472,1971.757321600,1971.759089716,1049,1
1,23472,1971.790785915,1971.790941107,1049,0
2,23472,1971.824061038,1971.824215538,1049,0
3,23472,1971.858789584,1971.859520161,1050,1
4,23472,1971.890737399,1971.890853245,1050,0
5,23472,1971.924437983,1971.924647829,1050,0
6,23472,1971.959150914,1971.959349760,1050,0
7,23472,1971.990735228,1971.991338998,1051,1
8,23472,1972.024089043,1972.024286043,1051,0
9,23472,1972.057403589,1972.058140397,1052,1
10,23472,1972.091258981,1972.091415519,1052,0
11,23472,1972.124084142,1972.124277796,1052,0
12,23472,1972.157400265,1972.158473073,1053,1
13,23472,1972.191075387,1972.191231311,1053,0
14,23472,1972.224092087,1972.224202395,1053,0
15,23472,1972.257399056,1972.257594094,1053,0
16,23472,1972.293040256,1972.293777718,1054,1
17,23472,1972.324231532,1972.324385340,1054,0
18,23472,1972.357407078,1972.357600193,1054,0
19,23472,1972.390733008,1972.390885893,1054,0
20,23472,1972.424405438,1972.424528977,1054,0
21,23472,1972.457429292,1972.459273100,1055,1
22,23472,1972.490730915,1972.490928838,1055,0
23,23472,1972.524079076,1972.524233922,1055,0
24,23472,1972.557657583,1972.557851122,1055,0
25,23472,1972.590730513,1972.591494552,1056,1
26,23472,1972.624073482,1972.624235405,1056,0
27,23472,1972.660067721,1972.660265798,1056,0
28,23472,1972.690733420,1972.690928035,1056,0
29,23472,1972.724112927,1972.724268620,1056,0
30,23472,1972.757397281,1972.758697242,1058,1
31,23472,1972.790735557,1972.790890057,1058,0
32,23472,1972.824178757,1972.824295564,1058,0
33,23472,1972.857404033,1972.857601341,1058,0
34,23472,1972.890758579,1972.890959925,1058,0
35,23472,1972.924129894,1972.924820663,1059,1
36,23472,1972.957399324,1972.957592940,1059,0
37,23472,1972.990732678,1972.990883909,1059,0
38,23472,1973.024067339,1973.024179339,1059,0
39,23472,1973.057399461,1973.057601038,1059,0
40,23472,1973.090732161,1973.091460238,1061,1
41,23472,1973.124188014,1973.124343784,1061,0
42,23472,1973.157399406,1973.157597406,1061,0
43,23472,1973.192410029,1973.193099068,1062,1
44,23472,1973.224143498,1973.224256075,1062,0
45,23472,1973.257715851,1973.257911197,1062,0
46,23472,1973.290732320,1973.290926128,1062,0
47,23472,1973.324075981,1973.324780212,1064,1
48,23472,1973.357481373,1973.357674565,1064,0
49,23472,1973.390736534,1973.390887572,1064,0
50,23472,1973.424066387,1973.424766080,1065,1
51,23472,1973.457410395,1973.457604241,1065,0
52,23472,1973.490737171,1973.490889325,1065,0
53,23472,1973.524075409,1973.524969178,1066,1
54,23472,1973.557400032,1973.557590993,1066,0
55,23472,1973.591033193,1973.591145808,1066,0
56,23472,1973.624156123,1973.626212200,1067,1
57,23472,1973.657396707,1973.657586361,1067,0
58,23472,1973.690730176,1973.690880061,1067,0
59,23472,1973.724062376,1973.724214299,1067,0
60,23472,1973.757411883,1973.757599152,1067,0
61,23472,1973.790732813,1973.790844890,1067,0
62,23472,1973.824061590,1973.824796128,1068,1
63,23472,1973.857679405,1973.857870866,1068,0
64,23472,1973.890731220,1973.890888489,1068,0
65,23472,1973.924083150,1973.924193304,1068,0
66,23472,1973.960248465,1973.960453965,1068,0
