iter,PID,start,end,instance,activation
0,22514,1889.088537073,1889.088544381,0,1
1,22514,1889.098531923,1889.098534692,0,0
2,22514,1889.108525503,1889.108528503,0,0
3,22514,1889.118527315,1889.118530199,0,0
4,22514,1889.128526088,1889.128528972,0,0
5,22514,1889.138529168,1889.138531707,0,0
6,22514,1889.148559056,1889.148561980,0,0
7,22514,1889.158556752,1889.158559714,0,0
8,22514,1889.168527833,1889.171893180,0,1
9,22514,1889.178533721,1889.178537260,0,0
10,22514,1889.188528879,1889.188531802,0,0
11,22514,1889.198530267,1889.198533229,0,0
12,22514,1889.208528078,1889.208531501,0,0
13,22514,1889.218532005,1889.218534697,0,0
14,22514,1889.228530739,1889.228533855,0,0
15,22514,1889.238529320,1889.238532359,0,0
16,22514,1889.248536708,1889.248539708,0,0
17,22514,1889.258529212,1889.258532250,0,0
18,22514,1889.268531369,1889.268534446,0,0
19,22514,1889.278532488,1889.281959221,0,1
20,22514,1889.288532261,1889.288535338,0,0
21,22514,1889.298528765,1889.298531919,0,0
22,22514,1889.308584115,1889.308586923,0,0
23,22514,1889.318665157,1889.318667772,0,0
24,22514,1889.328532622,1889.328535430,0,0
25,22514,1889.338529510,1889.338532241,0,0
26,22514,1889.348527476,1889.348530129,0,0
27,22514,1889.358529479,1889.358532210,0,0
28,22514,1889.368525829,1889.368528675,0,0
29,22514,1889.378531179,1889.381769911,0,1
30,22514,1889.388528221,1889.388531721,0,0
31,22514,1889.398529994,1889.398533417,0,0
32,22514,1889.408526805,1889.408530113,0,0
33,22514,1889.418535001,1889.418538155,0,0
34,22514,1889.428533351,1889.428536351,0,0
35,22514,1889.438529701,1889.438532585,0,0
36,22514,1889.448529551,1889.448532704,0,0
37,22514,1889.458525823,1889.458528746,0,0
38,22514,1889.468528635,1889.471923674,0,1
39,22514,1889.478529561,1889.478532985,0,0
40,22514,1889.488525411,1889.488528719,0,0
41,22514,1889.498529030,1889.498532261,0,0
42,22514,1889.508525380,1889.508528457,0,0
43,22514,1889.518528961,1889.518532191,0,0
44,22514,1889.528530118,1889.528533157,0,0
45,22514,1889.538528814,1889.538531814,0,0
46,22514,1889.548571664,1889.548574818,0,0
47,22514,1889.558528014,1889.558530937,0,0
48,22514,1889.568529133,1889.571886442,0,1
49,22514,1889.578528329,1889.578532329,0,0
50,22514,1889.588609563,1889.588612679,0,0
51,22514,1889.598531298,1889.598534413,0,0
52,22514,1889.608531609,1889.608534686,0,0
53,22514,1889.618531113,1889.618534036,0,0
54,22514,1889.628531116,1889.628533885,0,0
55,22514,1889.638576081,1889.638578966,0,0
56,22514,1889.648566508,1889.648569624,0,0
57,22514,1889.658659473,1889.658728820,0,0
58,22514,1889.668528900,1889.671700670,0,1
59,22514,1889.678530288,1889.678533404,0,0
60,22514,1889.688526792,1889.688529484,0,0
61,22514,1889.698530065,1889.698533103,0,0
62,22514,1889.708531415,1889.708534376,0,0
63,22514,1889.718529918,1889.718532380,0,0
64,22514,1889.728544730,1889.728547383,0,0
65,22514,1889.738526426,1889.738529118,0,0
66,22514,1889.748528045,1889.748530929,0,0
67,22514,1889.758529241,1889.758596433,0,0
68,22514,1889.768525667,1889.768528129,0,0
69,22514,1889.778528363,1889.781829095,0,1
70,22514,1889.788527905,1889.788530790,0,0
71,22514,1889.798526717,1889.798529524,0,0
72,22514,1889.808528220,1889.808530720,0,0
73,22514,1889.818531916,1889.818534878,0,0
