iter,PID,start,end,instance,activation
0,22202,1866.523156745,1866.523161053,0,1
1,22202,1866.533227173,1866.533228673,0,1
2,22202,1866.543226023,1866.543227292,0,1
3,22202,1866.553223373,1866.553224604,0,1
4,22202,1866.563223724,1866.563224724,0,1
5,22202,1866.573223305,1866.573224574,0,1
6,22202,1866.583223924,1866.583225232,0,1
7,22202,1866.593224159,1866.593225544,0,1
8,22202,1866.603223702,1866.603224971,0,1
9,22202,1866.613226744,1866.613227744,0,1
10,22202,1866.623243748,1866.623244556,0,1
11,22202,1866.633225829,1866.633227022,0,1
12,22202,1866.643224987,1866.643226218,0,1
13,22202,1866.653222415,1866.653223453,0,1
14,22202,1866.663224957,1866.663225880,0,1
15,22202,1866.673226808,1866.673228154,0,1
16,22202,1866.683225235,1866.683226389,0,1
17,22202,1866.693223662,1866.693224893,0,1
18,22202,1866.703226858,1866.703229089,0,1
19,22202,1866.713225940,1866.713227632,0,1
20,22202,1866.723225444,1866.723226521,0,1
21,22202,1866.733226256,1866.733227294,0,1
22,22202,1866.743224567,1866.743225490,0,1
23,22202,1866.753221648,1866.753222533,0,1
24,22202,1866.763222729,1866.763223614,0,1
25,22202,1866.773223003,1866.801391668,0,1
26,22202,1866.801422322,1866.801425591,0,1
27,22202,1866.811490019,1866.811491480,0,1
28,22202,1866.821488331,1866.821489561,0,1
29,22202,1866.831489065,1866.831490373,0,1
30,22202,1866.841490147,1866.841491223,0,1
31,22202,1866.851487035,1866.851488151,0,1
32,22202,1866.861488501,1866.861489424,0,1
33,22202,1866.871489197,1866.898073401,0,1
34,22202,1866.898112055,1866.898115670,0,1
35,22202,1866.908177559,1866.908179097,0,1
36,22202,1866.918177178,1866.918178794,0,1
37,22202,1866.936042647,1866.936046493,0,1
38,22202,1866.938188648,1866.938192610,0,1
39,22202,1866.948178768,1866.948181575,0,1
40,22202,1866.958179041,1866.958180387,0,1
41,22202,1866.968178699,1866.987935207,0,1
42,22202,1866.987964438,1866.987966707,0,1
43,22202,1866.988175169,1866.988175861,0,1
44,22202,1866.998192404,1866.998196904,0,1
45,22202,1867.008186523,1867.008190177,0,1
46,22202,1867.018194412,1867.018199296,0,1
47,22202,1867.028248301,1867.028252724,0,1
48,22202,1867.038195459,1867.038199882,0,1
49,22202,1867.048188078,1867.048192693,0,1
50,22202,1867.058191544,1867.058194698,0,1
51,22202,1867.068186471,1867.086968863,0,1
52,22202,1867.087005594,1867.087008325,0,1
53,22202,1867.088181095,1867.088181633,0,1
54,22202,1867.098180368,1867.098182406,0,1
55,22202,1867.108178295,1867.108179680,0,1
56,22202,1867.118179415,1867.118181107,0,1
57,22202,1867.128177342,1867.128178765,0,1
58,22202,1867.140067424,1867.140070539,0,1
59,22202,1867.148183196,1867.148186850,0,1
60,22202,1867.158189662,1867.158193277,0,1
61,22202,1867.168178743,1867.190053983,0,1
62,22202,1867.190080444,1867.190082906,0,1
63,22202,1867.200150448,1867.200153987,0,1
64,22202,1867.210164222,1867.210168222,0,1
65,22202,1867.220156418,1867.220160149,0,1
66,22202,1867.230165730,1867.230170230,0,1
67,22202,1867.240155811,1867.240159773,0,1
68,22202,1867.250159315,1867.250162931,0,1
69,22202,1867.260156358,1867.260160088,0,1
70,22202,1867.270166400,1867.294696757,0,1
71,22202,1867.294731064,1867.294733295,0,1
72,22202,1867.304798107,1867.304800376,0,1
73,22202,1867.314798573,1867.314800803,0,1
74,22202,1867.324798000,1867.324800384,0,1
75,22202,1867.334798196,1867.334800504,0,1
76,22202,1867.344797239,1867.344799239,0,1
77,22202,1867.354828204,1867.354830551,0,1
78,22202,1867.364840324,1867.364842362,0,1
79,22202,1867.374799136,1867.400280262,0,1
80,22202,1867.400306223,1867.400308646,0,1
81,22202,1867.410434304,1867.410437035,0,1
82,22202,1867.420376731,1867.420379078,0,1
83,22202,1867.431021082,1867.431023428,0,1
84,22202,1867.440384586,1867.440387009,0,1
85,22202,1867.450383667,1867.450387744,0,1
86,22202,1867.460495094,1867.460498479,0,1
87,22202,1867.470381560,1867.490249453,0,1
88,22202,1867.490280606,1867.490283299,0,1
89,22202,1867.490373337,1867.490373991,0,1
90,22202,1867.504056574,1867.504059612,0,1
91,22202,1867.510376576,1867.510379845,0,1
92,22202,1867.520374696,1867.520377003,0,1
93,22202,1867.530374084,1867.530376200,0,1
94,22202,1867.540401896,1867.540403204,0,1
95,22202,1867.550374439,1867.550375747,0,1
96,22202,1867.560370597,1867.560371597,0,1
97,22202,1867.570381639,1867.570384255,0,1
98,22202,1867.580385451,1867.601659229,0,1
99,22202,1867.601694883,1867.601697691,0,1
100,22202,1867.611762426,1867.611765233,0,1
101,22202,1867.621749507,1867.621751468,0,1
102,22202,1867.631792588,1867.631794549,0,1
103,22202,1867.641762015,1867.641763669,0,1
104,22202,1867.651765788,1867.651769173,0,1
105,22202,1867.661809254,1867.661812139,0,1
106,22202,1867.671772604,1867.702112578,0,1
107,22202,1867.702143809,1867.702146655,0,1
108,22202,1867.712211121,1867.712213775,0,1
109,22202,1867.722212394,1867.722214625,0,1
110,22202,1867.732216091,1867.732219437,0,1
111,22202,1867.742212210,1867.742214056,0,1
112,22202,1867.752208484,1867.752210022,0,1
113,22202,1867.762210449,1867.762211488,0,1
114,22202,1867.772212723,1867.792137846,0,1
115,22202,1867.792162885,1867.792165308,0,1
116,22202,1867.802249735,1867.802251581,0,1
117,22202,1867.812235816,1867.812237470,0,1
118,22202,1867.825971168,1867.825974476,0,1
119,22202,1867.832232324,1867.832234709,0,1
120,22202,1867.842230905,1867.842232944,0,1
121,22202,1867.852232140,1867.852234794,0,1
122,22202,1867.862242567,1867.862244875,0,1
123,22202,1867.872231187,1867.872233072,0,1
124,22202,1867.882232153,1867.902173661,0,1
125,22202,1867.902206007,1867.902208661,0,1
126,22202,1867.912273319,1867.912276665,0,1
127,22202,1867.922273900,1867.922276592,0,1
128,22202,1867.932273135,1867.932276289,0,1
129,22202,1867.942272754,1867.942275293,0,1
130,22202,1867.952272758,1867.952275258,0,1
131,22202,1867.962387378,1867.962389955,0,1
132,22202,1867.972271805,1867.993938391,0,1
133,22202,1867.993967083,1867.993970198,0,1
134,22202,1868.004047241,1868.004050472,0,1
135,22202,1868.014213168,1868.014216745,0,1
136,22202,1868.024060788,1868.024064057,0,1
137,22202,1868.034038984,1868.034042484,0,1
