iter,PID,start,end,instance,activation
0,23473,1971.772110180,1971.772126680,1049,1
1,23473,1971.780067374,1971.780083566,1049,0
2,23473,1971.789448799,1971.789463338,1049,0
3,23473,1971.799449109,1971.799464917,1049,0
4,23473,1971.809448996,1971.809464688,1049,0
5,23473,1971.819450421,1971.819465614,1049,0
6,23473,1971.829480539,1971.829495347,1049,0
7,23473,1971.839605195,1971.839619810,1049,0
8,23473,1971.851765159,1971.851784236,1049,0
9,23473,1971.859924699,1971.864276047,1050,1
10,23473,1971.869562163,1971.869577702,1050,0
11,23473,1971.879512742,1971.879527588,1050,0
12,23473,1971.889742937,1971.889758937,1050,0
13,23473,1971.899529670,1971.899544054,1050,0
14,23473,1971.909574672,1971.909589787,1050,0
15,23473,1971.919512328,1971.919526751,1050,0
16,23473,1971.929450407,1971.929464907,1050,0
17,23473,1971.939615948,1971.939630486,1050,0
18,23473,1971.952035989,1971.952054220,1050,0
19,23473,1971.960235260,1971.960250337,1050,0
20,23473,1971.969492762,1971.969508185,1050,0
21,23473,1971.979451341,1971.979467226,1050,0
22,23473,1971.989448574,1971.989452151,1050,0
23,23473,1971.999448769,1971.999644730,1051,1
24,23473,1972.009454232,1972.009469617,1051,0
25,23473,1972.019449158,1972.019465734,1051,0
26,23473,1972.029512583,1972.029528121,1051,0
27,23473,1972.039451777,1972.039469316,1051,0
28,23473,1972.049448087,1972.049465126,1051,0
29,23473,1972.060090705,1972.060157166,1052,1
30,23473,1972.070875823,1972.070892284,1052,0
31,23473,1972.079448363,1972.079464094,1052,0
32,23473,1972.091179866,1972.091183058,1052,0
33,23473,1972.100250983,1972.100266368,1052,0
34,23473,1972.109450677,1972.109465985,1052,0
35,23473,1972.119449141,1972.119464602,1052,0
36,23473,1972.129452335,1972.129468182,1052,0
37,23473,1972.139460799,1972.139476299,1052,0
38,23473,1972.149521724,1972.149537494,1052,0
39,23473,1972.162701650,1972.162750689,1053,1
40,23473,1972.169453498,1972.169469267,1053,0
41,23473,1972.179448385,1972.179463269,1053,0
42,23473,1972.189444849,1972.189475541,1053,0
43,23473,1972.199449351,1972.199466043,1053,0
