iter,PID,start,end,instance,activation
0,23479,1971.957446452,1971.957486952,1050,1
1,23479,1971.967534838,1971.967537838,1050,0
2,23479,1971.977445687,1971.977449225,1050,0
3,23479,1971.987619612,1971.987677651,1050,1
4,23479,1971.997446076,1971.997449537,1050,0
5,23479,1972.007441309,1972.007458655,1051,1
6,23479,1972.020033388,1972.020073042,1051,1
7,23479,1972.027560890,1972.027564082,1051,0
8,23479,1972.037441392,1972.037444738,1051,0
9,23479,1972.047445279,1972.047448548,1051,0
10,23479,1972.057441435,1972.057482012,1051,1
11,23479,1972.067448053,1972.067470706,1052,1
12,23479,1972.077444516,1972.077447632,1052,0
13,23479,1972.088188903,1972.088229096,1052,1
14,23479,1972.097448828,1972.097452252,1052,0
15,23479,1972.107445638,1972.107449138,1052,0
16,23479,1972.117448987,1972.117498871,1052,1
17,23479,1972.127484181,1972.127487489,1052,0
18,23479,1972.137589376,1972.137592414,1052,0
19,23479,1972.147445570,1972.147448686,1052,0
20,23479,1972.157445534,1972.157485611,1052,1
21,23479,1972.167834113,1972.167857036,1053,1
22,23479,1972.177513615,1972.177517038,1053,0
23,23479,1972.187445848,1972.187494617,1053,1
24,23479,1972.197447658,1972.197450927,1053,0
25,23479,1972.207444968,1972.207448699,1053,0
26,23479,1972.217499162,1972.217502278,1053,0
27,23479,1972.227445665,1972.227494242,1053,1
28,23479,1972.237444398,1972.237447628,1053,0
29,23479,1972.247451438,1972.247454861,1053,0
30,23479,1972.257450633,1972.257495094,1053,1
31,23479,1972.267450827,1972.267454020,1053,0
32,23479,1972.277449060,1972.277452406,1053,0
33,23479,1972.287450639,1972.287500101,1053,1
34,23479,1972.297448334,1972.297451949,1053,0
35,23479,1972.307444567,1972.307469336,1054,1
36,23479,1972.317446838,1972.317497838,1054,1
37,23479,1972.327441879,1972.327445186,1054,0
38,23479,1972.337448150,1972.337451381,1054,0
39,23479,1972.348042576,1972.348091768,1054,1
40,23479,1972.357445578,1972.357448924,1054,0
41,23479,1972.367449849,1972.367453118,1054,0
42,23479,1972.377445274,1972.377448851,1054,0
43,23479,1972.387446969,1972.387488046,1054,1
44,23479,1972.397446779,1972.397449856,1054,0
45,23479,1972.407444204,1972.407447435,1054,0
46,23479,1972.417445514,1972.417485129,1054,1
47,23479,1972.427414747,1972.427418362,1054,0
48,23479,1972.437446672,1972.437449980,1054,0
49,23479,1972.447730174,1972.447848405,1054,1
50,23479,1972.457718984,1972.457722138,1054,0
51,23479,1972.467818371,1972.467842063,1055,1
52,23479,1972.477444219,1972.477447335,1055,0
53,23479,1972.488036145,1972.488076683,1055,1
54,23479,1972.497448262,1972.497451608,1055,0
55,23479,1972.507445111,1972.507448303,1055,0
56,23479,1972.517446190,1972.517487382,1055,1
57,23479,1972.527445076,1972.527448423,1055,0
58,23479,1972.537446386,1972.537449656,1055,0
59,23479,1972.547484619,1972.547487889,1055,0
60,23479,1972.557443198,1972.557483852,1055,1
61,23479,1972.567468085,1972.567471201,1055,0
62,23479,1972.577445857,1972.577449203,1055,0
63,23479,1972.587444359,1972.587492243,1055,1
64,23479,1972.597462207,1972.597465476,1055,0
65,23479,1972.607446402,1972.607469209,1056,1
66,23479,1972.617446596,1972.617486635,1056,1
67,23479,1972.627497521,1972.627501175,1056,0
68,23479,1972.637830293,1972.637833716,1056,0
69,23479,1972.647673372,1972.647713564,1056,1
70,23479,1972.657445182,1972.657448182,1056,0
71,23479,1972.667440607,1972.667443838,1056,0
72,23479,1972.677446840,1972.677450032,1056,0
73,23479,1972.687449381,1972.687500765,1056,1
74,23479,1972.697421575,1972.697424767,1056,0
75,23479,1972.707443462,1972.707446885,1056,0
76,23479,1972.717448618,1972.717499349,1056,1
77,23479,1972.727544543,1972.727547774,1056,0
78,23479,1972.737474045,1972.737477007,1056,0
79,23479,1972.747589894,1972.747629932,1056,1
80,23479,1972.757687204,1972.757690627,1056,0
81,23479,1972.767768244,1972.767791706,1058,1
82,23479,1972.777450170,1972.777453747,1058,0
83,23479,1972.787450172,1972.787501941,1058,1
84,23479,1972.797447597,1972.797451020,1058,0
85,23479,1972.807444984,1972.807448868,1058,0
86,23479,1972.817443909,1972.817484371,1058,1
87,23479,1972.827447642,1972.827451065,1058,0
88,23479,1972.837444606,1972.837447952,1058,0
89,23479,1972.847444839,1972.847448262,1058,0
90,23479,1972.857444418,1972.857485687,1058,1
91,23479,1972.867450112,1972.867453612,1058,0
92,23479,1972.877445692,1972.877448807,1058,0
93,23479,1972.888065194,1972.888114848,1058,1
94,23479,1972.897442465,1972.897446119,1058,0
95,23479,1972.907445237,1972.907448698,1058,0
96,23479,1972.917445585,1972.917487239,1058,1
97,23479,1972.927443741,1972.927447049,1058,0
98,23479,1972.937443858,1972.937513551,1059,1
99,23479,1972.947441322,1972.947444591,1059,0
100,23479,1972.957443401,1972.957483017,1059,1
101,23479,1972.967441942,1972.967445519,1059,0
102,23479,1972.977442944,1972.977446213,1059,0
103,23479,1972.987446485,1972.987494985,1059,1
104,23479,1972.997444641,1972.997447833,1059,0
105,23479,1973.007442643,1973.007445874,1059,0
106,23479,1973.017442722,1973.017482068,1059,1
107,23479,1973.027456301,1973.027459416,1059,0
108,23479,1973.037645957,1973.037657073,1059,0
109,23479,1973.048044267,1973.048087036,1059,1
110,23479,1973.057869692,1973.057873346,1059,0
111,23479,1973.067716310,1973.067719387,1059,0
112,23479,1973.077888543,1973.077891658,1059,0
113,23479,1973.088075122,1973.088131699,1059,1
114,23479,1973.098149470,1973.098153316,1059,0
115,23479,1973.108063049,1973.108089088,1061,1
116,23479,1973.117675282,1973.117715628,1061,1
117,23479,1973.127450054,1973.127453515,1061,0
118,23479,1973.138210825,1973.138214864,1061,0
119,23479,1973.148078750,1973.148127327,1061,1
120,23479,1973.157473637,1973.157476945,1061,0
121,23479,1973.168085447,1973.168088832,1061,0
122,23479,1973.177445564,1973.177448988,1061,0
123,23479,1973.187450336,1973.187509374,1061,1
124,23479,1973.197979800,1973.197983761,1061,0
125,23479,1973.208049148,1973.208077840,1062,1
126,23479,1973.220095189,1973.220136305,1062,1
127,23479,1973.227442806,1973.227445998,1062,0
128,23479,1973.237445039,1973.237448385,1062,0
129,23479,1973.247450157,1973.247453464,1062,0
130,23479,1973.257444043,1973.257484659,1062,1
131,23479,1973.267448622,1973.267451930,1062,0
132,23479,1973.278027586,1973.278031240,1062,0
133,23479,1973.287919858,1973.287977473,1062,1
134,23479,1973.297953706,1973.297957745,1062,0
135,23479,1973.308326978,1973.308331054,1062,0
136,23479,1973.317489787,1973.317532518,1062,1
137,23479,1973.327501212,1973.327504520,1062,0
138,23479,1973.337574099,1973.337597292,1064,1
139,23479,1973.348082025,1973.348137409,1064,1
140,23479,1973.357743565,1973.357746796,1064,0
141,23479,1973.367625644,1973.367628644,1064,0
142,23479,1973.379020378,1973.379023762,1064,0
143,23479,1973.388515341,1973.388556149,1064,1
144,23479,1973.398355266,1973.398369882,1064,0
145,23479,1973.408061730,1973.408064922,1064,0
146,23479,1973.417658001,1973.417706578,1064,1
147,23479,1973.427406580,1973.427409734,1064,0
148,23479,1973.437517198,1973.437541083,1065,1
149,23479,1973.447468469,1973.447471739,1065,0
150,23479,1973.457542664,1973.457582818,1065,1
151,23479,1973.467649820,1973.467653243,1065,0
152,23479,1973.477446245,1973.477449591,1065,0
153,23479,1973.487406516,1973.487491209,1065,1
154,23479,1973.497448634,1973.497452173,1065,0
155,23479,1973.507837559,1973.507841021,1065,0
156,23479,1973.517701485,1973.517741331,1065,1
157,23479,1973.527462141,1973.527465333,1065,0
158,23479,1973.537634912,1973.537659835,1066,1
159,23479,1973.547441991,1973.547445376,1066,0
160,23479,1973.557444224,1973.557487147,1066,1
161,23479,1973.567774726,1973.567777803,1066,0
162,23479,1973.578215767,1973.578220382,1066,0
163,23479,1973.588066538,1973.588111346,1066,1
164,23479,1973.598083079,1973.598087079,1066,0
165,23479,1973.608110697,1973.608115350,1066,0
166,23479,1973.618130237,1973.618175430,1066,1
167,23479,1973.627652932,1973.627656355,1066,0
168,23479,1973.637607511,1973.637632318,1067,1
169,23479,1973.648096551,1973.648141744,1067,1
170,23479,1973.657810707,1973.657814169,1067,0
171,23479,1973.667744786,1973.667748133,1067,0
172,23479,1973.678146289,1973.678150404,1067,0
173,23479,1973.688090906,1973.688132483,1067,1
174,23479,1973.698059678,1973.698063447,1067,0
175,23479,1973.708070372,1973.708074295,1067,0
176,23479,1973.718195951,1973.718236951,1067,1
177,23479,1973.727587030,1973.727590261,1067,0
178,23479,1973.737477648,1973.737481186,1067,0
179,23479,1973.747447688,1973.747451035,1067,0
180,23479,1973.758167614,1973.758209229,1067,1
181,23479,1973.768097039,1973.768101347,1067,0
182,23479,1973.778155887,1973.778159887,1067,0
183,23479,1973.788088082,1973.788132043,1067,1
184,23479,1973.797448238,1973.797451469,1067,0
185,23479,1973.807440817,1973.807444163,1067,0
186,23479,1973.817447050,1973.817495627,1067,1
187,23479,1973.827443167,1973.827446513,1067,0
188,23479,1973.837442170,1973.837465939,1068,1
189,23479,1973.847449864,1973.847452787,1068,0
190,23479,1973.857468943,1973.857547635,1068,1
191,23479,1973.868602792,1973.868606061,1068,0
192,23479,1973.877442832,1973.877446294,1068,0
193,23479,1973.887448257,1973.887498334,1068,1
194,23479,1973.897448875,1973.897452259,1068,0
195,23479,1973.907446031,1973.907449339,1068,0
196,23479,1973.919713764,1973.919753726,1068,1
197,23479,1973.927403151,1973.927406574,1068,0
198,23479,1973.937400383,1973.937403499,1068,0
199,23479,1973.947451347,1973.947454847,1068,0
200,23479,1973.957441926,1973.957481965,1068,1
201,23479,1973.967446582,1973.967450275,1068,0
202,23479,1973.977445815,1973.977449200,1068,0
203,23479,1973.987445510,1973.987494125,1068,1
204,23479,1973.997445166,1973.997448281,1068,0
205,23479,1974.007460591,1974.007463860,1068,0
206,23479,1974.017486978,1974.017526939,1068,1
207,23479,1974.027609595,1974.027613249,1068,0
208,23479,1974.037498828,1974.037523174,1070,1
209,23479,1974.048062869,1974.048103330,1070,1
210,23479,1974.057446409,1974.057449717,1070,0
211,23479,1974.067442796,1974.067445988,1070,0
212,23479,1974.077446837,1974.077449721,1070,0
213,23479,1974.087445570,1974.087484916,1070,1
214,23479,1974.097446649,1974.097449803,1070,0
215,23479,1974.107444151,1974.107447651,1070,0
216,23479,1974.117444961,1974.117521269,1070,1
217,23479,1974.127440117,1974.127443463,1070,0
218,23479,1974.137442734,1974.137483042,1070,0
219,23479,1974.147444967,1974.147448198,1070,0
220,23479,1974.157534046,1974.157572854,1070,1
221,23479,1974.167456202,1974.167459356,1070,0
222,23479,1974.177623743,1974.177627205,1070,0
223,23479,1974.187713784,1974.187754014,1070,1
224,23479,1974.197688055,1974.197691401,1070,0
225,23479,1974.207441173,1974.207444403,1070,0
226,23479,1974.217442329,1974.217491444,1070,1
227,23479,1974.227443485,1974.227446638,1070,0
228,23479,1974.237553141,1974.237556371,1070,0
229,23479,1974.247541758,1974.247589027,1070,1
230,23479,1974.257447414,1974.257450453,1070,0
231,23479,1974.267446762,1974.267450301,1070,0
232,23479,1974.277581111,1974.277584418,1070,0
233,23479,1974.287560651,1974.287613536,1070,1
234,23479,1974.297659384,1974.297662731,1070,0
235,23479,1974.307562463,1974.307585348,1072,1
236,23479,1974.317597812,1974.317638158,1072,1
237,23479,1974.327569045,1974.327572237,1072,0
238,23479,1974.337518931,1974.337522470,1072,0
239,23479,1974.347577895,1974.347617818,1072,1
240,23479,1974.357825244,1974.357828667,1072,0
241,23479,1974.367523823,1974.367527284,1072,0
242,23479,1974.377790363,1974.377793556,1072,0
243,23479,1974.387451865,1974.387501635,1072,1
244,23479,1974.397446906,1974.397450175,1072,0
245,23479,1974.407444947,1974.407448216,1072,0
246,23479,1974.417445872,1974.417500795,1072,1
247,23479,1974.427442220,1974.427445566,1072,0
248,23479,1974.437461376,1974.437464838,1072,0
249,23479,1974.447450917,1974.447454532,1072,0
250,23479,1974.457443611,1974.457483996,1072,1
251,23479,1974.467448036,1974.467451652,1072,0
252,23479,1974.477442500,1974.477445769,1072,0
253,23479,1974.487449195,1974.487499733,1072,1
254,23479,1974.497444158,1974.497447658,1072,0
255,23479,1974.507441660,1974.507444891,1072,0
256,23479,1974.517442740,1974.517520393,1072,1
257,23479,1974.527500434,1974.527503665,1072,0
258,23479,1974.537446475,1974.537450090,1072,0
259,23479,1974.547445592,1974.547448708,1072,0
260,23479,1974.557442364,1974.557483287,1072,1
261,23479,1974.567446712,1974.567450250,1072,0
262,23479,1974.577443676,1974.577446522,1072,0
263,23479,1974.587487370,1974.587528485,1072,1
264,23479,1974.597458949,1974.597462103,1072,0
265,23479,1974.607779182,1974.607783028,1072,0
266,23479,1974.617825877,1974.617866415,1072,1
267,23479,1974.627525725,1974.627528956,1072,0
268,23479,1974.637492496,1974.637495996,1072,0
269,23479,1974.647442614,1974.647446037,1072,0
270,23479,1974.657502231,1974.657541193,1072,1
271,23479,1974.667479657,1974.667483272,1072,0
272,23479,1974.677567659,1974.677570351,1072,0
273,23479,1974.687670699,1974.687709507,1072,1
274,23479,1974.697443778,1974.697447201,1072,0
275,23479,1974.707487473,1974.707509781,1074,1
276,23479,1974.717479360,1974.717518590,1074,1
277,23479,1974.727605131,1974.727608516,1074,0
278,23479,1974.737525402,1974.737528787,1074,0
279,23479,1974.747556097,1974.747603674,1074,1
280,23479,1974.757751214,1974.757754253,1074,0
281,23479,1974.768101794,1974.768105871,1074,0
282,23479,1974.777600373,1974.777603296,1074,0
283,23479,1974.787451682,1974.787495682,1074,1
284,23479,1974.797446338,1974.797449877,1074,0
285,23479,1974.807445225,1974.807448918,1074,0
286,23479,1974.817470266,1974.817522227,1074,1
287,23479,1974.827449999,1974.827453576,1074,0
288,23479,1974.837452001,1974.837455424,1074,0
289,23479,1974.847449657,1974.847454157,1074,0
290,23479,1974.857449698,1974.857492236,1074,1
291,23479,1974.867451969,1974.867455123,1074,0
292,23479,1974.877443625,1974.877446433,1074,0
293,23479,1974.887448204,1974.887505589,1074,1
294,23479,1974.897629399,1974.897633206,1074,0
295,23479,1974.907443862,1974.907447247,1074,0
296,23479,1974.917441672,1974.917481941,1074,1
297,23479,1974.927444290,1974.927495713,1074,0
298,23479,1974.937443446,1974.937447215,1074,0
299,23479,1974.947462986,1974.947466832,1074,0
300,23479,1974.957447719,1974.957488065,1074,1
301,23479,1974.967446760,1974.967450337,1074,0
302,23479,1974.977442762,1974.977445339,1074,0
303,23479,1974.987475379,1974.987515187,1074,1
304,23479,1974.997447728,1974.997450766,1074,0
305,23479,1975.007400345,1975.007425345,1079,1
306,23479,1975.017444463,1975.017495732,1079,1
307,23479,1975.027483273,1975.027486849,1079,0
308,23479,1975.037446890,1975.037450275,1079,0
309,23479,1975.047446161,1975.047449508,1079,0
310,23479,1975.057450471,1975.057489856,1079,1
311,23479,1975.067808089,1975.067811358,1079,0
312,23479,1975.077428591,1975.077431322,1079,0
313,23479,1975.087445670,1975.087485978,1079,1
314,23479,1975.097543172,1975.097546441,1079,0
315,23479,1975.107634444,1975.107637828,1079,0
316,23479,1975.117512369,1975.117555061,1079,1
317,23479,1975.127486909,1975.127490063,1079,0
318,23479,1975.137567412,1975.137570604,1079,0
319,23479,1975.147703952,1975.147745068,1079,1
320,23479,1975.157479262,1975.157482416,1079,0
321,23479,1975.167696303,1975.167699533,1079,0
322,23479,1975.177448074,1975.177451920,1079,0
323,23479,1975.187440922,1975.187493999,1079,1
324,23479,1975.197445963,1975.197449232,1079,0
325,23479,1975.208050081,1975.208053619,1079,0
326,23479,1975.217454352,1975.217493390,1079,1
327,23479,1975.227445777,1975.227449508,1079,0
328,23479,1975.237446164,1975.237449625,1079,0
329,23479,1975.247443320,1975.247446550,1079,0
330,23479,1975.257502476,1975.257542783,1079,1
331,23479,1975.267464670,1975.267468324,1079,0
332,23479,1975.277579326,1975.277582865,1079,0
333,23479,1975.288568482,1975.288612021,1079,1
334,23479,1975.297444869,1975.297449215,1079,0
335,23479,1975.307447486,1975.307451833,1079,0
336,23479,1975.317445412,1975.317487566,1079,1
337,23479,1975.327486491,1975.327490337,1079,0
338,23479,1975.337442301,1975.337445916,1079,0
339,23479,1975.348097918,1975.348101226,1079,0
340,23479,1975.357442997,1975.357484036,1079,1
341,23479,1975.367451769,1975.367455499,1079,0
342,23479,1975.378143425,1975.378146079,1079,0
343,23479,1975.387447311,1975.387495504,1079,1
344,23479,1975.399967083,1975.399970314,1079,0
345,23479,1975.407448854,1975.407452354,1079,0
346,23479,1975.417765587,1975.417816356,1079,1
347,23479,1975.427444974,1975.427448012,1079,0
348,23479,1975.437560284,1975.437563514,1079,0
349,23479,1975.447444247,1975.447447555,1079,0
350,23479,1975.457442865,1975.457488096,1079,1
351,23479,1975.467442828,1975.467446328,1079,0
352,23479,1975.477471984,1975.477475600,1079,0
353,23479,1975.487496294,1975.487535217,1079,1
354,23479,1975.497808989,1975.497812489,1079,0
355,23479,1975.507661376,1975.507685722,1082,1
356,23479,1975.517714032,1975.517759724,1082,1
357,23479,1975.527586072,1975.527589188,1082,0
358,23479,1975.537443613,1975.537446959,1082,0
359,23479,1975.547445846,1975.547449230,1082,0
360,23479,1975.557448002,1975.557487925,1082,1
361,23479,1975.567444350,1975.567447504,1082,0
362,23479,1975.577445621,1975.577449198,1082,0
363,23479,1975.587445893,1975.587492316,1082,1
364,23479,1975.597447395,1975.597450664,1082,0
365,23479,1975.607441628,1975.607445128,1082,0
366,23479,1975.617443976,1975.617490399,1082,1
367,23479,1975.627477786,1975.627480824,1082,0
368,23479,1975.637705442,1975.637708788,1082,0
369,23479,1975.647450252,1975.647453790,1082,0
370,23479,1975.658125062,1975.658165985,1082,1
371,23479,1975.667444102,1975.667447371,1082,0
372,23479,1975.677451181,1975.677454489,1082,0
373,23479,1975.687612068,1975.687651722,1082,1
374,23479,1975.697556647,1975.697559724,1082,0
375,23479,1975.707881649,1975.707884534,1082,0
376,23479,1975.720396383,1975.720435613,1082,1
377,23479,1975.727443461,1975.727446653,1082,0
378,23479,1975.737444040,1975.737446925,1082,0
379,23479,1975.747444081,1975.747447889,1082,0
