iter,PID,start,end,instance,activation
0,3524,1732.929922331,1732.929969638,0,1
1,3524,1733.029923243,1733.029965512,0,1
2,3524,1733.129925386,1733.129973078,0,1
3,3524,1733.229920644,1733.229965528,0,1
4,3524,1733.329920402,1733.329961979,0,1
5,3524,1733.429924352,1733.429968814,0,1
6,3524,1733.529919687,1733.529960494,0,1
7,3524,1733.629921367,1733.629965020,0,1
8,3524,1733.729920932,1733.729964354,0,1
9,3524,1733.829922342,1733.829964496,0,1
10,3524,1733.929921907,1733.929964176,0,1
11,3524,1734.029923857,1734.029966087,0,1
12,3524,1734.129922960,1734.129965344,0,1
13,3524,1734.229938486,1734.229984101,0,1
14,3524,1734.329943436,1734.329990550,0,1
15,3524,1734.429915808,1734.429965000,0,1
16,3524,1734.529913526,1734.529959679,0,1
17,3524,1734.629930013,1734.629973897,0,1
18,3524,1734.729920461,1734.729966614,0,1
19,3524,1734.829916563,1734.829967409,0,1
20,3524,1734.929929165,1734.929977242,0,1
21,3524,1735.029926883,1735.029975036,0,1
22,3524,1735.129928024,1735.129973139,0,1
23,3524,1735.229919934,1735.229962779,0,1
24,3524,1735.329922344,1735.329973112,0,1
25,3524,1735.429927407,1735.429972291,0,1
26,3524,1735.529924431,1735.529970739,0,1
27,3524,1735.629922417,1735.629964417,0,1
28,3524,1735.729917826,1735.729959634,0,1
29,3524,1735.829926350,1735.829969350,0,1
30,3524,1735.929912067,1735.929954259,0,1
31,3524,1736.029921591,1736.029966360,0,1
32,3524,1736.129914885,1736.129958038,0,1
33,3524,1736.229921448,1736.229963293,0,1
34,3524,1736.330040009,1736.330085086,0,1
35,3524,1736.429920842,1736.429966072,0,1
36,3524,1736.529920442,1736.529995634,0,1
37,3524,1736.629923235,1736.629989119,0,1
38,3524,1736.729917950,1736.729985296,0,1
39,3524,1736.829925781,1736.829991088,0,1
40,3524,1736.929922343,1736.929983227,0,1
41,3524,1737.029923058,1737.029988289,0,1
42,3524,1737.129922389,1737.129986312,0,1
43,3524,1737.229918182,1737.229983104,0,1
44,3524,1737.329926397,1737.329997973,0,1
45,3524,1737.429926690,1737.429991612,0,1
46,3524,1737.529923789,1737.529985942,0,1
47,3524,1737.629925926,1737.629989426,0,1
48,3524,1737.729939987,1737.730002794,0,1
49,3524,1737.829925778,1737.829988970,0,1
50,3524,1737.929923031,1737.929986185,0,1
51,3524,1738.029917015,1738.029982553,0,1
52,3524,1738.129919307,1738.129985498,0,1
53,3524,1738.229918175,1738.229981097,0,1
54,3524,1738.329920197,1738.329982927,0,1
55,3524,1738.429916681,1738.429980872,0,1
56,3524,1738.529914856,1738.529978624,0,1
57,3524,1738.629923454,1738.629985876,0,1
58,3524,1738.730031397,1738.730096820,0,1
59,3524,1738.829925458,1738.829982111,0,1
60,3524,1738.929910594,1738.929972709,0,1
61,3524,1739.029910731,1739.029967192,0,1
62,3524,1739.129911329,1739.129967136,0,1
63,3524,1739.230096733,1739.230153425,0,1
64,3524,1739.329910833,1739.329967832,0,1
65,3524,1739.429980430,1739.430034584,0,1
66,3524,1739.530039873,1739.530101180,0,1
67,3524,1739.629910625,1739.629971201,0,1
68,3524,1739.729990721,1739.730052913,0,1
69,3524,1739.829910973,1739.829971395,0,1
70,3524,1739.930047338,1739.930109645,0,1
71,3524,1740.029911629,1740.029975320,0,1
72,3524,1740.129941418,1740.129999071,0,1
73,3524,1740.229988822,1740.230048014,0,1
74,3524,1740.329963035,1740.330020226,0,1
75,3524,1740.429924247,1740.429981324,0,1
76,3524,1740.529919536,1740.529984574,0,1
77,3524,1740.629911363,1740.629971901,0,1
78,3524,1740.729951035,1740.730013727,0,1
79,3524,1740.830003015,1740.830066361,0,1
80,3524,1740.929915728,1740.929978650,0,1
81,3524,1741.029989631,1741.030047246,0,1
82,3524,1741.130063341,1741.130125495,0,1
83,3524,1741.229910093,1741.229971554,0,1
84,3524,1741.329919919,1741.329974842,0,1
85,3524,1741.429984438,1741.430041283,0,1
86,3524,1741.529948033,1741.530010417,0,1
87,3524,1741.630019358,1741.630077127,0,1
88,3524,1741.729910070,1741.729965377,0,1
89,3524,1741.829910357,1741.829970703,0,1
90,3524,1741.929965221,1741.930021913,0,1
91,3524,1742.029990239,1742.030047892,0,1
92,3524,1742.129908642,1742.129963949,0,1
93,3524,1742.229924429,1742.229980083,0,1
94,3524,1742.329914371,1742.329974832,0,1
95,3524,1742.429961504,1742.430023541,0,1
96,3524,1742.529914521,1742.529975982,0,1
97,3524,1742.629914038,1742.629976730,0,1
98,3524,1742.729913363,1742.729972555,0,1
99,3524,1742.830008110,1742.830068686,0,1
100,3524,1742.929910936,1742.929972435,0,1
101,3524,1743.029995221,1743.030058682,0,1
102,3524,1743.129919662,1743.129977469,0,1
103,3524,1743.230154792,1743.230215330,0,1
104,3524,1743.329910465,1743.329974542,0,1
105,3524,1743.430010251,1743.430073673,0,1
106,3524,1743.529931383,1743.529994729,0,1
107,3524,1743.629914361,1743.629976514,0,1
108,3524,1743.729920338,1743.729981530,0,1
109,3524,1743.829939008,1743.830001238,0,1
110,3524,1743.929913524,1743.929974524,0,1
111,3524,1744.030005386,1744.030068116,0,1
112,3524,1744.129915826,1744.129974671,0,1
113,3524,1744.229916957,1744.229978033,0,1
114,3524,1744.329916819,1744.329976050,0,1
115,3524,1744.429914797,1744.429975104,0,1
116,3524,1744.529891543,1744.529947619,0,1
117,3524,1744.629915712,1744.629974903,0,1
118,3524,1744.729925765,1744.729981188,0,1
119,3524,1744.829908742,1744.829962280,0,1
120,3524,1744.930016256,1744.930076602,0,1
121,3524,1745.029913849,1745.029966079,0,1
122,3524,1745.129914325,1745.129974556,0,1
123,3524,1745.229913648,1745.229979455,0,1
124,3524,1745.330050316,1745.330110046,0,1
125,3524,1745.430031677,1745.430086446,0,1
126,3524,1745.529923346,1745.529980615,0,1
127,3524,1745.630008629,1745.630068628,0,1
128,3524,1745.729916028,1745.729977066,0,1
129,3524,1745.829925811,1745.829985119,0,1
130,3524,1745.929931787,1745.929990556,0,1
131,3524,1746.029953493,1746.030010569,0,1
132,3524,1746.129918084,1746.129976161,0,1
133,3524,1746.230240865,1746.230297710,0,1
134,3524,1746.329920728,1746.329978804,0,1
135,3524,1746.429935319,1746.429994395,0,1
136,3524,1746.529912178,1746.529969370,0,1
137,3524,1746.630022036,1746.630080420,0,1
138,3524,1746.729911397,1746.729968550,0,1
139,3524,1746.829919063,1746.829986332,0,1
140,3524,1746.929912269,1746.929968768,0,1
141,3524,1747.029914590,1747.029969897,0,1
142,3524,1747.129925487,1747.129983871,0,1
143,3524,1747.229910885,1747.229971346,0,1
144,3524,1747.330100666,1747.330162896,0,1
145,3524,1747.430103409,1747.430165409,0,1
146,3524,1747.529919308,1747.529978230,0,1
147,3524,1747.630106356,1747.630163741,0,1
148,3524,1747.729960139,1747.730017062,0,1
149,3524,1747.829915575,1747.829971613,0,1
150,3524,1747.929922817,1747.929980086,0,1
151,3524,1748.029922945,1748.029985483,0,1
152,3524,1748.129924995,1748.129986418,0,1
153,3524,1748.229967853,1748.230030737,0,1
154,3524,1748.330495053,1748.330559475,0,1
155,3524,1748.429915916,1748.429980300,0,1
156,3524,1748.529917889,1748.529978696,0,1
157,3524,1748.629924861,1748.629982399,0,1
158,3524,1748.729922796,1748.729978680,0,1
159,3524,1748.829898653,1748.829956345,0,1
160,3524,1748.929871626,1748.929934472,0,1
161,3524,1749.029931367,1749.029991751,0,1
162,3524,1749.129922263,1749.129979839,0,1
163,3524,1749.229933736,1749.229998466,0,1
164,3524,1749.329914054,1749.329977015,0,1
165,3524,1749.429914489,1749.429973642,0,1
166,3524,1749.529918076,1749.529974383,0,1
167,3524,1749.629911970,1749.629968470,0,1
168,3524,1749.729967403,1749.730025864,0,1
169,3524,1749.829915644,1749.829973375,0,1
170,3524,1749.930347535,1749.930402496,0,1
171,3524,1750.030035048,1750.030095701,0,1
172,3524,1750.129917790,1750.129977559,0,1
173,3524,1750.229923992,1750.229984376,0,1
174,3524,1750.329916041,1750.329973271,0,1
175,3524,1750.430371278,1750.430434662,0,1
176,3524,1750.529993059,1750.530051328,0,1
177,3524,1750.630106991,1750.630162682,0,1
178,3524,1750.730012077,1750.730075346,0,1
179,3524,1750.829915857,1750.829976587,0,1
180,3524,1750.929909981,1750.929964750,0,1
181,3524,1751.030046143,1751.030102835,0,1
182,3524,1751.129919384,1751.129976422,0,1
183,3524,1751.229914124,1751.229980662,0,1
184,3524,1751.329920056,1751.329978171,0,1
185,3524,1751.430004641,1751.430062756,0,1
186,3524,1751.529986765,1751.530050264,0,1
187,3524,1751.629930697,1751.629992504,0,1
188,3524,1751.729921974,1751.729978974,0,1
189,3524,1751.830152519,1751.830212710,0,1
190,3524,1751.929918567,1751.929975644,0,1
191,3524,1752.029914229,1752.029975229,0,1
192,3524,1752.129916391,1752.129975660,0,1
193,3524,1752.230101167,1752.230157090,0,1
194,3524,1752.329915485,1752.329974599,0,1
195,3524,1752.429984646,1752.430040068,0,1
196,3524,1752.529927461,1752.529984961,0,1
197,3524,1752.629971045,1752.630029006,0,1
198,3524,1752.730008975,1752.730071320,0,1
199,3524,1752.830486785,1752.830550323,0,1
200,3524,1752.929938990,1752.929998758,0,1
201,3524,1753.029923843,1753.029982112,0,1
202,3524,1753.129924504,1753.129980850,0,1
203,3524,1753.229937473,1753.229993703,0,1
204,3524,1753.330184478,1753.330246477,0,1
205,3524,1753.429945256,1753.430001294,0,1
206,3524,1753.529914878,1753.529972031,0,1
207,3524,1753.630094036,1753.630150997,0,1
208,3524,1753.729972390,1753.730034312,0,1
209,3524,1753.829923666,1753.829984396,0,1
210,3524,1753.930022094,1753.930081632,0,1
211,3524,1754.029918332,1754.029974716,0,1
212,3524,1754.129920415,1754.129982222,0,1
213,3524,1754.229923152,1754.229986113,0,1
