iter,PID,start,end,instance,activation
0,31030,2629.324997456,2629.328415646,30,0
1,31030,2629.335050565,2629.335052719,30,0
2,31030,2629.345048865,2629.345050596,30,0
3,31030,2629.355048320,2629.355049704,30,0
4,31030,2629.365099774,2629.365101389,30,0
5,31030,2629.375048382,2629.375049998,30,0
6,31030,2629.385047567,2629.415797276,31,1
7,31030,2629.415883007,2629.415897545,31,0
8,31030,2629.425950808,2629.425953038,31,0
9,31030,2629.435952108,2629.435953993,31,0
10,31030,2629.445989409,2629.445991139,31,0
11,31030,2629.455949132,2629.455965594,31,0
12,31030,2629.465961510,2629.465963625,31,0
13,31030,2629.475951157,2629.475953772,31,0
14,31030,2629.485951496,2629.506189481,32,1
15,31030,2629.506207750,2629.506209866,32,0
16,31030,2629.516279897,2629.516282243,32,0
17,31030,2629.526275659,2629.526278121,32,0
18,31030,2629.536277806,2629.536279767,32,0
19,31030,2629.546277106,2629.546296106,32,0
20,31030,2629.556275753,2629.556277638,32,0
21,31030,2629.566276554,2629.566278707,32,0
22,31030,2629.576277354,2629.576279316,32,0
23,31030,2629.586277309,2629.586279809,32,0
24,31030,2629.596265648,2629.617296863,33,1
25,31030,2629.617316979,2629.617319479,33,0
26,31030,2629.627383779,2629.627386779,33,0
27,31030,2629.637384311,2629.637386888,33,0
28,31030,2629.647386111,2629.647405765,33,0
29,31030,2629.657385066,2629.657387104,33,0
30,31030,2629.667385712,2629.667388289,33,0
31,31030,2629.677386551,2629.677388782,33,0
32,31030,2629.687386698,2629.687389083,33,0
33,31030,2629.697389383,2629.718274099,34,1
34,31030,2629.718293638,2629.718306830,34,0
35,31030,2629.728360207,2629.728362784,34,0
36,31030,2629.738360354,2629.738362546,34,0
37,31030,2629.748362001,2629.748363962,34,0
38,31030,2629.758404417,2629.758406801,34,0
39,31030,2629.768368025,2629.768388102,34,0
40,31030,2629.778362902,2629.799162349,35,1
41,31030,2629.799179118,2629.799181195,35,0
42,31030,2629.809247727,2629.809250534,35,0
43,31030,2629.819248181,2629.819250335,35,0
44,31030,2629.829247443,2629.829249674,35,0
45,31030,2629.839247205,2629.839248936,35,0
46,31030,2629.849246390,2629.849248198,35,0
47,31030,2629.859247806,2629.859265691,35,0
48,31030,2629.869247876,2629.869250222,35,0
49,31030,2629.879360330,2629.900196892,36,1
50,31030,2629.900214046,2629.900216008,36,0
51,31030,2629.910283001,2629.910285424,36,0
52,31030,2629.920282301,2629.920284609,36,0
53,31030,2629.930282756,2629.930303140,36,0
54,31030,2629.940280902,2629.940282825,36,0
55,31030,2629.950281511,2629.950283626,36,0
56,31030,2629.960282157,2629.960284311,36,0
57,31030,2629.970284073,2629.970285612,36,0
58,31030,2629.980282720,2630.001043282,37,1
