iter,PID,start,end,instance,activation
0,31029,2628.788626031,2628.788628877,25,1
1,31029,2628.800182215,2628.800184100,25,0
2,31029,2628.808627402,2628.808630709,25,0
3,31029,2628.818639202,2628.818642510,25,0
4,31029,2628.828634426,2628.828638080,25,0
5,31029,2628.838636534,2628.838640457,25,0
6,31029,2628.848627681,2628.848630296,25,0
7,31029,2628.858626904,2628.858629520,25,0
8,31029,2628.868625743,2628.868628166,25,0
9,31029,2628.878627582,2628.878630352,25,0
10,31029,2628.888631075,2628.889294844,26,1
11,31029,2628.898629991,2628.898633953,26,0
12,31029,2628.908629792,2628.908632907,26,0
13,31029,2628.918626669,2628.918629477,26,0
14,31029,2628.928627047,2628.928629431,26,0
15,31029,2628.938623078,2628.938625463,26,0
16,31029,2628.948625186,2628.948627456,26,0
17,31029,2628.958768679,2628.958771602,26,0
18,31029,2628.968629326,2628.968633057,26,0
19,31029,2628.978631511,2628.979187934,27,1
20,31029,2628.988632273,2628.988636119,27,0
21,31029,2628.998631843,2628.998635651,27,0
22,31029,2629.008629374,2629.008632951,27,0
23,31029,2629.018629829,2629.018632636,27,0
24,31029,2629.028629783,2629.028631860,27,0
25,31029,2629.038625199,2629.038626545,27,0
26,31029,2629.048624730,2629.048627384,27,0
27,31029,2629.058626031,2629.058628069,27,0
28,31029,2629.068625293,2629.069277370,28,1
29,31029,2629.078627017,2629.078629671,28,0
30,31029,2629.088625202,2629.088627625,28,0
31,31029,2629.098624233,2629.098625464,28,0
32,31029,2629.108624034,2629.108625457,28,0
33,31029,2629.118625257,2629.118626796,28,0
34,31029,2629.128624366,2629.128626135,28,0
35,31029,2629.138625666,2629.138627359,28,0
36,31029,2629.148626698,2629.148628774,28,0
37,31029,2629.158627998,2629.158630537,28,0
38,31029,2629.168630145,2629.168633568,28,0
39,31029,2629.178639676,2629.179232368,29,1
40,31029,2629.188633708,2629.188638784,29,0
41,31029,2629.198633662,2629.198637700,29,0
42,31029,2629.208630347,2629.208635309,29,0
43,31029,2629.218634186,2629.218639225,29,0
44,31029,2629.228631679,2629.228637217,29,0
45,31029,2629.238632710,2629.238637672,29,0
46,31029,2629.248631088,2629.248634972,29,0
47,31029,2629.258636042,2629.258641119,29,0
48,31029,2629.268634343,2629.268638958,29,0
49,31029,2629.278633413,2629.278638605,29,0
50,31029,2629.288635021,2629.289191751,30,1
51,31029,2629.298632206,2629.298637014,30,0
52,31029,2629.308632083,2629.308637276,30,0
53,31029,2629.318648384,2629.318653307,30,0
54,31029,2629.328742954,2629.328747185,30,0
55,31029,2629.338623985,2629.338625562,30,0
56,31029,2629.348626170,2629.348627555,30,0
57,31029,2629.358625856,2629.358627779,30,0
58,31029,2629.368627348,2629.368629271,30,0
59,31029,2629.378751880,2629.379334341,31,1
60,31029,2629.388626526,2629.388629680,31,0
61,31029,2629.398624981,2629.398627827,31,0
62,31029,2629.408627089,2629.408629781,31,0
63,31029,2629.418627582,2629.418630390,31,0
64,31029,2629.428626267,2629.428628152,31,0
65,31029,2629.438625068,2629.438626914,31,0
66,31029,2629.448624484,2629.448626214,31,0
67,31029,2629.458649977,2629.458651746,31,0
68,31029,2629.468624623,2629.468626239,31,0
69,31029,2629.478623808,2629.479261539,32,1
70,31029,2629.488626571,2629.488629263,32,0
71,31029,2629.498626179,2629.498629217,32,0
72,31029,2629.508625826,2629.508628479,32,0
73,31029,2629.518625549,2629.518627780,32,0
74,31029,2629.528623196,2629.528625080,32,0
75,31029,2629.538624150,2629.538625727,32,0
76,31029,2629.548626143,2629.548627797,32,0
77,31029,2629.558624867,2629.558626444,32,0
78,31029,2629.568626475,2629.568628898,32,0
79,31029,2629.578623699,2629.578625429,32,0
80,31029,2629.588625499,2629.589275422,33,1
81,31029,2629.598625223,2629.598627492,33,0
82,31029,2629.608626870,2629.608629254,33,0
83,31029,2629.618630093,2629.618632555,33,0
84,31029,2629.628627471,2629.628629817,33,0
85,31029,2629.638626079,2629.638627964,33,0
86,31029,2629.648624918,2629.648626687,33,0
87,31029,2629.658625988,2629.658627911,33,0
88,31029,2629.668625250,2629.668627211,33,0
89,31029,2629.678624781,2629.678626743,33,0
90,31029,2629.688623543,2629.689270774,34,1
91,31029,2629.698625459,2629.698628075,34,0
92,31029,2629.708626260,2629.708629144,34,0
93,31029,2629.718627099,2629.718629830,34,0
