iter,PID,start,end,instance,activation
0,31131,2660.892827447,2660.892832832,0,1
1,31131,2660.902533056,2660.902534325,0,0
2,31131,2660.912532972,2660.912534318,0,0
3,31131,2660.922532965,2660.922534273,0,0
4,31131,2660.932551420,2660.932552612,0,0
5,31131,2660.942535105,2660.942536374,0,0
6,31131,2660.952533945,2660.952535060,0,0
7,31131,2660.962532745,2660.962533784,0,0
8,31131,2660.972532623,2660.972534008,0,0
9,31131,2660.982538770,2660.982540270,0,0
10,31131,2660.993248186,2661.003055217,0,1
11,31131,2661.003085794,2661.003087679,0,0
12,31131,2661.012532557,2661.012533095,0,0
13,31131,2661.022535473,2661.022536089,0,0
14,31131,2661.032530582,2661.032531312,0,0
15,31131,2661.042532575,2661.042533652,0,0
16,31131,2661.052532337,2661.052532991,0,0
17,31131,2661.062543292,2661.062545792,0,0
18,31131,2661.072535554,2661.072536631,0,0
19,31131,2661.082539624,2661.082541163,0,0
20,31131,2661.092539271,2661.110261644,0,1
21,31131,2661.110290644,2661.110293451,0,0
22,31131,2661.112533296,2661.112534219,0,0
23,31131,2661.122532327,2661.122532904,0,0
24,31131,2661.132531859,2661.132532821,0,0
25,31131,2661.142533852,2661.142534583,0,0
26,31131,2661.152533345,2661.152534653,0,0
27,31131,2661.162533761,2661.162534800,0,0
28,31131,2661.172534178,2661.172535178,0,0
29,31131,2661.182539440,2661.182540825,0,0
30,31131,2661.192913433,2661.192916510,0,0
31,31131,2661.204890078,2661.225993949,0,1
32,31131,2661.226023448,2661.226025448,0,0
33,31131,2661.236096557,2661.236098788,0,0
34,31131,2661.246078435,2661.246080319,0,0
35,31131,2661.256095043,2661.256097312,0,0
36,31131,2661.266140959,2661.266143113,0,0
37,31131,2661.284241255,2661.284243908,0,0
38,31131,2661.286099753,2661.309946237,0,1
39,31131,2661.310012352,2661.310013545,0,0
40,31131,2661.320083268,2661.320083768,0,0
41,31131,2661.330123685,2661.330124300,0,0
42,31131,2661.342267484,2661.342269676,0,0
43,31131,2661.350087209,2661.350089555,0,0
44,31131,2661.360098356,2661.360100741,0,0
45,31131,2661.370124465,2661.370127080,0,0
46,31131,2661.380241150,2661.380243150,0,0
47,31131,2661.390087297,2661.414166857,0,1
48,31131,2661.414184165,2661.414186011,0,0
49,31131,2661.424252581,2661.424254235,0,0
50,31131,2661.434253536,2661.434254997,0,0
51,31131,2661.444254683,2661.444256529,0,0
52,31131,2661.454263984,2661.454265830,0,0
53,31131,2661.467095359,2661.467099398,0,0
54,31131,2661.481106696,2661.481109850,0,0
55,31131,2661.484332501,2661.484334886,0,0
56,31131,2661.494257379,2661.514899134,0,1
57,31131,2661.514917211,2661.514919134,0,0
58,31131,2661.524987512,2661.524988743,0,0
59,31131,2661.534985390,2661.534986313,0,0
60,31131,2661.544989960,2661.544991460,0,0
61,31131,2661.554985799,2661.554986799,0,0
62,31131,2661.569339751,2661.569341251,0,0
63,31131,2661.574987131,2661.574988401,0,0
64,31131,2661.584998086,2661.585000201,0,0
65,31131,2661.594988579,2661.616453449,0,1
66,31131,2661.616483603,2661.616485718,0,0
67,31131,2661.626555788,2661.626557096,0,0
68,31131,2661.636555358,2661.636556397,0,0
69,31131,2661.646514159,2661.646515313,0,0
70,31131,2661.656550998,2661.656552114,0,0
71,31131,2661.666555184,2661.666556376,0,0
72,31131,2661.676565715,2661.676567331,0,0
73,31131,2661.689526591,2661.689527322,0,0
74,31131,2661.696554817,2661.717694302,0,1
75,31131,2661.717725687,2661.717728379,0,0
76,31131,2661.727799218,2661.727801526,0,0
77,31131,2661.737794904,2661.737797058,0,0
78,31131,2661.747794666,2661.747797205,0,0
79,31131,2661.759125735,2661.759129197,0,0
80,31131,2661.772187572,2661.802532398,0,1
81,31131,2661.802555821,2661.802558244,0,0
82,31131,2661.812626968,2661.812629737,0,0
83,31131,2661.822627307,2661.822630307,0,0
84,31131,2661.832830915,2661.832833761,0,0
85,31131,2661.842849562,2661.842852216,0,0
86,31131,2661.852886017,2661.852888478,0,0
87,31131,2661.862682010,2661.862685279,0,0
88,31131,2661.872791119,2661.898833947,0,1
89,31131,2661.899209100,2661.899210062,0,0
90,31131,2661.909306747,2661.909307786,0,0
91,31131,2661.919301740,2661.919302625,0,0
92,31131,2661.929302503,2661.929303887,0,0
93,31131,2661.939300304,2661.939301034,0,0
94,31131,2661.949325489,2661.949326450,0,0
95,31131,2661.959325482,2661.959326367,0,0
96,31131,2661.969306014,2661.969306860,0,0
97,31131,2661.982828197,2661.982828927,0,0
98,31131,2661.994787958,2662.015665789,0,1
99,31131,2662.015696559,2662.015698751,0,0
100,31131,2662.025766283,2662.025768513,0,0
101,31131,2662.035765391,2662.035767006,0,0
102,31131,2662.045765307,2662.045767192,0,0
103,31131,2662.055764954,2662.055766723,0,0
104,31131,2662.065765332,2662.065767217,0,0
105,31131,2662.079937245,2662.079940168,0,0
106,31131,2662.088036394,2662.116229182,0,1
107,31131,2662.116260759,2662.116263066,0,0
108,31131,2662.126422136,2662.126423906,0,0
109,31131,2662.137042706,2662.137044629,0,0
110,31131,2662.146330161,2662.146331853,0,0
111,31131,2662.156329270,2662.156330847,0,0
112,31131,2662.177935370,2662.177937678,0,0
113,31131,2662.177966639,2662.177966986,0,0
114,31131,2662.186335134,2662.209623425,0,1
115,31131,2662.209643425,2662.209645541,0,0
116,31131,2662.219714034,2662.219716457,0,0
117,31131,2662.229714065,2662.229715450,0,0
118,31131,2662.239712097,2662.239713058,0,0
119,31131,2662.249711898,2662.249713167,0,0
120,31131,2662.259711660,2662.259713083,0,0
121,31131,2662.269717769,2662.269720153,0,0
122,31131,2662.282875952,2662.282876875,0,0
123,31131,2662.289713716,2662.315682622,0,1
124,31131,2662.315706314,2662.315708160,0,0
125,31131,2662.325793153,2662.325794961,0,0
126,31131,2662.335774685,2662.335776377,0,0
127,31131,2662.345785216,2662.345787024,0,0
128,31131,2662.355773556,2662.355775248,0,0
129,31131,2662.365773779,2662.365775472,0,0
130,31131,2662.380506462,2662.411300825,0,1
131,31131,2662.411330671,2662.411333363,0,0
132,31131,2662.421466049,2662.421468126,0,0
133,31131,2662.431411850,2662.431413273,0,0
134,31131,2662.441398958,2662.441399843,0,0
135,31131,2662.451398297,2662.451399682,0,0
136,31131,2662.461398444,2662.461399406,0,0
137,31131,2662.471454861,2662.471455976,0,0
138,31131,2662.481416584,2662.481417700,0,0
139,31131,2662.492042423,2662.492043231,0,0
140,31131,2662.501403186,2662.525706900,0,1
141,31131,2662.525737862,2662.525740092,0,0
142,31131,2662.535810355,2662.535813086,0,0
143,31131,2662.545866694,2662.545868963,0,0
144,31131,2662.555844841,2662.555847418,0,0
145,31131,2662.565812103,2662.565815296,0,0
146,31131,2662.575811250,2662.575813943,0,0
147,31131,2662.585810436,2662.605593422,0,1
148,31131,2662.605626384,2662.605629384,0,0
149,31131,2662.606028076,2662.606030345,0,0
150,31131,2662.616029723,2662.616031992,0,0
151,31131,2662.626052562,2662.626054677,0,0
152,31131,2662.635806209,2662.635808324,0,0
153,31131,2662.645804548,2662.645806856,0,0
154,31131,2662.655805541,2662.655807503,0,0
155,31131,2662.669073955,2662.669076148,0,0
156,31131,2662.675809451,2662.675811835,0,0
157,31131,2662.685808405,2662.708058313,0,1
158,31131,2662.708091775,2662.708094775,0,0
159,31131,2662.718160999,2662.718163460,0,0
160,31131,2662.728164722,2662.728167069,0,0
161,31131,2662.738159100,2662.738161292,0,0
162,31131,2662.748219170,2662.748221209,0,0
163,31131,2662.758160471,2662.758162279,0,0
164,31131,2662.768204156,2662.768205964,0,0
165,31131,2662.779828725,2662.779830148,0,0
166,31131,2662.788164950,2662.788166373,0,0
167,31131,2662.798161251,2662.819159314,0,1
168,31131,2662.819182352,2662.819184814,0,0
169,31131,2662.829251576,2662.829254191,0,0
170,31131,2662.839252569,2662.839254031,0,0
171,31131,2662.849251601,2662.849252716,0,0
172,31131,2662.859325825,2662.859326825,0,0
173,31131,2662.871021470,2662.871022201,0,0
174,31131,2662.887354651,2662.921262359,0,1
175,31131,2662.921284590,2662.921286436,0,0
176,31131,2662.931351929,2662.931352967,0,0
177,31131,2662.941354422,2662.941355307,0,0
178,31131,2662.951354838,2662.951356069,0,0
179,31131,2662.961352331,2662.961353601,0,0
180,31131,2662.972612477,2662.972613170,0,0
181,31131,2662.981356048,2662.981357241,0,0
182,31131,2662.996039269,2663.013153103,0,1
183,31131,2663.013187142,2663.013190103,0,0
184,31131,2663.023257712,2663.023259635,0,0
185,31131,2663.033256628,2663.033257859,0,0
186,31131,2663.043262660,2663.043264044,0,0
187,31131,2663.053254845,2663.053256384,0,0
188,31131,2663.063256107,2663.063258107,0,0
189,31131,2663.073265447,2663.073268408,0,0
190,31131,2663.083258401,2663.083262171,0,0
191,31131,2663.093263202,2663.112773727,0,1
192,31131,2663.112804304,2663.112806227,0,0
193,31131,2663.113253189,2663.113253958,0,0
194,31131,2663.123255874,2663.123256835,0,0
195,31131,2663.133253906,2663.133255098,0,0
196,31131,2663.143254476,2663.143255322,0,0
197,31131,2663.153254738,2663.153255584,0,0
198,31131,2663.163256500,2663.163257270,0,0
199,31131,2663.173475147,2663.173476032,0,0
200,31131,2663.183258640,2663.183260563,0,0
201,31131,2663.193256018,2663.217727771,0,1
202,31131,2663.217745963,2663.217748001,0,0
203,31131,2663.227815994,2663.227817456,0,0
204,31131,2663.237812372,2663.237813526,0,0
205,31131,2663.247815250,2663.247816981,0,0
206,31131,2663.257870435,2663.257872243,0,0
207,31131,2663.272609848,2663.272610925,0,0
208,31131,2663.277826960,2663.277830383,0,0
209,31131,2663.291921989,2663.291924489,0,0
210,31131,2663.297820869,2663.317574894,0,1
211,31131,2663.317604894,2663.317607010,0,0
212,31131,2663.317822394,2663.317822817,0,0
213,31131,2663.327814118,2663.327815272,0,0
214,31131,2663.337814496,2663.337815650,0,0
215,31131,2663.347814758,2663.347815604,0,0
216,31131,2663.357815944,2663.357818290,0,0
217,31131,2663.376279815,2663.406047026,0,1
218,31131,2663.406075295,2663.406077987,0,0
219,31131,2663.416145250,2663.416148019,0,0
220,31131,2663.426146204,2663.426148512,0,0
221,31131,2663.436134005,2663.436135620,0,0
222,31131,2663.446153883,2663.446155652,0,0
223,31131,2663.456144261,2663.456145799,0,0
224,31131,2663.466146638,2663.466148369,0,0
225,31131,2663.478744630,2663.478747976,0,0
226,31131,2663.487093432,2663.487096624,0,0
227,31131,2663.496511233,2663.516778680,0,1
228,31131,2663.516808373,2663.516809257,0,0
229,31131,2663.526876981,2663.526877558,0,0
230,31131,2663.536875974,2663.536876474,0,0
231,31131,2663.547010390,2663.547010852,0,0
232,31131,2663.557073153,2663.557073768,0,0
233,31131,2663.567794107,2663.567795030,0,0
234,31131,2663.578813253,2663.578814215,0,0
235,31131,2663.586879402,2663.607006157,0,1
236,31131,2663.607035426,2663.607037195,0,0
237,31131,2663.617116227,2663.617116958,0,0
238,31131,2663.627102566,2663.627103835,0,0
239,31131,2663.637104982,2663.637106290,0,0
240,31131,2663.647100283,2663.647101399,0,0
241,31131,2663.657104123,2663.657105238,0,0
242,31131,2663.670324575,2663.670327383,0,0
243,31131,2663.678671146,2663.678673992,0,0
244,31131,2663.687132602,2663.706473358,0,1
245,31131,2663.706504973,2663.706507781,0,0
246,31131,2663.707279319,2663.707280665,0,0
247,31131,2663.717103197,2663.717104620,0,0
248,31131,2663.727139036,2663.727140497,0,0
249,31131,2663.737119491,2663.737120683,0,0
