iter,PID,start,end,instance,activation
0,30955,2626.291066893,2626.291067854,1,1
1,30955,2626.301066847,2626.301067616,1,0
2,30955,2626.311071147,2626.311072109,1,0
3,30955,2626.321073333,2626.321075910,1,0
4,30955,2626.331069133,2626.331070864,1,0
5,30955,2626.341069472,2626.341070780,1,0
6,30955,2626.351069965,2626.351071234,1,0
7,30955,2626.361070227,2626.361318611,2,1
8,30955,2626.371069720,2626.371071181,2,0
9,30955,2626.381069482,2626.381071020,2,0
10,30955,2626.391069283,2626.391070513,2,0
11,30955,2626.401069506,2626.401070852,2,0
12,30955,2626.411067422,2626.411068653,2,0
13,30955,2626.421071915,2626.421073300,2,0
14,30955,2626.431068023,2626.431069408,2,0
15,30955,2626.441068516,2626.441069901,2,0
16,30955,2626.451067432,2626.451068778,2,0
17,30955,2626.461069040,2626.461070386,2,0
18,30955,2626.471073148,2626.471319110,3,1
19,30955,2626.481066910,2626.481068487,3,0
20,30955,2626.491069365,2626.491070557,3,0
21,30955,2626.501071858,2626.501073319,3,0
22,30955,2626.511068966,2626.511070081,3,0
23,30955,2626.521069690,2626.521071151,3,0
24,30955,2626.531067298,2626.531068644,3,0
25,30955,2626.541068214,2626.541069329,3,0
26,30955,2626.551069514,2626.551070860,3,0
27,30955,2626.561069622,2626.561071238,3,0
28,30955,2626.571070577,2626.571325461,4,1
29,30955,2626.581070570,2626.581072031,4,0
30,30955,2626.591069255,2626.591070639,4,0
31,30955,2626.601067902,2626.601069440,4,0
32,30955,2626.611068048,2626.611069587,4,0
33,30955,2626.621070387,2626.621071656,4,0
34,30955,2626.631069611,2626.631070880,4,0
35,30955,2626.641070527,2626.641071681,4,0
36,30955,2626.651068404,2626.651069673,4,0
37,30955,2626.661070551,2626.661071743,4,0
38,30955,2626.671076005,2626.671077313,4,0
39,30955,2626.681069998,2626.681320036,5,1
40,30955,2626.691068876,2626.691069991,5,0
41,30955,2626.701065907,2626.701067022,5,0
42,30955,2626.711133515,2626.711134669,5,0
43,30955,2626.721069470,2626.721071085,5,0
44,30955,2626.731067616,2626.731069347,5,0
45,30955,2626.741067148,2626.741068494,5,0
46,30955,2626.751070794,2626.751072179,5,0
47,30955,2626.761068364,2626.761069672,5,0
48,30955,2626.771072049,2626.771323472,6,1
49,30955,2626.781069734,2626.781071734,6,0
50,30955,2626.791068035,2626.791069381,6,0
51,30955,2626.801075412,2626.801076451,6,0
52,30955,2626.811070328,2626.811071444,6,0
53,30955,2626.821071513,2626.821072667,6,0
54,30955,2626.831068929,2626.831070352,6,0
55,30955,2626.841067845,2626.841069038,6,0
56,30955,2626.851069607,2626.851070761,6,0
57,30955,2626.861068639,2626.861070139,6,0
58,30955,2626.871074055,2626.871322670,7,1
59,30955,2626.881068432,2626.881069970,7,0
60,30955,2626.891069771,2626.891071117,7,0
61,30955,2626.901071341,2626.901072610,7,0
62,30955,2626.911070487,2626.911071641,7,0
63,30955,2626.921208249,2626.921209980,7,0
64,30955,2626.931026896,2626.931028319,7,0
65,30955,2626.941068428,2626.941069851,7,0
