iter,PID,start,end,instance,activation
0,3383,543.084595787,543.084666791,70,0
1,3383,543.184577003,543.184617851,71,0
2,3383,543.284573296,543.284612876,72,0
3,3383,543.384574821,543.384615516,73,0
4,3383,543.484573961,544.004090907,74,1
5,3383,544.004121678,544.034099864,79,1
6,3383,544.104371601,544.130118567,80,1
7,3383,544.204194922,544.204220077,80,0
8,3383,544.304192984,544.331507700,81,1
9,3383,544.404200586,544.404230895,81,0
10,3383,544.504192763,544.531468277,82,1
11,3383,544.604222639,544.629085771,83,1
12,3383,544.704336015,544.704362824,83,0
13,3383,544.804237070,544.829313215,84,1
14,3383,544.904309367,544.930627203,85,1
15,3383,545.004207461,545.004231386,85,0
16,3383,545.104197484,545.129750196,86,1
17,3383,545.204196238,545.204218854,86,0
18,3383,545.304211570,545.330914275,87,1
19,3383,545.404199554,545.404261596,87,0
20,3383,545.504217347,545.532407408,88,1
21,3383,545.604276610,545.604302189,88,0
22,3383,545.704216399,545.730303019,89,1
23,3383,545.804236000,545.804262078,89,0
24,3383,545.904308373,545.932225835,90,1
25,3383,546.004213506,546.004242354,90,0
26,3383,546.104203413,546.132061794,91,1
27,3383,546.204225398,546.228918895,92,1
28,3383,546.304194535,546.304217882,92,0
29,3383,546.404197212,546.428121200,93,1
30,3383,546.504273393,546.504339320,93,0
31,3383,546.604197225,546.629533328,94,1
32,3383,546.704221711,546.763989888,95,1
33,3383,546.804216349,546.864391973,96,1
34,3383,546.904207679,546.960871669,97,1
35,3383,547.004266629,547.069000720,98,1
36,3383,547.104200878,547.163083348,99,1
37,3383,547.204213171,547.204245865,99,0
38,3383,547.304195577,547.366789809,100,1
39,3383,547.404277913,547.466560203,101,1
40,3383,547.504527759,547.505035635,101,0
41,3383,547.604233193,547.665338465,102,1
42,3383,547.704200060,547.763733046,103,1
43,3383,547.804259203,547.863433436,104,1
44,3383,547.904217992,547.904242917,104,0
45,3383,548.004318445,548.063113348,105,1
46,3383,548.104225308,548.163184952,106,1
47,3383,548.204269373,548.204293336,106,0
48,3383,548.304211892,548.366573009,107,1
49,3383,548.404201646,548.467885342,108,1
50,3383,548.504264480,548.566816629,109,1
51,3383,548.604206353,548.664753992,110,1
52,3383,548.704328576,548.765313510,111,1
53,3383,548.804199631,548.804364794,111,0
54,3383,548.904244311,548.960446499,112,1
55,3383,549.004216064,549.068104401,113,1
56,3383,549.104312132,549.104363365,113,0
57,3383,549.204239382,549.267874512,114,1
58,3383,549.304197788,549.367250960,115,1
59,3383,549.404272547,549.468330933,116,1
60,3383,549.504274224,549.504301803,116,0
61,3383,549.604323989,549.665862279,117,1
62,3383,549.704238662,549.788525797,118,1
63,3383,549.804202069,549.874109200,119,1
64,3383,549.904198247,549.969577803,120,1
65,3383,550.004401053,550.004429863,120,0
66,3383,550.104526316,550.162086602,121,1
67,3383,550.204287673,550.204317020,121,0
68,3383,550.304305660,550.372645891,122,1
69,3383,550.404199409,550.468750762,123,1
70,3383,550.504286823,550.504315517,123,0
71,3383,550.604274085,550.808086053,124,1
72,3383,550.808122016,551.012357855,125,1
73,3383,551.012391857,551.139016793,126,1
74,3383,551.139051025,551.241101325,128,1
75,3383,551.241134327,551.355322955,129,1
76,3383,551.355354650,551.355374805,129,0
77,3383,551.412468119,551.412492505,129,0
78,3383,551.512476568,551.621703406,130,1
79,3383,551.621734638,551.762425309,131,1
80,3383,551.762457157,551.877946627,132,1
81,3383,551.878028324,551.878049748,132,0
82,3383,551.912469141,551.912473449,132,0
83,3383,552.012468476,552.107938354,133,1
84,3383,552.112464541,552.209953268,134,1
85,3383,552.212461107,552.298095642,135,1
86,3383,552.313540313,552.313561044,135,0
87,3383,552.412583822,552.555385796,136,1
88,3383,552.555417144,552.733984344,137,1
89,3383,552.734016345,552.915562757,139,1
90,3383,552.915597066,553.076544321,140,1
91,3383,553.076577131,553.256999438,141,1
92,3383,553.257031863,553.435952392,143,1
93,3383,553.435984932,553.615003777,144,1
94,3383,553.615035125,553.788763443,145,1
95,3383,553.788796675,554.033246183,146,1
96,3383,554.033282878,554.265690346,148,1
97,3383,554.265723347,554.489977884,150,1
98,3383,554.490040080,554.732595017,151,1
99,3383,554.732618403,554.960630420,153,1
100,3383,554.960662922,555.208892673,155,1
101,3383,555.208927521,555.449817275,156,1
102,3383,555.449845085,555.703134098,158,1
103,3383,555.703169600,555.968367920,159,1
104,3383,555.968398691,556.255662267,162,1
105,3383,556.255696884,556.538102600,163,1
106,3383,556.538135910,556.838427620,166,1
107,3383,556.839229204,557.125012439,169,1
108,3383,557.125044826,557.424203780,172,1
109,3383,557.424237858,557.704948511,174,1
110,3383,557.704982629,557.960674304,175,1
111,3383,557.960703228,558.245866790,176,1
112,3383,558.245899792,558.527203673,178,1
113,3383,558.527241175,558.829349621,180,1
114,3383,558.829384123,559.131714390,183,1
115,3383,559.132892648,559.426836831,185,1
116,3383,559.426870563,559.707090261,188,1
117,3383,559.707122686,559.971732946,190,1
118,3383,559.971764717,560.254671840,192,1
119,3383,560.254705341,560.530176855,195,1
120,3383,560.530197779,560.801881108,197,1
