iter,PID,start,end,instance,activation
0,31642,2681.378524640,2681.388139172,0,0
1,31642,2681.388598249,2681.394267053,0,0
2,31642,2681.398593512,2681.403424931,0,0
3,31642,2681.408599005,2681.439227715,0,0
4,31642,2681.439259138,2681.466940158,0,0
5,31642,2681.466978196,2681.493556717,0,0
6,31642,2681.493577755,2681.527093848,0,1
7,31642,2681.527107810,2681.532651883,0,1
8,31642,2681.537975264,2681.538092110,0,1
9,31642,2681.547181373,2681.549868102,0,1
10,31642,2681.557182789,2681.557749135,0,1
11,31642,2681.568170859,2681.569226589,0,1
12,31642,2681.581302158,2681.581861080,0,1
13,31642,2681.587182692,2681.587707038,0,1
14,31642,2681.597182801,2681.598245454,0,1
15,31642,2681.607253102,2681.608225063,0,1
16,31642,2681.617181595,2681.617727056,0,1
17,31642,2681.627234242,2681.628195088,0,1
18,31642,2681.637607812,2681.638549581,0,1
19,31642,2681.647461075,2681.647964843,0,1
20,31642,2681.660845181,2681.661769334,0,1
21,31642,2681.667186869,2681.667722753,0,1
22,31642,2681.677184247,2681.678117708,0,1
23,31642,2681.687182432,2681.687697355,0,1
24,31642,2681.697198349,2681.697708771,0,1
25,31642,2681.707460957,2681.708410072,0,1
26,31642,2681.717182104,2681.717763758,0,1
27,31642,2681.727181521,2681.728467635,0,1
28,31642,2681.739978089,2681.740906165,0,1
29,31642,2681.747496930,2681.748046122,0,1
30,31642,2681.757183193,2681.757783308,0,1
31,31642,2681.767518917,2681.768490416,0,1
32,31642,2681.777185141,2681.777732910,0,1
33,31642,2681.787183519,2681.788200480,0,1
34,31642,2681.797180320,2681.798156473,0,1
35,31642,2681.807180467,2681.807684967,0,1
36,31642,2681.817184729,2681.818147767,0,1
37,31642,2681.828382299,2681.828891414,0,1
38,31642,2681.837180677,2681.838117446,0,1
39,31642,2681.847215555,2681.848175670,0,1
40,31642,2681.857188241,2681.858151663,0,1
41,31642,2681.867181542,2681.868181887,0,1
42,31642,2681.877181381,2681.878261342,0,1
43,31642,2681.887177605,2681.887680528,0,1
44,31642,2681.897226329,2681.898160059,0,1
45,31642,2681.909842128,2681.910799782,0,1
46,31642,2681.917180316,2681.917689892,0,1
47,31642,2681.928201962,2681.929103769,0,1
48,31642,2681.937556033,2681.938067186,0,1
49,31642,2681.947217296,2681.949054102,0,1
50,31642,2681.957182981,2681.957856596,0,1
51,31642,2681.967180859,2681.968190628,0,1
52,31642,2681.977183314,2681.977704083,0,1
53,31642,2681.987221884,2681.988161345,0,1
54,31642,2681.997185724,2681.997706031,0,1
55,31642,2682.007218794,2682.007847062,0,1
56,31642,2682.017332671,2682.018249825,0,1
57,31642,2682.027188549,2682.028147433,0,1
58,31642,2682.037182774,2682.038071811,0,1
59,31642,2682.047191998,2682.048117920,0,1
60,31642,2682.057189683,2682.057717452,0,1
