iter,PID,start,end,instance,activation
0,3580,1736.725013725,1736.725019302,0,0
1,3580,1736.765175979,1736.765390285,0,0
2,3580,1736.805096966,1736.805100851,0,0
3,3580,1736.845099952,1736.845415680,0,0
4,3580,1736.885086516,1736.885138054,0,0
5,3580,1736.925097579,1736.925100771,0,0
6,3580,1736.965094219,1736.965115334,0,0
7,3580,1737.005095397,1737.005099089,0,0
8,3580,1737.045093730,1737.045115806,0,0
9,3580,1737.085090677,1737.085093908,0,0
10,3580,1737.125094894,1737.125174124,0,0
11,3580,1737.165094111,1737.165116457,0,0
12,3580,1737.205099867,1737.205103290,0,0
13,3580,1737.245092199,1737.245114430,0,0
14,3580,1737.285091801,1737.285096801,0,0
15,3580,1737.325094056,1737.325096710,0,0
16,3580,1737.365094427,1737.365116004,0,0
17,3580,1737.405095952,1737.406732206,0,0
18,3580,1737.445096899,1737.445123091,0,0
19,3580,1737.485101962,1737.485104731,0,0
20,3580,1737.525096178,1737.525098563,0,0
21,3580,1737.565087549,1737.565105356,0,0
22,3580,1737.605096035,1737.605099650,0,0
23,3580,1737.645097790,1737.645124136,0,0
24,3580,1737.685101737,1737.685184082,0,0
25,3580,1737.725092184,1737.725095261,0,0
26,3580,1737.765096285,1737.765118131,0,0
27,3580,1737.805127233,1737.805130194,0,0
28,3580,1737.845090642,1737.845113295,0,0
29,3580,1737.885093166,1737.885096397,0,0
30,3580,1737.925088883,1737.925091806,0,0
31,3580,1737.965089330,1737.965183483,0,0
32,3580,1738.005098354,1738.005103239,0,0
33,3580,1738.045089840,1738.045113186,0,0
34,3580,1738.085086595,1738.085089787,0,0
35,3580,1738.125091696,1738.125094465,0,0
36,3580,1738.165098797,1738.165120259,0,0
37,3580,1738.205093168,1738.205096322,0,0
38,3580,1738.245117115,1738.245209114,0,0
39,3580,1738.285102909,1738.285106562,0,0
40,3580,1738.325090010,1738.325093241,0,0
41,3580,1738.365092919,1738.365115842,0,0
42,3580,1738.405105020,1738.405107981,0,0
43,3580,1738.445100582,1738.445127313,0,0
44,3580,1738.485088645,1738.485093145,0,0
45,3580,1738.525091976,1738.525174552,0,0
46,3580,1738.565094731,1738.565121654,0,0
47,3580,1738.605097562,1738.605100870,0,0
48,3580,1738.645097009,1738.645120086,0,0
49,3580,1738.685097995,1738.685102110,0,0
50,3580,1738.725097557,1738.725101480,0,0
51,3580,1738.765450847,1738.765473885,0,0
52,3580,1738.805093528,1738.805168066,0,0
53,3580,1738.845087052,1738.845110205,0,0
54,3580,1738.885094729,1738.885099268,0,0
55,3580,1738.925092099,1738.925096368,0,0
56,3580,1738.965096738,1738.965120546,0,0
57,3580,1739.005092147,1739.005094916,0,0
58,3580,1739.045095555,1739.045117286,0,0
59,3580,1739.085145310,1739.085221847,0,0
60,3580,1739.125096334,1739.125099026,0,0
61,3580,1739.165197049,1739.165218510,0,0
62,3580,1739.205094651,1739.205097535,0,0
63,3580,1739.245054329,1739.245076752,0,0
64,3580,1739.285183544,1739.285186736,0,0
65,3580,1739.325094030,1739.325096953,0,0
66,3580,1739.365136823,1739.365234053,0,0
67,3580,1739.405095424,1739.405099385,0,0
68,3580,1739.445101063,1739.445125909,0,0
69,3580,1739.485102086,1739.485107048,0,0
70,3580,1739.525092418,1739.525095264,0,0
71,3580,1739.565096633,1739.565118248,0,0
72,3580,1739.605100618,1739.605103426,0,0
73,3580,1739.645102603,1739.645194064,0,0
74,3580,1739.685111165,1739.685115511,0,0
75,3580,1739.725123188,1739.725127650,0,0
76,3580,1739.765094327,1739.765121173,0,0
77,3580,1739.805067274,1739.805069543,0,0
78,3580,1739.845101759,1739.845127066,0,0
79,3580,1739.885111821,1739.885116744,0,0
80,3580,1739.925094921,1739.925171728,0,0
81,3580,1739.965098021,1739.965122406,0,0
82,3580,1740.005095045,1740.005097583,0,0
83,3580,1740.045100453,1740.045124876,0,0
84,3580,1740.085183783,1740.085186899,0,0
85,3580,1740.125090884,1740.125093692,0,0
86,3580,1740.165096446,1740.165117985,0,0
87,3580,1740.205086278,1740.205162931,0,0
88,3580,1740.245098724,1740.245121724,0,0
89,3580,1740.285115863,1740.285118978,0,0
90,3580,1740.325098502,1740.325101040,0,0
91,3580,1740.365096410,1740.365117063,0,0
92,3580,1740.405105664,1740.405108548,0,0
93,3580,1740.445094456,1740.445115533,0,0
94,3580,1740.485150287,1740.485227094,0,0
95,3580,1740.525097079,1740.525099887,0,0
96,3580,1740.565089910,1740.565113025,0,0
97,3580,1740.605092202,1740.605095048,0,0
98,3580,1740.645094995,1740.645116994,0,0
99,3580,1740.685096133,1740.685099941,0,0
100,3580,1740.725095887,1740.725099041,0,0
101,3580,1740.765097064,1740.765196870,0,0
102,3580,1740.805098317,1740.805101394,0,0
103,3580,1740.845099302,1740.845122340,0,0
104,3580,1740.885098979,1740.885101710,0,0
105,3580,1740.925097887,1740.925100502,0,0
106,3580,1740.965095833,1740.965117486,0,0
107,3580,1741.005095740,1741.005098125,0,0
108,3580,1741.045100648,1741.045196455,0,0
109,3580,1741.085090786,1741.085094786,0,0
110,3580,1741.125098925,1741.125101694,0,0
111,3580,1741.165087986,1741.165109255,0,0
112,3580,1741.205089009,1741.205091894,0,0
113,3580,1741.245098609,1741.245123840,0,0
114,3580,1741.285094171,1741.285098171,0,0
115,3580,1741.325100117,1741.325175616,0,0
116,3580,1741.365097101,1741.365122986,0,0
117,3580,1741.405089163,1741.405092855,0,0
118,3580,1741.445112955,1741.445134185,0,0
119,3580,1741.485089516,1741.485092593,0,0
120,3580,1741.525097616,1741.525100462,0,0
121,3580,1741.565097715,1741.565117830,0,0
122,3580,1741.605097392,1741.605174160,0,0
123,3580,1741.645096030,1741.645122683,0,0
124,3580,1741.685094668,1741.685098629,0,0
125,3580,1741.725097998,1741.725102382,0,0
126,3580,1741.765098174,1741.765125059,0,0
127,3580,1741.805100658,1741.805103428,0,0
128,3580,1741.845097027,1741.845117566,0,0
129,3580,1741.885099627,1741.885178472,0,0
130,3580,1741.925098419,1741.925101842,0,0
131,3580,1741.965090595,1741.965111326,0,0
132,3580,1742.005093002,1742.005095656,0,0
133,3580,1742.045102063,1742.045123832,0,0
134,3580,1742.085088663,1742.085092894,0,0
135,3580,1742.125096840,1742.125099070,0,0
136,3580,1742.165097170,1742.165189592,0,0
137,3580,1742.205094769,1742.205098231,0,0
138,3580,1742.245094907,1742.245117330,0,0
139,3580,1742.285095892,1742.285099315,0,0
140,3580,1742.325097799,1742.325101453,0,0
141,3580,1742.365084860,1742.365105475,0,0
142,3580,1742.405098998,1742.405101690,0,0
143,3580,1742.445098866,1742.445192404,0,0
144,3580,1742.485088389,1742.485091235,0,0
145,3580,1742.525100795,1742.525103603,0,0
146,3580,1742.565095972,1742.565115510,0,0
147,3580,1742.605096878,1742.605099378,0,0
148,3580,1742.645125785,1742.645145439,0,0
149,3580,1742.685098769,1742.685101654,0,0
150,3580,1742.725153791,1742.725235790,0,0
151,3580,1742.765098736,1742.765123313,0,0
152,3580,1742.805099182,1742.805103374,0,0
153,3580,1742.845099358,1742.845124396,0,0
154,3580,1742.885095688,1742.885100265,0,0
155,3580,1742.925099171,1742.925102479,0,0
156,3580,1742.965090655,1742.965114770,0,0
157,3580,1743.005096985,1743.005172715,0,0
158,3580,1743.045096315,1743.045117892,0,0
159,3580,1743.085088222,1743.085092222,0,0
160,3580,1743.125092475,1743.125095744,0,0
161,3580,1743.165085651,1743.165107728,0,0
162,3580,1743.205103865,1743.205107712,0,0
163,3580,1743.245093657,1743.245117388,0,0
164,3580,1743.285099679,1743.285176332,0,0
165,3580,1743.325096124,1743.325098778,0,0
166,3580,1743.365089339,1743.365111070,0,0
167,3580,1743.405089246,1743.405092092,0,0
168,3580,1743.445095075,1743.445126460,0,0
169,3580,1743.485087213,1743.485090213,0,0
170,3580,1743.525139965,1743.525143849,0,0
171,3580,1743.565106102,1743.565217024,0,0
172,3580,1743.605108778,1743.605112509,0,0
173,3580,1743.645102684,1743.645130069,0,0
174,3580,1743.685096668,1743.685101091,0,0
175,3580,1743.725098267,1743.725102113,0,0
176,3580,1743.772087917,1743.772111186,0,0
177,3580,1743.805101503,1743.805105002,0,0
178,3580,1743.845097063,1743.845191524,0,0
179,3580,1743.885095392,1743.885098508,0,0
180,3580,1743.925093376,1743.925097376,0,0
181,3580,1743.965092859,1743.965119590,0,0
182,3580,1744.005120073,1744.005124265,0,0
