iter,PID,start,end,instance,activation
0,3491,553.562004647,553.721848703,0,0
1,3491,553.721903744,553.878734742,0,0
2,3491,553.878768321,554.124897810,0,0
3,3491,554.124931351,554.368311258,0,0
4,3491,554.368342414,554.544112264,0,0
5,3491,554.544143035,554.742519893,0,0
6,3491,554.742549472,554.924732788,0,0
7,3491,554.924765405,555.115141690,0,0
8,3491,555.115175538,555.285395207,0,0
9,3491,555.285504483,555.449464986,0,0
10,3491,555.449497565,555.614263696,0,0
11,3491,555.614297851,555.804905620,0,0
12,3491,555.804943083,556.028560730,0,0
13,3491,556.028591116,556.031207919,0,1
14,3491,556.039906452,556.043275606,0,1
15,3491,556.048668605,556.049343220,0,1
16,3491,556.058673597,556.059326365,0,1
17,3491,556.068697514,556.069475596,0,1
18,3491,556.078671273,556.079380583,0,1
19,3491,556.088828505,556.099995795,0,1
20,3491,556.106454047,556.118416535,0,1
21,3491,556.118449845,556.126854053,0,1
22,3491,556.126888555,556.136725000,0,1
23,3491,556.136761733,556.148741607,0,1
24,3491,556.148774339,556.149177862,0,1
25,3491,556.158888261,556.170187827,0,1
26,3491,556.170223060,556.180659269,0,1
27,3491,556.181664595,556.189898448,0,1
28,3491,556.189932950,556.215250545,0,1
29,3491,556.215282893,556.220185248,0,1
30,3491,556.225442317,556.229426659,0,1
31,3491,556.235762289,556.240857809,0,1
32,3491,556.245666198,556.252503164,0,1
33,3491,556.256200452,556.262907410,0,1
34,3491,556.266604467,556.281959802,0,1
35,3491,556.281992034,556.301210320,0,1
36,3491,556.301264785,556.321849341,0,1
37,3491,556.321878727,556.328894011,0,1
38,3491,556.331959685,556.341601118,0,1
39,3491,556.342207999,556.349641807,0,1
40,3491,556.351955361,556.353904203,0,1
41,3491,556.361952199,556.362517808,0,1
42,3491,556.372519762,556.382853850,0,1
43,3491,556.382876390,556.394003600,0,1
44,3491,556.394030717,556.417485090,0,1
45,3491,556.417518515,556.424137238,0,1
46,3491,556.427696556,556.433245717,0,1
47,3491,556.437765898,556.441410220,0,1
48,3491,556.449885895,556.453953934,0,1
49,3491,556.458001895,556.463555596,0,1
50,3491,556.468253209,556.471855453,0,1
51,3491,556.478639223,556.494779411,0,1
52,3491,556.494811028,556.511777416,0,1
53,3491,556.511808457,556.522225972,0,1
54,3491,556.522254435,556.532750144,0,1
55,3491,556.532782684,556.545261582,0,1
56,3491,556.545291622,556.557889219,0,1
57,3491,556.557920913,556.565723047,0,1
58,3491,556.565761856,556.566448549,0,1
59,3491,556.578413418,556.588796005,0,1
60,3491,556.595189597,556.608678283,0,1
61,3491,556.608710016,556.615601482,0,1
62,3491,556.615626522,556.623176064,0,1
63,3491,556.625859716,556.634742488,0,1
64,3491,556.636843529,556.651895150,0,1
65,3491,556.651928998,556.667054815,0,1
66,3491,556.667079624,556.667627039,0,1
67,3491,556.677156386,556.690743577,0,1
68,3491,556.690778079,556.705485411,0,1
69,3491,556.705521374,556.718996713,0,1
70,3491,556.719026292,556.723000286,0,1
71,3491,556.729208598,556.745591217,0,1
72,3491,556.745624411,556.753598016,0,1
73,3491,556.753626902,556.761584813,0,1
74,3491,556.761614546,556.769102123,0,1
75,3491,556.769134163,556.785894265,0,1
76,3491,556.785927228,556.808532314,0,1
77,3491,556.808566701,556.818139665,0,1
78,3491,556.818642501,556.819246035,0,1
79,3491,556.829714935,556.836531782,0,1
80,3491,556.840144294,556.852931517,0,1
81,3491,556.852965096,556.858831658,0,1
82,3491,556.859443654,556.867519842,0,1
83,3491,556.871851125,556.887616478,0,1
84,3491,556.887651326,556.907585915,0,1
85,3491,556.907617532,556.920797777,0,1
86,3491,556.920825125,556.927186869,0,1
87,3491,556.930883271,556.940239569,0,1
88,3491,556.940270917,556.950039046,0,1
89,3491,556.950068855,556.960199813,0,1
90,3491,556.960233815,556.968376467,0,1
91,3491,556.968409469,556.978571890,0,1
92,3491,556.978933872,556.999198056,0,1
93,3491,556.999224712,557.012176829,0,1
94,3491,557.012208946,557.015350854,0,1
95,3491,557.021181761,557.030034992,0,1
96,3491,557.030068725,557.045839963,0,1
97,3491,557.045874042,557.053930843,0,1
98,3491,557.053962461,557.054474759,0,1
99,3491,557.063862828,557.072942534,0,1
100,3491,557.072977420,557.091128408,0,1
101,3491,557.091161756,557.110629434,0,1
102,3491,557.110692784,557.111331474,0,1
103,3491,557.111361360,557.131422994,0,1
104,3491,557.133126514,557.139061580,0,1
105,3491,557.143205507,557.154033119,0,1
106,3491,557.154065890,557.157329690,0,1
107,3491,557.163534887,557.175896124,0,1
108,3491,557.175934357,557.199723471,0,1
109,3491,557.199756089,557.215031606,0,1
110,3491,557.215063993,557.219890689,0,1
111,3491,557.219918536,557.230043494,0,1
112,3491,557.230075803,557.250552115,0,1
113,3491,557.250586386,557.256805699,0,1
114,3491,557.260907393,557.261602355,0,1
115,3491,557.271778930,557.287308462,0,1
116,3491,557.287342926,557.309536373,0,1
117,3491,557.309574414,557.326978782,0,1
118,3491,557.327019785,557.339249707,0,1
119,3491,557.339282939,557.347571831,0,1
120,3491,557.347602218,557.356642229,0,1
121,3491,557.356672769,557.368344160,0,1
122,3491,557.368376084,557.382428417,0,1
123,3491,557.388185435,557.401113436,0,1
124,3491,557.401148014,557.412414036,0,1
125,3491,557.412446384,557.425424387,0,1
126,3491,557.425453735,557.430602372,0,1
127,3491,557.430636182,557.447797306,0,1
128,3491,557.447831192,557.454434912,0,1
129,3491,557.459057673,557.468436434,0,1
130,3491,557.468467167,557.471825588,0,1
131,3491,557.481875425,557.489524127,0,1
132,3491,557.491690326,557.513307702,0,1
133,3491,557.513342820,557.524308207,0,1
134,3491,557.524341094,557.539068729,0,1
135,3491,557.539103116,557.544254482,0,1
136,3491,557.544285484,557.554733494,0,1
137,3491,557.556074800,557.565016264,0,1
138,3491,557.569538441,557.570157438,0,1
139,3491,557.580854769,557.601074213,0,1
140,3491,557.601109754,557.612127680,0,1
141,3491,557.612159836,557.621679948,0,1
142,3491,557.621717796,557.622325446,0,1
143,3491,557.634018795,557.639885471,0,1
144,3491,557.641189083,557.651010827,0,1
145,3491,557.651239878,557.655976106,0,1
146,3491,557.661201784,557.661870437,0,1
147,3491,557.671860691,557.674270788,0,1
148,3491,557.681334723,557.696776475,0,1
149,3491,557.696810823,557.715822161,0,1
150,3491,557.715850432,557.725714063,0,1
151,3491,557.725923498,557.736378547,0,1
152,3491,557.736415010,557.743368632,0,1
153,3491,557.745936276,557.751139799,0,1
154,3491,557.755927145,557.763416066,0,1
155,3491,557.765960555,557.766550434,0,1
156,3491,557.777101143,557.786295198,0,1
157,3491,557.786325930,557.806825005,0,1
158,3491,557.806859776,557.814949962,0,1
159,3491,557.816937919,557.817502066,0,1
160,3491,557.826942405,557.830018308,0,1
161,3491,557.836936120,557.839975060,0,1
162,3491,557.846938297,557.848815095,0,1
163,3491,557.856937167,557.858035998,0,1
164,3491,557.867023349,557.867738582,0,1
165,3491,557.877057105,557.880154087,0,1
166,3491,557.887129210,557.889078781,0,1
167,3491,557.898550197,557.899878464,0,1
168,3491,557.909182718,557.917605384,0,1
169,3491,557.917636385,557.930396987,0,1
170,3491,557.930428758,557.936664608,0,1
171,3491,557.940140227,557.949060766,0,1
172,3491,557.949092961,557.951110843,0,1
173,3491,557.957014752,557.966510093,0,1
174,3491,557.969013541,557.978849248,0,1
175,3491,557.978884173,557.992322774,0,1
176,3491,557.999302243,558.010384328,0,1
177,3491,558.010413368,558.019095086,0,1
178,3491,558.020325963,558.028790939,0,1
179,3491,558.029372895,558.037878526,0,1
180,3491,558.040230235,558.047163933,0,1
181,3491,558.050641705,558.057177226,0,1
182,3491,558.059938420,558.063010515,0,1
183,3491,558.070537784,558.071199822,0,1
184,3491,558.079655412,558.087729404,0,1
185,3491,558.090132732,558.103303587,0,1
186,3491,558.103336320,558.118889732,0,1
187,3491,558.118917272,558.121190631,0,1
188,3491,558.121216863,558.134428605,0,1
189,3491,558.134458684,558.142384437,0,1
190,3491,558.142416900,558.150637170,0,1
191,3491,558.150669364,558.152868680,0,1
192,3491,558.159390200,558.168868540,0,1
193,3491,558.169594774,558.182835094,0,1
194,3491,558.182867212,558.190218394,0,1
195,3491,558.192804231,558.211855687,0,1
196,3491,558.211887035,558.215611013,0,1
197,3491,558.226697444,558.230050440,0,1
198,3491,558.232743245,558.238932939,0,1
199,3491,558.246892425,558.254353459,0,1
200,3491,558.254389077,558.263589017,0,1
201,3491,558.263621211,558.283708609,0,1
202,3491,558.283770920,558.298135304,0,1
203,3491,558.303060350,558.303675846,0,1
204,3491,558.310911022,558.321782786,0,1
205,3491,558.321811711,558.334890908,0,1
206,3491,558.334924948,558.344411404,0,1
207,3491,558.345003130,558.345604856,0,1
208,3491,558.355004153,558.362242098,0,1
209,3491,558.365003523,558.369759751,0,1
210,3491,558.375001815,558.385198734,0,1
211,3491,558.385232236,558.409849773,0,1
212,3491,558.409886391,558.419330614,0,1
213,3491,558.420185816,558.426934195,0,1
214,3491,558.429959519,558.446118811,0,1
215,3491,558.446153352,558.450510673,0,1
216,3491,558.450544214,558.463790112,0,1
217,3491,558.466326139,558.476824306,0,1
218,3491,558.478926155,558.487897890,0,1
219,3491,558.487931738,558.511097347,0,1
220,3491,558.511131964,558.524594142,0,1
221,3491,558.524625606,558.532714096,0,1
222,3491,558.532748174,558.546760495,0,1
223,3491,558.546793305,558.547336758,0,1
224,3491,558.554366997,558.561614094,0,1
225,3491,558.561644365,558.567334567,0,1
226,3491,558.580497648,558.609196213,0,1
227,3491,558.609230561,558.609861711,0,1
228,3491,558.619308623,558.625818295,0,1
229,3491,558.629320336,558.637471330,0,1
230,3491,558.639304701,558.644463528,0,1
231,3491,558.649312068,558.657673189,0,1
232,3491,558.659312242,558.670760112,0,1
233,3491,558.670798883,558.680932411,0,1
234,3491,558.680965220,558.691924486,0,1
235,3491,558.700624626,558.709737557,0,1
236,3491,558.718358616,558.732076382,0,1
237,3491,558.732105230,558.738510972,0,1
238,3491,558.742184408,558.748581803,0,1
239,3491,558.752178812,558.758781258,0,1
240,3491,558.762187909,558.770562146,0,1
241,3491,558.772195314,558.774534945,0,1
242,3491,558.782184526,558.792424213,0,1
243,3491,558.792460331,558.812351057,0,1
244,3491,558.813503852,558.820505666,0,1
245,3491,558.823861892,558.837483922,0,1
246,3491,558.842386926,558.850324754,0,1
247,3491,558.850357756,558.850941404,0,1
248,3491,558.857368532,558.869524788,0,1
249,3491,558.871089644,558.883508068,0,1
250,3491,558.883541455,558.908455461,0,1
251,3491,558.910955255,558.917997687,0,1
252,3491,558.924261383,558.935019945,0,1
253,3491,558.935054754,558.947167200,0,1
254,3491,558.947199548,558.953811071,0,1
255,3491,558.953843227,558.960728611,0,1
256,3491,558.968824371,558.973887923,0,1
257,3491,558.973919617,558.999933146,0,1
258,3491,558.999963687,559.016284559,0,1
259,3491,559.016320408,559.016933788,0,1
260,3491,559.024260851,559.030305765,0,1
261,3491,559.030339998,559.043323954,0,1
262,3491,559.043361379,559.058596499,0,1
263,3491,559.058628001,559.063859524,0,1
264,3491,559.063893641,559.077048606,0,1
265,3491,559.077168075,559.087883865,0,1
266,3491,559.090681060,559.107769014,0,1
267,3491,559.107803939,559.124685651,0,1
268,3491,559.124717884,559.134106254,0,1
269,3491,559.135645994,559.144294938,0,1
270,3491,559.145369806,559.158255487,0,1
271,3491,559.158281373,559.158857136,0,1
272,3491,559.167755594,559.178306337,0,1
273,3491,559.178337301,559.190320278,0,1
274,3491,559.190353126,559.213166669,0,1
275,3491,559.213199632,559.217124736,0,1
276,3491,559.223277195,559.229522082,0,1
277,3491,559.236270613,559.247522895,0,1
278,3491,559.247558243,559.257071774,0,1
279,3491,559.257101314,559.258642862,0,1
280,3491,559.263759955,559.270836658,0,1
281,3491,559.277950863,559.281447712,0,1
282,3491,559.292085191,559.309271189,0,1
283,3491,559.309307152,559.309935649,0,1
284,3491,559.320249263,559.330609188,0,1
285,3491,559.330639998,559.341092812,0,1
286,3491,559.341124044,559.348523765,0,1
287,3491,559.351420235,559.357946945,0,1
288,3491,559.359631155,559.370275095,0,1
289,3491,559.370306943,559.381798931,0,1
290,3491,559.381834087,559.403039540,0,1
291,3491,559.403079312,559.411318195,0,1
292,3491,559.416867428,559.428806902,0,1
293,3491,559.428840712,559.437109789,0,1
294,3491,559.437140598,559.445149699,0,1
295,3491,559.445185624,559.452782049,0,1
296,3491,559.454014387,559.463884707,0,1
297,3491,559.463918594,559.477779175,0,1
298,3491,559.477808638,559.489921546,0,1
299,3491,559.489948355,559.494679388,0,1
300,3491,559.502167614,559.514285021,0,1
301,3491,559.514321216,559.530579081,0,1
302,3491,559.530627623,559.534964440,0,1
303,3491,559.535000288,559.541270675,0,1
304,3491,559.544401387,559.551752910,0,1
305,3491,559.554396711,559.561235129,0,1
306,3491,559.564515041,559.572503562,0,1
307,3491,559.574399282,559.575017240,0,1
308,3491,559.584458148,559.596287343,0,1
