iter,PID,start,end,instance,activation
0,31033,2629.429330151,2629.429331844,31,1
1,31033,2629.439330106,2629.439331336,31,0
2,31033,2629.449326752,2629.449328175,31,0
3,31033,2629.459326438,2629.459328053,31,0
4,31033,2629.469325738,2629.469327430,31,0
5,31033,2629.479446192,2629.479448500,31,0
6,31033,2629.489330916,2629.489333493,31,0
7,31033,2629.499329717,2629.499332409,31,0
8,31033,2629.509329171,2629.509349056,32,1
9,31033,2629.519327318,2629.519329164,32,0
10,31033,2629.529328042,2629.529329580,32,0
11,31033,2629.539326419,2629.539327573,32,0
12,31033,2629.549325720,2629.549327027,32,0
13,31033,2629.559327059,2629.559328789,32,0
14,31033,2629.569347051,2629.569348705,32,0
15,31033,2629.579345583,2629.579346737,32,0
16,31033,2629.589329460,2629.589331730,32,0
17,31033,2629.599329453,2629.599332261,32,0
18,31033,2629.609332369,2629.609334869,32,0
19,31033,2629.619329477,2629.619344054,33,1
20,31033,2629.629328316,2629.629330355,33,0
21,31033,2629.639328925,2629.639330463,33,0
22,31033,2629.649326956,2629.649328418,33,0
23,31033,2629.659326718,2629.659328295,33,0
24,31033,2629.669327288,2629.669329249,33,0
25,31033,2629.679327935,2629.679329665,33,0
26,31033,2629.689328966,2629.689331966,33,0
27,31033,2629.699331766,2629.699334459,33,0
28,31033,2629.709333682,2629.709336452,33,0
29,31033,2629.719329483,2629.719345483,34,1
30,31033,2629.729328091,2629.729329668,34,0
31,31033,2629.739326315,2629.739327584,34,0
32,31033,2629.749326385,2629.749327654,34,0
33,31033,2629.759327224,2629.759328685,34,0
34,31033,2629.769330793,2629.769333370,34,0
35,31033,2629.779332248,2629.779334940,34,0
36,31033,2629.789331587,2629.789334587,34,0
37,31033,2629.799327734,2629.799342387,35,1
38,31033,2629.809328150,2629.809330303,35,0
39,31033,2629.819326835,2629.819328489,35,0
40,31033,2629.829327020,2629.829328481,35,0
41,31033,2629.839325897,2629.839327051,35,0
42,31033,2629.849326544,2629.849327775,35,0
43,31033,2629.859327537,2629.859329037,35,0
44,31033,2629.869349030,2629.869350953,35,0
45,31033,2629.879331484,2629.879334254,35,0
46,31033,2629.889332708,2629.889335246,35,0
47,31033,2629.899351508,2629.899353508,35,0
48,31033,2629.909328194,2629.909346578,36,1
49,31033,2629.919327571,2629.919329263,36,0
50,31033,2629.929326910,2629.929328949,36,0
51,31033,2629.939327134,2629.939328634,36,0
52,31033,2629.949326088,2629.949327665,36,0
53,31033,2629.959349350,2629.959350773,36,0
54,31033,2629.969327959,2629.969329805,36,0
55,31033,2629.979331375,2629.979333836,36,0
56,31033,2629.989330367,2629.989333060,36,0
57,31033,2629.999329707,2629.999332514,36,0
58,31033,2630.009328199,2630.009348161,37,1
59,31033,2630.019327769,2630.019329692,37,0
60,31033,2630.029327416,2630.029329147,37,0
61,31033,2630.039327140,2630.039328293,37,0
