iter,PID,start,end,instance,activation
0,3641,1746.628264283,1746.628269398,0,0
1,3641,1746.664062919,1746.664227110,0,0
2,3641,1746.695017060,1746.695164290,0,0
3,3641,1746.728348488,1746.728499948,0,0
4,3641,1746.762166565,1746.762360678,152,0
5,3641,1746.795014958,1746.795174726,152,0
6,3641,1746.828350501,1746.828502422,152,0
7,3641,1746.864060522,1746.864840976,153,1
8,3641,1746.895193969,1746.895345083,153,0
9,3641,1746.928349245,1746.928499128,153,0
10,3641,1746.961776325,1746.962623279,154,1
11,3641,1746.995000600,1746.995147098,154,0
12,3641,1747.028341296,1747.028492103,154,0
13,3641,1747.064055663,1747.064947155,155,1
14,3641,1747.095076766,1747.095273495,155,0
15,3641,1747.128341002,1747.128494346,155,0
16,3641,1747.161668583,1747.162456768,156,1
17,3641,1747.195013126,1747.195167393,156,0
18,3641,1747.228347476,1747.228463398,156,0
19,3641,1747.261666442,1747.262405320,157,1
20,3641,1747.295013831,1747.295206637,157,0
21,3641,1747.328336297,1747.328488680,157,0
22,3641,1747.361675763,1747.362337026,158,1
23,3641,1747.395015729,1747.395165612,158,0
24,3641,1747.428346464,1747.428458309,158,0
25,3641,1747.461687891,1747.462352539,159,1
26,3641,1747.495015933,1747.495212624,159,0
27,3641,1747.528361476,1747.528563820,159,0
28,3641,1747.561676826,1747.562428473,160,1
29,3641,1747.595014753,1747.595169367,160,0
30,3641,1747.628346334,1747.628456218,160,0
31,3641,1747.661683146,1747.662514100,161,1
32,3641,1747.695017957,1747.695213148,161,0
33,3641,1747.728377269,1747.728535075,161,0
34,3641,1747.761681196,1747.762356306,162,1
35,3641,1747.795010508,1747.795163737,162,0
36,3641,1747.828345820,1747.828457242,162,0
37,3641,1747.861683939,1747.862345241,163,1
38,3641,1747.895011789,1747.895260710,163,0
39,3641,1747.928348178,1747.928498984,163,0
40,3641,1747.961681374,1747.962599597,164,1
41,3641,1747.995010840,1747.995162377,164,0
42,3641,1748.028340767,1748.028453920,164,0
43,3641,1748.061671579,1748.062336880,165,1
44,3641,1748.095007698,1748.095197581,165,0
45,3641,1748.128346317,1748.128502008,165,0
46,3641,1748.161676783,1748.162454084,166,1
47,3641,1748.195108632,1748.195263631,166,0
48,3641,1748.228349330,1748.228462829,166,0
49,3641,1748.261684449,1748.262359404,167,1
50,3641,1748.295026107,1748.295218759,167,0
51,3641,1748.328341880,1748.328495956,167,0
52,3641,1748.364075093,1748.364767702,168,1
53,3641,1748.395019427,1748.395170156,168,0
54,3641,1748.428338508,1748.428448276,168,0
55,3641,1748.464065028,1748.464871290,169,1
56,3641,1748.495006823,1748.495199129,169,0
57,3641,1748.528373326,1748.528524248,169,0
58,3641,1748.564055270,1748.564729456,170,1
59,3641,1748.595100371,1748.595244985,170,0
60,3641,1748.628347760,1748.628458375,170,0
61,3641,1748.661670341,1748.662333681,171,1
62,3641,1748.695105575,1748.695295534,171,0
63,3641,1748.728354310,1748.728506078,171,0
64,3641,1748.764053561,1748.764888323,172,1
65,3641,1748.795021471,1748.795164470,172,0
66,3641,1748.828337821,1748.828447589,172,0
67,3641,1748.861668863,1748.862475164,173,1
68,3641,1748.895096712,1748.895281826,173,0
69,3641,1748.928347371,1748.928493754,173,0
70,3641,1748.961667413,1748.962321099,174,1
71,3641,1748.995002032,1748.995147069,174,0
72,3641,1749.028351805,1749.028461727,174,0
73,3641,1749.061668347,1749.062337110,175,1
74,3641,1749.095108350,1749.095292463,175,0
75,3641,1749.128339854,1749.128488353,175,0
76,3641,1749.161669204,1749.162316045,176,1
77,3641,1749.195156591,1749.195305897,176,0
78,3641,1749.228364942,1749.228471095,176,0
79,3641,1749.261668638,1749.262347171,177,1
80,3641,1749.295012065,1749.295195563,177,0
81,3641,1749.328342338,1749.328490875,177,0
82,3641,1749.364048012,1749.364745814,178,1
83,3641,1749.395017076,1749.395156036,178,0
84,3641,1749.428344580,1749.428447502,178,0
85,3641,1749.464058485,1749.464886515,179,1
86,3641,1749.495035433,1749.495214008,179,0
87,3641,1749.528341859,1749.528483512,179,0
88,3641,1749.564049649,1749.565440597,180,1
89,3641,1749.595005058,1749.595144557,180,0
90,3641,1749.628340254,1749.628451484,180,0
91,3641,1749.664057197,1749.664850151,181,1
92,3641,1749.695017684,1749.695196528,181,0
93,3641,1749.728354725,1749.728489378,181,0
94,3641,1749.764089091,1749.764873969,182,1
95,3641,1749.795013732,1749.795150039,182,0
96,3641,1749.828371620,1749.828473465,182,0
97,3641,1749.864066794,1749.864710750,183,1
98,3641,1749.895015858,1749.895190318,183,0
99,3641,1749.928336400,1749.928471552,183,0
100,3641,1749.961675172,1749.962425050,184,1
101,3641,1749.995072983,1749.995205212,184,0
102,3641,1750.028345371,1750.028443870,184,0
103,3641,1750.061683644,1750.062328676,185,1
104,3641,1750.095010532,1750.095177453,185,0
105,3641,1750.128340689,1750.128478534,185,0
106,3641,1750.164108439,1750.164747895,186,1
107,3641,1750.195014311,1750.195138887,186,0
108,3641,1750.228389699,1750.228487390,186,0
109,3641,1750.261670203,1750.262433080,187,1
110,3641,1750.295016244,1750.295174935,187,0
111,3641,1750.328356748,1750.328498708,187,0
112,3641,1750.364059152,1750.364830645,188,1
113,3641,1750.395013331,1750.395134753,188,0
114,3641,1750.428351488,1750.428449641,188,0
115,3641,1750.464055854,1750.464819694,189,1
116,3641,1750.495013687,1750.495174570,189,0
117,3641,1750.528337036,1750.528466035,189,0
118,3641,1750.561667578,1750.562432648,190,1
119,3641,1750.595039157,1750.595158733,190,0
120,3641,1750.628345737,1750.628438275,190,0
121,3641,1750.661672317,1750.662304312,191,1
122,3641,1750.695165704,1750.695321510,191,0
123,3641,1750.728344362,1750.728468169,191,0
124,3641,1750.761668134,1750.762351128,192,1
125,3641,1750.795014368,1750.795135521,192,0
126,3641,1750.828343486,1750.828435409,192,0
127,3641,1750.861676451,1750.862405060,193,1
128,3641,1750.895007262,1750.895157260,193,0
129,3641,1750.928340188,1750.928457841,193,0
130,3641,1750.961669153,1750.962397069,194,1
131,3641,1750.995012655,1750.995099655,194,0
132,3641,1751.028384697,1751.028533695,194,0
133,3641,1751.061669315,1751.062420347,195,1
134,3641,1751.095014049,1751.095101779,195,0
135,3641,1751.128334168,1751.128479128,195,0
136,3641,1751.161673248,1751.162311434,196,1
137,3641,1751.195016135,1751.195100827,196,0
138,3641,1751.228352677,1751.228492945,196,0
139,3641,1751.265990448,1751.266747441,197,1
140,3641,1751.295022606,1751.295106643,197,0
141,3641,1751.328338224,1751.328475569,197,0
142,3641,1751.361674112,1751.362630988,198,1
143,3641,1751.395013615,1751.395095730,198,0
144,3641,1751.428338118,1751.428476386,198,0
145,3641,1751.461667044,1751.462391576,199,1
146,3641,1751.495015008,1751.495098969,199,0
147,3641,1751.528336049,1751.528473856,199,0
148,3641,1751.561673360,1751.562419930,200,1
149,3641,1751.595006324,1751.595086015,200,0
150,3641,1751.628335865,1751.628467133,200,0
151,3641,1751.661681945,1751.662318208,201,1
152,3641,1751.695003332,1751.695085254,201,0
153,3641,1751.728378950,1751.728511564,201,0
154,3641,1751.761681030,1751.762259832,202,1
155,3641,1751.795096839,1751.795175685,202,0
156,3641,1751.828388266,1751.828525149,202,0
157,3641,1751.861678961,1751.862268917,203,1
158,3641,1751.895126847,1751.895201000,203,0
159,3641,1751.928344466,1751.928476542,203,0
160,3641,1751.961676046,1751.962248041,204,1
161,3641,1751.995010356,1751.995089510,204,0
162,3641,1752.028346936,1752.028473627,204,0
163,3641,1752.061679785,1752.062257857,205,1
164,3641,1752.095128363,1752.095203209,205,0
165,3641,1752.128347675,1752.128469712,205,0
166,3641,1752.161674178,1752.162230788,206,1
167,3641,1752.195003834,1752.195078680,206,0
168,3641,1752.228343529,1752.228461913,206,0
169,3641,1752.261682763,1752.262253796,207,1
170,3641,1752.295137034,1752.295212341,207,0
171,3641,1752.328339191,1752.328459229,207,0
172,3641,1752.361679232,1752.362796876,208,1
173,3641,1752.395008927,1752.395080581,208,0
174,3641,1752.428341622,1752.428459237,208,0
175,3641,1752.461671933,1752.462259619,209,1
176,3641,1752.495007935,1752.495079319,209,0
177,3641,1752.528340245,1752.528467282,209,0
178,3641,1752.561682132,1752.562709661,210,1
179,3641,1752.595129095,1752.595278401,210,0
180,3641,1752.628337714,1752.628450674,210,0
