iter,PID,start,end,instance,activation
0,3679,578.164824733,578.164978625,326,1
1,3679,578.264825701,578.264987709,326,1
2,3679,578.364936559,578.364992293,328,1
3,3679,578.464780250,578.464817944,328,1
4,3679,578.564899634,578.564939328,328,1
5,3679,578.665097967,578.665195779,329,1
6,3679,578.764830046,578.764876586,329,1
7,3679,578.864825253,578.864865870,329,1
8,3679,578.964787689,578.964841076,332,1
9,3679,579.064820206,579.064858708,332,1
10,3679,579.165003769,579.165041193,332,1
11,3679,579.264908664,579.265306222,332,1
12,3679,579.364900909,579.364956296,335,1
13,3679,579.464822113,579.464865346,335,1
14,3679,579.564823961,579.564870694,335,1
15,3679,579.664825523,579.664868064,335,1
16,3679,579.764827855,579.764870434,335,1
17,3679,579.864842187,579.864878074,335,1
18,3679,579.964964333,579.965003104,335,1
19,3679,580.064844427,580.064885891,335,1
20,3679,580.164992305,580.165057423,339,1
21,3679,580.264820205,580.264861438,339,1
22,3679,580.364822152,580.364864346,339,1
23,3679,580.464821407,580.464861601,339,1
24,3679,580.564835610,580.564876535,339,1
25,3679,580.664908147,580.664947495,339,1
26,3679,580.764826253,580.764868793,339,1
27,3679,580.865179687,580.865214804,339,1
28,3679,580.964819972,580.964862012,339,1
29,3679,581.064821582,581.064861007,339,1
30,3679,581.164827692,581.166685744,339,1
31,3679,581.264875958,581.264915998,339,1
32,3679,581.365095348,581.365142235,339,1
33,3679,581.464826098,581.464867023,339,1
34,3679,581.564825079,581.564866889,339,1
35,3679,581.664888855,581.664930434,339,1
36,3679,581.764827048,581.764870243,339,1
37,3679,581.864818706,581.864856015,339,1
38,3679,581.964948292,581.964989102,339,1
39,3679,582.065074302,582.065115343,339,1
40,3679,582.164994687,582.165033727,339,1
41,3679,582.265110619,582.265151044,339,1
42,3679,582.364857803,582.364899112,339,1
43,3679,582.464926194,582.464968619,339,1
44,3679,582.564824949,582.564866874,339,1
45,3679,582.664823655,582.664865349,339,1
46,3679,582.764825014,582.764865439,339,1
47,3679,582.864921955,582.864962880,339,1
48,3679,582.964823886,582.964865119,339,1
49,3679,583.064821553,583.064862940,339,1
50,3679,583.164934879,583.164975074,339,1
51,3679,583.264821848,583.264861735,339,1
52,3679,583.364822746,583.364872364,339,1
53,3679,583.464901225,583.464941150,339,1
54,3679,583.564821375,583.564860454,339,1
55,3679,583.664825821,583.664869400,339,1
56,3679,583.764827959,583.764883000,345,1
57,3679,583.864814712,583.864851406,345,1
58,3679,583.964821351,583.964861391,345,1
59,3679,584.064875568,584.064915647,345,1
60,3679,584.164873052,584.164914362,345,1
61,3679,584.264821419,584.264861421,345,1
62,3679,584.364953333,584.364993296,345,1
63,3679,584.464823042,584.464867274,345,1
64,3679,584.564822205,584.564862592,345,1
65,3679,584.664842239,584.664881818,345,1
66,3679,584.764974739,584.765013818,345,1
67,3679,584.865509144,584.865545992,345,1
68,3679,584.964821221,584.964860146,345,1
69,3679,585.065315585,585.065364895,373,1
70,3679,585.164817978,585.164858634,373,1
71,3679,585.264912977,585.264953210,373,1
72,3679,585.364822813,585.364863584,373,1
73,3679,585.464876040,585.464917081,373,1
74,3679,585.564820750,585.564858829,373,1
75,3679,585.664841486,585.664896181,384,1
76,3679,585.765069463,585.765108272,384,1
77,3679,585.864854765,585.864893920,384,1
78,3679,585.964825845,585.964864808,384,1
79,3679,586.064847965,586.064889275,384,1
80,3679,586.165551042,586.166491932,384,1
81,3679,586.264822588,586.264865706,384,1
82,3679,586.364821977,586.364861133,384,1
83,3679,586.464864984,586.464907716,384,1
84,3679,586.565021367,586.565061138,384,1
85,3679,586.665110579,586.665150927,384,1
86,3679,586.764822849,586.764865159,384,1
87,3679,586.864854365,586.864909868,388,1
88,3679,586.964822878,586.964864034,388,1
89,3679,587.064887011,587.064928860,388,1
90,3679,587.164888795,587.164929451,388,1
91,3679,587.264968314,587.265026201,398,1
92,3679,587.364819783,587.364928634,398,1
93,3679,587.464846145,587.464893109,398,1
94,3679,587.564768836,587.564809261,398,1
95,3679,587.664809555,587.664851134,398,1
96,3679,587.764824543,587.764863429,398,1
97,3679,587.864935804,587.864991653,403,1
98,3679,587.964822401,587.964861288,403,1
99,3679,588.064817272,588.064858736,403,1
100,3679,588.164820490,588.164860069,403,1
101,3679,588.264896519,588.264950598,409,1
102,3679,588.364941392,588.364981010,409,1
103,3679,588.464819873,588.464858760,409,1
104,3679,588.564818578,588.564859119,409,1
105,3679,588.664820384,588.664864232,409,1
106,3679,588.764827151,588.764867076,409,1
107,3679,588.864819340,588.864858996,409,1
108,3679,588.964836916,588.964892803,413,1
109,3679,589.064833413,589.064873107,413,1
110,3679,589.164842450,589.164881336,413,1
111,3679,589.265031648,589.265095844,419,1
112,3679,589.364854215,589.364891793,419,1
113,3679,589.464851020,589.464893099,419,1
114,3679,589.564845505,589.564885737,419,1
115,3679,589.664860283,589.664900170,419,1
116,3679,589.764873139,589.764911910,419,1
117,3679,589.864985152,589.865025885,419,1
118,3679,589.964877387,589.964916504,419,1
119,3679,590.064866087,590.064929321,422,1
120,3679,590.164883404,590.164924214,422,1
121,3679,590.264877989,590.264930992,428,1
122,3679,590.364820957,590.364913653,428,1
123,3679,590.464904238,590.464944702,428,1
124,3679,590.565146977,590.565184402,428,1
125,3679,590.664952641,590.665185691,428,1
126,3679,590.764830117,590.764923121,428,1
127,3679,590.864826637,590.864916679,428,1
128,3679,590.965103592,590.965157479,430,1
129,3679,591.064999800,591.065040994,430,1
130,3679,591.165097132,591.165149326,438,1
131,3679,591.264938836,591.264980338,438,1
132,3679,591.364850044,591.364963704,438,1
133,3679,591.464835410,591.465029842,438,1
134,3679,591.564950000,591.564989694,438,1
