iter,PID,start,end,instance,activation
0,3381,541.919386325,541.920267303,60,1
1,3381,542.019384736,542.020071509,61,1
2,3381,542.119387493,542.120181812,62,1
3,3381,542.219381172,542.220185992,63,1
4,3381,542.319391276,542.319396969,63,0
5,3381,542.419387840,542.420212930,64,1
6,3381,542.519382095,542.520252611,65,1
7,3381,542.619390544,542.620213018,66,1
8,3381,542.719383760,542.720268084,67,1
9,3381,542.819384785,542.820198758,68,1
10,3381,542.919388425,542.920293866,69,1
11,3381,543.019391258,543.020204731,70,1
12,3381,543.119380474,543.120238643,71,1
13,3381,543.219377499,543.220146739,72,1
14,3381,543.319426411,543.320381278,73,1
15,3381,543.419344547,543.420362994,74,1
16,3381,543.519378726,543.520531951,75,1
17,3381,543.619379250,543.620177453,76,1
18,3381,543.719450393,543.720475726,77,1
19,3381,543.819384721,543.820500751,78,1
20,3381,543.919423093,543.920736712,79,1
21,3381,544.019410732,544.020194857,80,1
22,3381,544.119381638,544.119385754,80,0
23,3381,544.219376277,544.220260370,81,1
24,3381,544.319381109,544.319385725,81,0
25,3381,544.419375286,544.420158604,82,1
26,3381,544.519383925,544.520255209,83,1
27,3381,544.619380755,544.619384794,83,0
28,3381,544.719374701,544.720384532,84,1
29,3381,544.819384533,544.820886086,85,1
30,3381,544.919380440,544.919384210,85,0
31,3381,545.019377233,545.020726507,86,1
32,3381,545.119382602,545.119386564,86,0
33,3381,545.219376894,545.220155365,87,1
34,3381,545.319384110,545.319387957,87,0
35,3381,545.419376902,545.420375617,88,1
36,3381,545.519380618,545.519384503,88,0
37,3381,545.619375603,545.620265464,89,1
38,3381,545.719380164,545.719384472,89,0
39,3381,545.819377418,545.820153003,90,1
40,3381,545.919381902,545.919385403,90,0
41,3381,546.019376656,546.020383601,91,1
42,3381,546.119379794,546.120238923,92,1
43,3381,546.219382548,546.219386317,92,0
44,3381,546.319376417,546.320605183,93,1
45,3381,546.419377786,546.419381478,93,0
46,3381,546.519408772,546.520276055,94,1
47,3381,546.619379332,546.620306349,95,1
48,3381,546.719377393,546.720510692,96,1
49,3381,546.819384416,546.820317280,97,1
