ts,state,center_offset,res_t,instance
33995.975616885,Normal,-1.522661157316361,102.76699829101562,787
33996.296857236,Normal,-1.3573448345943635,102.9800033569336,790
33996.613844526,Normal,-1.0115671010862288,97.66999816894531,793
33996.891092918,Normal,-1.0893713783646053,113.47000122070312,795
33997.248261144,Normal,-1.1898777248104107,130.7100067138672,798
33997.533551371,Normal,-1.5530193173299534,138.5229949951172,802
33997.843141175,Normal,-2.1403198359123814,150.68299865722656,805
33998.595469209,Normal,-2.8598339112612843,310.98699951171875,810
33999.202699491,Normal,-4.256527340450194,399.77398681640625,818
33999.467087341,Normal,-4.713591093847657,157.343994140625,822
33999.815011821,Normal,-4.615801230555755,123.68199920654297,825
34000.831265672,Normal,-4.4160087182885,227.0260009765625,829
34001.28231362,Normal,-4.19641477930864,315.614990234375,840
34001.763452863,Normal,-3.989225112725526,140.2259979248047,843
34002.744390181,Normal,-3.438094384975495,442.1839904785156,851
34003.259383952,Normal,-3.067751130714489,295.135009765625,859
34004.188388137,Normal,-3.430770904621872,523.2639770507812,868
34004.35861061,Normal,-4.132108904663579,103.72599792480469,871
34004.73256484,Normal,-4.307495327913888,135.14599609375,874
34005.273110332,Normal,-4.811818990776772,269.90301513671875,879
34005.618792441,Normal,-5.066801160495645,112.97699737548828,883
34005.997378228,Normal,-4.963946212440258,129.9340057373047,887
34006.282954445,Normal,-4.721027112821958,97.94100189208984,890
34006.570850234,Normal,-4.601810513265408,134.51800537109375,892
34007.406344918,Normal,-4.3965998225901775,580.2849731445312,900
34007.588681711,Normal,-3.1039144640276453,111.96700286865234,903
34008.090112032,Normal,-2.5156233819870577,238.86500549316406,908
34008.503208887,Normal,-1.706946103425643,193.8249969482422,911
34009.67302584,Normal,-1.7084182743110616,312.7820129394531,916
34010.328942693,Normal,-1.705260683883845,536.3259887695312,930
34010.640222161,Normal,-1.7109181745483892,68.63099670410156,934
34010.899539111,Normal,-1.7109181745483892,126.71499633789062,936
34011.127973074,Normal,-1.7109181745483892,70.822998046875,939
34011.482128203,Normal,-1.7109181745483892,57.76300048828125,943
