ts,state,center_offset,res_t,instance
16704.125050273,Normal,-1.5242391544636293,26.075000762939453,496
16704.428859666,Normal,-1.5077201331812213,23.788000106811523,499
16704.629749451,Normal,-1.3508412193888666,20.97100067138672,501
16704.934349913,Normal,-1.0729119255558657,32.01300048828125,504
16705.231090172,Normal,-1.03888064762031,24.843000411987305,507
16705.427985735,Normal,-1.0023597158705075,33.08599853515625,509
16705.726304609,Normal,-0.9555312658411557,18.90399932861328,512
16706.032394596,Normal,-0.9222217737616062,25.645000457763672,515
16706.328352985,Normal,-0.9812410509146016,24.56599998474121,518
16706.532115065,Normal,-0.9686263469470607,21.577999114990234,520
16706.831621767,Normal,-0.7582829287277908,32.89400100708008,523
16707.0357746,Normal,-0.5693856338194729,26.854000091552734,525
16707.222088736,Normal,-0.48740947877529056,32.22700119018555,527
16707.432627763,Normal,-0.5138190342912572,19.11199951171875,529
16707.733093511,Normal,-0.2722443755158159,23.781999588012695,532
16708.032999689,Normal,-0.30142329040736027,16.167999267578125,535
16708.327920022,Normal,-0.33399700597460513,20.55500030517578,538
16708.623146535,Normal,-0.424155631814549,16.257999420166016,541
16708.931856872,Normal,-0.43035915233674554,21.729000091552734,544
16709.225156028,Normal,-0.6897202331380448,22.72599983215332,547
16709.532626788,Normal,-0.8711521107131659,24.031999588012695,550
16709.719122622,Normal,-0.9355025387458845,24.14699935913086,552
16710.021451331,Normal,-1.0005158669406493,30.235000610351562,555
16710.231846857,Normal,-0.9858828530814355,30.315000534057617,557
16710.526739625,Normal,-0.905981236008786,24.174999237060547,560
16710.836724727,Normal,-0.8515879285194187,25.006000518798828,563
16711.138247153,Normal,-0.9099329645638748,25.865999221801758,566
16711.433688531,Normal,-0.8020224435762404,30.77199935913086,569
16711.72203835,Normal,-0.7207808266040358,32.39400100708008,572
16712.029800555,Normal,-0.5477526814174437,17.06800079345703,575
16712.233062135,Normal,-0.47178490861832223,17.593000411987305,577
16712.523498435,Normal,-0.39126078259902614,15.930999755859375,580
16712.730106506,Normal,-0.3303876511009461,15.803999900817871,582
16712.928109541,Normal,-0.4362396130568619,14.567000389099121,584
16713.227807118,Normal,-0.477624329363569,21.773000717163086,587
16713.421280838,Normal,-0.5197114584074497,15.62399959564209,589
16713.720862201,Normal,-0.4236567006433369,14.53499984741211,592
16714.026268165,Normal,-0.35876594041241017,15.835000038146973,595
16714.234096096,Normal,-0.3805955858913751,16.107999801635742,597
16714.52551503,Normal,-0.3801578619468511,15.359999656677246,600
16714.826694026,Normal,-0.26215453457835997,16.691999435424805,603
16715.127503377,Normal,-0.32745228660065634,16.243999481201172,606
16715.327707725,Normal,-0.29496609974707466,15.977999687194824,608
16715.628941349,Normal,-0.3676193683689688,20.38599967956543,611
16715.822040634,Normal,-0.524871412824131,16.95599937438965,613
16716.126394111,Normal,-0.5734282867107273,23.19499969482422,616
16716.422744486,Normal,-0.39988123236781153,24.613000869750977,619
16716.627225032,Normal,-0.4391673940537922,16.80299949645996,621
16716.933598425,Normal,-0.20338387350033305,16.867000579833984,624
16717.230831867,Normal,-0.5053394898481602,22.854000091552734,627
16717.430383732,Normal,-0.40336583891053396,23.916000366210938,629
16717.73432497,Normal,-0.290688837074972,23.343000411987305,632
16718.019006788,Normal,-0.5442131935188639,15.147000312805176,635
16718.221898809,Normal,-0.46629282645136466,16.7549991607666,637
16718.427784491,Normal,-0.11289375536317323,16.42300033569336,639
16718.624441468,Normal,-0.35866976454672067,16.041000366210938,641
16718.927208063,Normal,-0.5296810360962536,23.493999481201172,644
16719.230567213,Normal,-0.6682828742381516,23.076000213623047,647
16719.421344935,Normal,-0.655149601236233,18.78700065612793,649
16719.728837675,Normal,-0.6505197921662325,17.31399917602539,652
16720.029079543,Normal,-0.7529475413333949,17.79400062561035,655
16720.228135442,Normal,-0.840948274271375,24.722999572753906,657
16720.432678522,Normal,-0.757305750671412,16.516000747680664,659
16720.624314683,Normal,-0.8615613733217187,27.32200050354004,661
16720.925654333,Normal,-0.6582415969839611,16.076000213623047,664
16721.230275618,Normal,-0.8991290229994755,16.113000869750977,667
16721.439174058,Normal,-0.8811106627433372,30.836000442504883,669
16721.746998544,Normal,-0.8726746243589298,23.621999740600586,672
16722.026132,Normal,-0.7331336849442986,18.760000228881836,675
16722.232057631,Normal,-0.6270510346056398,23.893999099731445,677
16722.430960827,Normal,-0.6224186693858061,22.43600082397461,679
16722.625278833,Normal,-0.42539628583239825,13.954000473022461,681
16722.931265596,Normal,-0.3847076812334272,13.779999732971191,684
16723.219793998,Normal,-0.31202563997209914,22.082000732421875,687
16723.428426761,Normal,-0.4967947262199964,13.618000030517578,689
16723.733126976,Normal,-0.5545051848269795,22.12700080871582,692
16723.926722666,Normal,-0.5432062223502204,19.42799949645996,694
16724.230796764,Normal,-0.42795560517418535,17.68199920654297,697
16724.529392649,Normal,-0.5604462507680877,24.177000045776367,700
16724.822970969,Normal,-0.39179586521554716,20.025999069213867,703
16725.041867753,Normal,-0.39381467722775626,23.7810001373291,705
16725.327305144,Normal,-0.6373146789459682,29.218000411987305,708
16725.647285629,Normal,-0.32117907777438237,26.033000946044922,711
16725.930574912,Normal,-0.6118594609875706,21.93199920654297,714
16726.138708306,Normal,-0.577769850372966,26.143999099731445,716
16726.438693241,Normal,-0.4205294282211404,32.792999267578125,719
16726.630522767,Normal,-0.36744659475902175,34.290000915527344,721
16726.947147668,Normal,-0.24616254792311507,22.41699981689453,724
16727.237413929,Normal,-0.18976301009416918,19.670000076293945,727
16727.536847542,Normal,-0.18768324379123502,34.34299850463867,730
16727.829440365,Normal,-0.2049634113689561,28.860000610351562,733
16728.133648137,Normal,-0.3559831456684428,25.548999786376953,736
16728.427221847,Normal,-0.24731558786295946,20.452999114990234,739
16728.631566226,Normal,-0.19490510511528497,20.5049991607666,741
16728.92676733,Normal,-0.09822932352409391,26.69300079345703,744
16729.128019757,Normal,-0.16538742394752648,15.98799991607666,746
16729.428915474,Normal,-0.27273430293969125,16.976999282836914,749
16729.728144065,Normal,-0.74919289905871,23.393999099731445,752
16730.032019434,Normal,-0.6416494369981187,29.006000518798828,755
16730.220756156,Normal,-0.7450167783345575,16.83099937438965,757
16730.537346559,Normal,-0.5973851354026101,24.17300033569336,760
16730.824112844,Normal,-0.5793271959782286,15.623000144958496,763
16731.030187867,Normal,-0.7322800010924806,22.089000701904297,765
16731.328033634,Normal,-0.8111208294699357,21.288000106811523,768
16731.523811567,Normal,0.7260061983206542,19.440000534057617,770
16731.822226298,Normal,0.9426881775009209,22.409000396728516,773
16732.127643484,Normal,0.766457435217381,15.404000282287598,776
16732.346252723,Normal,0.6881424271181029,22.97800064086914,778
16732.528438663,Normal,0.4576734643826302,22.13599967956543,780
16732.832174418,Normal,0.20450183373261016,31.944000244140625,783
16733.021450457,Normal,0.42662044020417195,21.658000946044922,785
16733.225760257,Normal,0.25933183375744345,16.180999755859375,787
16733.428700375,Normal,0.3106444913401822,14.538000106811523,789
16733.723034213,Normal,0.33105890714493535,21.55299949645996,792
16733.922492042,Normal,0.3256286228205367,15.357999801635742,794
16734.23046434,Normal,0.34204239503312817,22.783000946044922,797
16734.428245337,Normal,0.470774893128339,16.968000411987305,799
16734.623432628,Normal,0.40969500851243157,15.873000144958496,801
16734.820170589,Normal,0.20435263639111997,16.5049991607666,803
16735.020598872,Normal,0.4781265522850608,16.746000289916992,805
16735.326958415,Normal,0.44335651568461293,16.260000228881836,808
16735.523221024,Normal,0.304138126514908,18.514999389648438,810
16735.829887999,Normal,0.3046850833237465,16.07200050354004,813
16736.126016542,Normal,0.3473110997362479,15.925000190734863,816
16736.320880068,Normal,0.18270194306575063,17.16900062561035,818
16736.521323966,Normal,0.2920719089539418,17.323999404907227,820
16736.724086319,Normal,0.4221907151987114,17.518999099731445,822
16737.028418308,Normal,0.3633469416411806,16.854000091552734,825
16737.337054394,Normal,0.4673467663309542,23.974000930786133,828
16737.526083878,Normal,0.30923453882126434,19.395999908447266,830
16737.831769919,Normal,0.11370136322841315,33.584999084472656,833
16738.124135534,Normal,0.07655063683602165,17.799999237060547,836
16738.332181383,Normal,0.3168296072023549,19.485000610351562,838
16738.638196334,Normal,0.44895099955340373,20.844999313354492,841
16738.93385761,Normal,0.42653018650501184,23.41200065612793,844
