iter,PID,start,end,instance,activation
0,4489,404.819393421,404.819609180,0,1
1,4489,404.919398947,404.919640205,1,1
2,4489,405.019387162,405.019634535,2,1
3,4489,405.119398025,405.119643474,3,1
4,4489,405.219398195,405.219645645,4,1
5,4489,405.319399481,405.319647662,5,1
6,4489,405.419398613,405.419646525,6,1
7,4489,405.519399861,405.519644542,7,1
8,4489,405.619390148,405.619630751,8,1
9,4489,405.719402818,405.719650114,9,1
10,4489,405.819397988,405.819641592,10,1
11,4489,405.919399428,405.919648570,11,1
12,4489,406.019394326,406.019651506,12,1
13,4489,406.119397487,406.119650591,13,1
14,4489,406.219402572,406.219646406,14,1
15,4489,406.319402503,406.319656029,15,1
16,4489,406.419397780,406.419644730,16,1
17,4489,406.519398249,406.519645160,17,1
18,4489,406.619396680,406.619644706,18,1
19,4489,406.719400264,406.719648752,19,1
20,4489,406.819393042,406.819637530,20,1
21,4489,406.919394395,406.919641999,21,1
22,4489,407.019416167,407.019673847,22,1
23,4489,407.119418435,407.119668231,23,1
24,4489,407.219397666,407.219656846,24,1
25,4489,407.319396972,407.319651537,25,1
26,4489,407.419411547,407.419659112,26,1
27,4489,407.519399162,407.519654842,27,1
28,4489,407.619394276,407.619694262,28,1
29,4489,407.719407582,407.719654262,29,1
30,4489,407.820071626,407.820317499,30,1
31,4489,407.919422002,407.919673836,31,1
32,4489,408.019425573,408.019694907,32,1
33,4489,408.119394219,408.119638784,33,1
34,4489,408.219420592,408.219785613,34,1
35,4489,408.319400006,408.319737451,35,1
36,4489,408.419398496,408.419732595,36,1
37,4489,408.519403216,408.519717663,37,1
38,4489,408.619397245,408.619724921,38,1
39,4489,408.719402504,408.719754102,39,1
40,4489,408.819400340,408.819729286,40,1
41,4489,408.919400945,408.919743852,41,1
42,4489,409.019399008,409.019727608,42,1
43,4489,409.119399874,409.119803316,43,1
44,4489,409.219396509,409.219735108,44,1
45,4489,409.319401913,409.319790971,45,1
46,4489,409.419402317,409.419744109,46,1
47,4489,409.519399375,409.519747513,47,1
48,4489,409.619398087,409.619739110,48,1
49,4489,409.719400069,409.719742475,49,1
50,4489,409.819399934,409.819734457,50,1
51,4489,409.919398108,409.919739707,51,1
52,4489,410.019399585,410.019739646,52,1
53,4489,410.119400366,410.119743541,53,1
54,4489,410.219399684,410.219744976,54,1
55,4489,410.319401465,410.319738564,55,1
56,4489,410.419397091,410.419741498,56,1
57,4489,410.519400448,410.519735778,57,1
58,4489,410.619356846,410.619694176,58,1
59,4489,410.719399432,410.719751800,59,1
60,4489,410.819401366,410.819741157,60,1
61,4489,410.919399300,410.919784128,61,1
62,4489,411.019398885,411.019742753,62,1
63,4489,411.119401118,411.119736794,63,1
64,4489,411.219401467,411.219738258,64,1
65,4489,411.319400816,411.319789066,65,1
66,4489,411.419398626,411.419738148,66,1
67,4489,411.519401359,411.519746612,67,1
68,4489,411.619399131,411.619744999,68,1
69,4489,411.719399365,411.719764962,69,1
70,4489,411.819400444,411.819738966,70,1
71,4489,411.919399793,411.919739700,71,1
72,4489,412.019402676,412.019752852,72,1
73,4489,412.119399363,412.119750923,73,1
74,4489,412.219398973,412.219740533,74,1
75,4489,412.319398775,412.319741720,75,1
76,4489,412.419400308,412.419735330,76,1
77,4489,412.519399379,412.519753862,77,1
78,4489,412.619399373,412.619719319,78,1
79,4489,412.719400829,412.719729775,79,1
80,4489,412.819402977,412.819730846,80,1
81,4489,412.919400510,412.919777453,81,1
82,4489,413.019397693,413.019722255,82,1
83,4489,413.119397833,413.119727471,83,1
84,4489,413.219401550,413.219734342,84,1
85,4489,413.319398498,413.319732443,85,1
86,4489,413.419398292,413.419729237,86,1
87,4489,413.519398316,413.519729877,87,1
88,4489,413.619400610,413.619750862,88,1
89,4489,413.719402827,413.719741041,89,1
90,4489,413.819400621,413.819737451,90,1
91,4489,413.919397223,413.919732168,91,1
92,4489,414.019397898,414.019736612,92,1
93,4489,414.119399645,414.119735513,93,1
94,4489,414.219399084,414.219729684,94,1
95,4489,414.319394986,414.319772006,95,1
96,4489,414.419401579,414.419737140,96,1
97,4489,414.519400288,414.519733541,97,1
98,4489,414.619396805,414.619735788,98,1
99,4489,414.719400167,414.719737728,99,1
100,4489,414.819397415,414.819735668,100,1
101,4489,414.919399739,414.919732415,101,1
102,4489,415.019400252,415.019738043,102,1
103,4489,415.119398222,415.119736321,103,1
104,4489,415.219399577,415.219737638,104,1
105,4489,415.319398009,415.319731608,105,1
106,4489,415.419397864,415.419734809,106,1
107,4489,415.519402064,415.519738856,107,1
108,4489,415.619401150,415.619736711,108,1
109,4489,415.719399659,415.719743296,109,1
110,4489,415.819398898,415.819735190,110,1
111,4489,415.919398791,415.919736660,111,1
112,4489,416.019399720,416.019741165,112,1
113,4489,416.119398605,416.119739704,113,1
114,4489,416.219397683,416.219731128,114,1
115,4489,416.319397876,416.319732822,115,1
116,4489,416.419396223,416.419731438,116,1
117,4489,416.519397647,416.519736554,117,1
118,4489,416.619400033,416.619746208,118,1
119,4489,416.719395418,416.719722325,119,1
120,4489,416.819401957,416.819731557,120,1
121,4489,416.919398458,416.919731250,121,1
122,4489,417.019398956,417.019747785,122,1
123,4489,417.119389796,417.119728356,123,1
124,4489,417.219397827,417.219728965,124,1
125,4489,417.319399512,417.319732035,125,1
126,4489,417.419396890,417.419720374,126,1
127,4489,417.519395922,417.519725137,127,1
128,4489,417.619398761,417.619773358,128,1
129,4489,417.719399331,417.719731815,129,1
130,4489,417.819401170,417.819777075,130,1
131,4489,417.919400471,417.919732224,131,1
132,4489,418.019401461,418.019737906,132,1
133,4489,418.119401062,418.119736469,133,1
134,4489,418.219397817,418.219733147,134,1
135,4489,418.319398957,418.319727364,135,1
136,4489,418.419394442,418.419731503,136,1
137,4489,418.519399659,418.519732758,137,1
138,4489,418.619401490,418.619732628,138,1
139,4489,418.719401245,418.719737883,139,1
140,4489,418.819401038,418.819734714,140,1
141,4489,418.919400409,418.919735046,141,1
142,4489,419.019403699,419.019743451,142,1
143,4489,419.119399831,419.119737737,143,1
144,4489,419.219399963,419.219735639,144,1
145,4489,419.319399787,419.319744963,145,1
146,4489,419.419399996,419.419738249,146,1
147,4489,419.519398821,419.519745919,147,1
148,4489,419.619398683,419.619729590,148,1
149,4489,419.719401584,419.719734568,149,1
150,4489,419.819399524,419.819729008,150,1
151,4489,419.919399503,419.919733217,151,1
152,4489,420.019400785,420.019732346,152,1
153,4489,420.119399410,420.119729971,153,1
154,4489,420.219400958,420.219742749,154,1
155,4489,420.319398544,420.319735143,155,1
156,4489,420.419401669,420.419735691,156,1
157,4489,420.519397293,420.519733854,157,1
158,4489,420.619399918,420.619734748,158,1
159,4489,420.719402081,420.719738757,159,1
160,4489,420.819400014,420.819734036,160,1
161,4489,420.919399100,420.919730738,161,1
162,4489,421.019397645,421.019732167,162,1
163,4489,421.119400339,421.119737553,163,1
164,4489,421.219402649,421.219736171,164,1
165,4489,421.319399459,421.319733327,165,1
166,4489,421.419399461,421.419733906,166,1
167,4489,421.519397540,421.519730408,167,1
168,4489,421.619400273,421.619733718,168,1
169,4489,421.719400044,421.719741681,169,1
170,4489,421.819403315,421.819736107,170,1
171,4489,421.919398279,421.919733724,171,1
172,4489,422.019402816,422.019741031,172,1
173,4489,422.119401158,422.119737180,173,1
174,4489,422.219400999,422.219732444,174,1
175,4489,422.319390571,422.319728439,175,1
176,4489,422.419400335,422.419729011,176,1
177,4489,422.519395407,422.519724699,177,1
178,4489,422.619400825,422.619734732,178,1
179,4489,422.719398282,422.719726612,179,1
180,4489,422.819400431,422.819745029,180,1
181,4489,422.919398349,422.919737371,181,1
182,4489,423.019402302,423.019744593,182,1
183,4489,423.119400406,423.119733543,183,1
184,4489,423.219399471,423.219736185,184,1
185,4489,423.319399151,423.319732904,185,1
186,4489,423.419397216,423.419725700,186,1
187,4489,423.519400319,423.519737034,187,1
188,4489,423.619398077,423.619729253,188,1
189,4489,423.719401334,423.719733856,189,1
190,4489,423.819401937,423.819739382,190,1
191,4489,423.919402579,423.919737524,191,1
192,4489,424.019400949,424.019738663,192,1
193,4489,424.119401046,424.119737452,193,1
194,4489,424.219399527,424.219730934,194,1
195,4489,424.319400739,424.319735607,195,1
196,4489,424.419400912,424.419735204,196,1
197,4489,424.519401201,424.519737108,197,1
198,4489,424.619399721,424.619737358,198,1
199,4489,424.719400510,424.719732916,199,1
200,4489,424.819400568,424.819761204,200,1
201,4489,424.919399510,424.919743917,201,1
202,4489,425.019395374,425.019749779,202,1
203,4489,425.119399271,425.119734254,203,1
204,4489,425.219398668,425.219732921,204,1
205,4489,425.319399912,425.319775240,205,1
206,4489,425.419401040,425.419734485,206,1
207,4489,425.519395630,425.519730729,207,1
208,4489,425.619397797,425.619733742,208,1
209,4489,425.719399771,425.719750062,209,1
210,4489,425.819397630,425.819740690,210,1
211,4489,425.919401181,425.919777740,211,1
212,4489,426.019399499,426.019736944,212,1
213,4489,426.119402236,426.119729105,213,1
214,4489,426.219400589,426.219739649,214,1
215,4489,426.319401826,426.319734463,215,1
216,4489,426.419402486,426.419740546,216,1
217,4489,426.519400492,426.519735937,217,1
218,4489,426.619397806,426.619726328,218,1
219,4489,426.719393274,426.719722719,219,1
220,4489,426.819392588,426.819717380,220,1
221,4489,426.919399171,426.919725308,221,1
222,4489,427.019400251,427.019731581,222,1
223,4489,427.119398981,427.119730427,223,1
224,4489,427.219392558,427.219728042,224,1
225,4489,427.319394135,427.319720234,225,1
226,4489,427.419394519,427.419741002,226,1
227,4489,427.519403903,427.519737271,227,1
228,4489,427.619422132,427.619745732,228,1
229,4489,427.719405671,427.719800575,229,1
230,4489,427.819395095,427.819729732,230,1
231,4489,427.919402786,427.919728309,231,1
232,4489,428.019400052,428.019736343,232,1
233,4489,428.119404661,428.119736452,233,1
234,4489,428.219392424,428.219712100,234,1
235,4489,428.319406647,428.319737669,235,1
236,4489,428.419421139,428.419753969,236,1
237,4489,428.519401595,428.519727079,237,1
238,4489,428.619401511,428.619724996,238,1
239,4489,428.719406274,428.719742526,239,1
240,4489,428.819397037,428.819746981,240,1
241,4489,428.919409298,428.919742282,241,1
242,4489,429.019400828,429.019717581,242,1
243,4489,429.119416775,429.119743182,243,1
244,4489,429.219401878,429.219730362,244,1
245,4489,429.319406326,429.319750156,245,1
246,4489,429.419407467,429.419742758,246,1
247,4489,429.519409415,429.519749052,247,1
248,4489,429.619405787,429.619744424,248,1
249,4489,429.719399543,429.720204004,249,1
250,4489,429.819406530,429.819746667,250,1
251,4489,429.919400363,429.919749115,251,1
252,4489,430.019408232,430.019738831,252,1
253,4489,430.119402866,430.119741657,253,1
254,4489,430.219405962,430.219727177,254,1
