iter,PID,start,end,instance,activation
0,4856,430.980185707,430.981881892,0,0
1,4856,430.990265862,430.992331836,0,0
2,4856,431.000261482,431.002215001,0,0
3,4856,431.010266487,431.012280195,0,0
4,4856,431.020271646,431.022553033,0,0
5,4856,431.030265921,431.032311973,0,0
6,4856,431.048044618,431.050797828,0,0
7,4856,431.050827672,431.052357404,0,0
8,4856,431.060328664,431.066484744,0,0
9,4856,431.070257903,431.072421565,0,0
10,4856,431.080270831,431.090154149,0,0
11,4856,431.092034825,431.098299285,0,0
12,4856,431.100256919,431.103096432,0,0
13,4856,431.110323420,431.117034973,0,1
14,4856,431.120354386,431.120955625,0,1
15,4856,431.130265241,431.130889980,0,1
16,4856,431.140268285,431.140968865,0,1
17,4856,431.150258598,431.151214628,0,1
18,4856,431.160258642,431.161090024,0,1
19,4856,431.170282761,431.170864771,0,1
20,4856,431.180270151,431.180773049,0,1
21,4856,431.190379536,431.190872357,0,1
22,4856,431.200271815,431.200879593,0,1
23,4856,431.210246091,431.210884482,0,1
24,4856,431.220396396,431.220917217,0,1
25,4856,431.230255255,431.231317625,0,1
26,4856,431.248271902,431.248755455,0,1
27,4856,431.250271803,431.250573595,0,1
28,4856,431.260254578,431.260755322,0,1
29,4856,431.270259813,431.270736059,0,1
30,4856,431.280268472,431.280849174,0,1
31,4856,431.290264516,431.290805220,0,1
32,4856,431.300267867,431.300847454,0,1
33,4856,431.310267872,431.310814230,0,1
34,4856,431.320268646,431.320835388,0,1
35,4856,431.330272497,431.330834931,0,1
36,4856,431.340264618,431.340837436,0,1
37,4856,431.350259316,431.350737139,0,1
38,4856,431.360256898,431.360738682,0,1
39,4856,431.370304901,431.370782108,0,1
40,4856,431.380267216,431.380804804,0,1
41,4856,431.390268336,431.390782734,0,1
42,4856,431.400269726,431.400815122,0,1
43,4856,431.410269616,431.410815358,0,1
44,4856,431.420291120,431.420791633,0,1
45,4856,431.430380967,431.430919324,0,1
46,4856,431.440436623,431.440985519,0,1
47,4856,431.450472280,431.451110941,0,1
48,4856,431.460492092,431.461187096,0,1
49,4856,431.470601438,431.471222061,0,1
50,4856,431.480270113,431.480755051,0,1
51,4856,431.490265465,431.491069771,0,1
52,4856,431.500267700,431.500803328,0,1
53,4856,431.510265398,431.510849138,0,1
54,4856,431.520276326,431.520821029,0,1
55,4856,431.530267831,431.530797843,0,1
56,4856,431.548056105,431.548542235,0,1
57,4856,431.550270111,431.550650207,0,1
58,4856,431.560266001,431.560747631,0,1
59,4856,431.570259583,431.570734290,0,1
60,4856,431.580263549,431.580651069,0,1
61,4856,431.590266285,431.590773952,0,1
62,4856,431.600272675,431.600814494,0,1
63,4856,431.610262988,431.610831960,0,1
