iter,PID,start,end,instance,activation
0,4825,428.836333279,428.837176122,0,1
1,4825,428.876490568,428.876607755,0,1
2,4825,428.916412908,428.916546863,0,1
3,4825,428.956405590,428.956526392,0,1
4,4825,428.996416078,428.996841018,0,1
5,4825,429.037077801,429.037216025,0,1
6,4825,429.076413090,429.076534815,0,1
7,4825,429.116507650,429.116643335,0,1
8,4825,429.156407488,429.156540481,0,1
9,4825,429.196412128,429.196545122,0,1
10,4825,429.236841594,429.236975549,0,1
11,4825,429.276410872,429.276538904,0,1
12,4825,429.316413666,429.316556813,0,1
13,4825,429.356406077,429.356537801,0,1
14,4825,429.396416140,429.396561826,0,1
15,4825,429.436418435,429.436561236,0,1
16,4825,429.476405230,429.476554338,0,1
17,4825,429.516416871,429.516589170,0,1
18,4825,429.556403205,429.556561812,0,1
19,4825,429.596414076,429.596560492,0,1
20,4825,429.636842772,429.636978804,0,1
21,4825,429.676570619,429.676690075,0,1
22,4825,429.716409306,429.724953308,0,1
23,4825,429.756406409,429.756472713,0,1
24,4825,429.797263200,429.797331081,0,1
25,4825,429.836410614,429.836485764,0,1
26,4825,429.876415870,429.876483905,0,1
27,4825,429.916412818,429.916478007,0,1
28,4825,429.956429458,429.956490225,0,1
29,4825,429.996418483,429.996484595,0,1
30,4825,430.036403430,430.036461696,0,1
31,4825,430.076415799,430.076476949,0,1
32,4825,430.116413860,430.116478126,0,1
33,4825,430.156430613,430.156478918,0,1
34,4825,430.196419444,430.196486133,0,1
35,4825,430.236853561,430.236917481,0,1
36,4825,430.276405260,430.276457719,0,1
37,4825,430.316415514,430.316491394,0,1
38,4825,430.356410229,430.356458496,0,1
39,4825,430.396417021,430.396480133,0,1
40,4825,430.436858176,430.436919827,0,1
41,4825,430.476407298,430.476460834,0,1
42,4825,430.516413744,430.516484048,0,1
43,4825,430.561761426,430.561809270,0,1
44,4825,430.596418905,430.596484633,0,1
45,4825,430.636847907,430.636915058,0,1
46,4825,430.676419182,430.676476064,0,1
47,4825,430.716409513,430.716471895,0,1
48,4825,430.756414344,430.756470302,0,1
49,4825,430.796506593,430.796567474,0,1
50,4825,430.836407505,430.836461849,0,1
51,4825,430.876447719,430.876491024,0,1
52,4825,430.916424281,430.916492355,0,1
53,4825,430.956406997,430.956465110,0,1
54,4825,430.996414750,430.996482246,0,1
55,4825,431.036403617,431.036470306,0,1
56,4825,431.076413791,431.076466827,0,1
57,4825,431.116410350,431.116472501,0,1
58,4825,431.156661666,431.156718317,0,1
59,4825,431.196409776,431.196467042,0,1
60,4825,431.236403066,431.236458755,0,1
61,4825,431.276413701,431.276476275,0,1
62,4825,431.316416952,431.316487564,0,1
63,4825,431.356407358,431.356461394,0,1
64,4825,431.396419109,431.396483490,0,1
65,4825,431.436405207,431.436468396,0,1
66,4825,431.476411227,431.476470724,0,1
67,4825,431.516408132,431.516475591,0,1
68,4825,431.556408307,431.556468188,0,1
69,4825,431.596410558,431.596475401,0,1
70,4825,431.636483883,431.636552072,0,1
71,4825,431.676408907,431.676471404,0,1
72,4825,431.716416350,431.716485154,0,1
