iter,PID,start,end,instance,activation
0,4848,428.942125179,428.954784862,0,0
1,4848,428.954840667,428.974040451,0,0
2,4848,428.974065604,428.992066831,0,0
3,4848,428.992083984,429.006737799,0,0
4,4848,429.006762798,429.017590686,0,0
5,4848,429.017620762,429.029116540,0,0
6,4848,429.029144116,429.041549388,0,0
7,4848,429.041568195,429.050407297,0,0
8,4848,429.050433911,429.071636403,0,0
9,4848,429.071667325,429.090187103,0,0
10,4848,429.090212948,429.103672322,0,0
11,4848,429.103694205,429.113266040,0,0
12,4848,429.113773208,429.121274261,0,0
13,4848,429.123761022,429.127912125,0,0
14,4848,429.133772259,429.137877979,0,0
15,4848,429.143771458,429.147672034,0,0
16,4848,429.153771426,429.158280280,0,0
17,4848,429.163904079,429.168802376,0,0
18,4848,429.173855357,429.178172567,0,0
19,4848,429.183805328,429.187597602,0,0
20,4848,429.193889291,429.197734717,0,0
21,4848,429.203733152,429.207660189,0,0
22,4848,429.213767656,429.217292482,0,0
23,4848,429.223780547,429.227764158,0,0
24,4848,429.233771438,429.237362338,0,0
25,4848,429.243772291,429.250003252,0,0
26,4848,429.253772143,429.258967464,0,0
27,4848,429.263769611,429.271489499,0,0
28,4848,429.273774694,429.280879344,0,0
29,4848,429.283767316,429.290217075,0,0
30,4848,429.293759823,429.298141991,0,0
31,4848,429.303761714,429.308998917,0,0
32,4848,429.313772143,429.318825432,0,0
33,4848,429.323764265,429.328600950,0,0
34,4848,429.333763964,429.339155736,0,0
35,4848,429.345427427,429.349966164,0,0
36,4848,429.353777245,429.358569086,0,0
37,4848,429.363807712,429.371828893,0,0
38,4848,429.373762182,429.378962194,0,0
39,4848,429.383776995,429.388809593,0,0
40,4848,429.393767925,429.397567430,0,0
41,4848,429.403774854,429.408246287,0,0
42,4848,429.413764669,429.417627863,0,0
43,4848,429.423776059,429.428656280,0,0
44,4848,429.433762951,429.437417617,0,0
45,4848,429.443777572,429.448694944,0,0
46,4848,429.453791462,429.458344891,0,0
47,4848,429.463775892,429.469253968,0,0
48,4848,429.473777437,429.479263205,0,0
49,4848,429.483827787,429.490840403,0,0
50,4848,429.493777334,429.498581482,0,0
51,4848,429.503770880,429.508444380,0,0
52,4848,429.513765694,429.519032472,0,0
53,4848,429.523776046,429.528820989,0,0
54,4848,429.533774514,429.538920145,0,0
55,4848,429.543772597,429.549929755,0,0
56,4848,429.553766566,429.560304281,0,0
57,4848,429.563766687,429.568182739,0,0
58,4848,429.573777193,429.579397800,0,0
59,4848,429.583782238,429.588300515,0,0
60,4848,429.593768783,429.597265265,0,0
61,4848,429.603779828,429.608439905,0,0
62,4848,429.613805371,429.617298929,0,0
63,4848,429.623766533,429.627983941,0,0
64,4848,429.633765578,429.638819213,0,0
65,4848,429.643766238,429.647366984,0,0
66,4848,429.653770629,429.659511384,0,0
67,4848,429.663776520,429.669464854,0,0
68,4848,429.673769757,429.679628007,0,0
69,4848,429.683765110,429.690120296,0,0
70,4848,429.693776885,429.697375323,0,0
71,4848,429.703773276,429.708329898,0,0
72,4848,429.713763706,429.718337365,0,0
73,4848,429.724121849,429.727772322,0,1
74,4848,429.733772026,429.736328631,0,1
75,4848,429.743775725,429.746466053,0,1
76,4848,429.753848228,429.756486674,0,1
77,4848,429.763995188,429.768148406,0,1
78,4848,429.773796089,429.777809045,0,1
79,4848,429.783766520,429.786437696,0,1
80,4848,429.793774026,429.796368513,0,1
81,4848,429.803772379,429.806421017,0,1
82,4848,429.813789346,429.818749562,0,1
83,4848,429.823766545,429.828589346,0,1
84,4848,429.833783166,429.839960208,0,1
85,4848,429.843776019,429.846497077,0,1
86,4848,429.853774526,429.856816299,0,1
87,4848,429.863767609,429.867845985,0,1
88,4848,429.873774500,429.878437693,0,1
89,4848,429.883885424,429.887520514,0,1
90,4848,429.893768013,429.896317464,0,1
91,4848,429.903771673,429.906356430,0,1
92,4848,429.913769872,429.916195983,0,1
93,4848,429.923778993,429.926108301,0,1
94,4848,429.933772385,429.936371679,0,1
95,4848,429.943795774,429.946485257,0,1
96,4848,429.953764552,429.956976047,0,1
97,4848,429.963765673,429.966624724,0,1
98,4848,429.973792217,429.976154216,0,1
99,4848,429.983773724,429.986040573,0,1
100,4848,429.993774499,429.996064924,0,1
101,4848,430.003772927,430.005895015,0,1
102,4848,430.013778356,430.016174699,0,1
103,4848,430.023785131,430.026157552,0,1
104,4848,430.033822096,430.036123252,0,1
105,4848,430.043781988,430.046123065,0,1
106,4848,430.053765533,430.057138482,0,1
107,4848,430.063765193,430.068467230,0,1
108,4848,430.073765853,430.078709916,0,1
109,4848,430.083769358,430.086429688,0,1
110,4848,430.093772979,430.096034560,0,1
111,4848,430.103775792,430.106069987,0,1
112,4848,430.113770952,430.116021803,0,1
113,4848,430.123773804,430.126011847,0,1
114,4848,430.133775617,430.135935818,0,1
115,4848,430.143769854,430.146105047,0,1
116,4848,430.153765706,430.157303032,0,1
117,4848,430.163767943,430.169060604,0,1
118,4848,430.173764410,430.176531773,0,1
119,4848,430.183775646,430.186355749,0,1
120,4848,430.193768537,430.196309950,0,1
121,4848,430.203774004,430.206179116,0,1
122,4848,430.213727281,430.216041859,0,1
123,4848,430.223772477,430.226142860,0,1
124,4848,430.233773637,430.236031602,0,1
125,4848,430.243774373,430.246006647,0,1
126,4848,430.253773648,430.256389327,0,1
127,4848,430.263786692,430.266229802,0,1
128,4848,430.273770275,430.277716965,0,1
129,4848,430.283766973,430.286947316,0,1
130,4848,430.293791439,430.296067827,0,1
131,4848,430.303774485,430.306075794,0,1
132,4848,430.313774721,430.316132220,0,1
133,4848,430.323774650,430.325995886,0,1
134,4848,430.333771963,430.335977239,0,1
135,4848,430.343803737,430.346826818,0,1
136,4848,430.364102772,430.367115931,0,1
137,4848,430.367143660,430.369409317,0,1
138,4848,430.373773140,430.376540427,0,1
139,4848,430.383773261,430.386256062,0,1
140,4848,430.393767767,430.396131189,0,1
141,4848,430.403775504,430.406143810,0,1
142,4848,430.413775202,430.416077511,0,1
143,4848,430.423777323,430.426229701,0,1
144,4848,430.433773175,430.436123059,0,1
145,4848,430.443774104,430.446256750,0,1
146,4848,430.455727936,430.458287271,0,1
147,4848,430.463861957,430.466587553,0,1
148,4848,430.473923267,430.478281552,0,1
149,4848,430.484020730,430.487081155,0,1
150,4848,430.493817592,430.496105825,0,1
151,4848,430.503774100,430.506161289,0,1
152,4848,430.513771529,430.516197062,0,1
153,4848,430.523774073,430.526212529,0,1
154,4848,430.533776040,430.536309568,0,1
155,4848,430.543776699,430.546658326,0,1
156,4848,430.561850498,430.565808380,0,1
157,4848,430.565838801,430.567852433,0,1
158,4848,430.573781293,430.577048940,0,1
159,4848,430.583768184,430.586062763,0,1
160,4848,430.593773767,430.596281220,0,1
161,4848,430.603777465,430.606039584,0,1
162,4848,430.613778663,430.616230003,0,1
163,4848,430.623777399,430.626230124,0,1
164,4848,430.633815480,430.636143942,0,1
165,4848,430.643765988,430.646405089,0,1
166,4848,430.653780993,430.658663560,0,1
167,4848,430.663763807,430.668380156,0,1
168,4848,430.674850490,430.678520924,0,1
169,4848,430.683844738,430.686816168,0,1
170,4848,430.693773132,430.696280854,0,1
171,4848,430.703774638,430.706582383,0,1
172,4848,430.713862216,430.716674192,0,1
173,4848,430.723761611,430.726718388,0,1
174,4848,430.733775001,430.736549249,0,1
