iter,PID,start,end,instance,activation
0,4962,434.701274983,434.701280176,0,0
1,4962,434.734683324,434.734973848,298,0
2,4962,434.768282271,434.768433917,298,0
3,4962,434.801359974,434.801546234,298,0
4,4962,434.834688511,434.834846080,299,0
5,4962,434.868052623,434.868207693,299,0
6,4962,434.901355469,434.902119778,299,1
7,4962,434.934693314,434.934848229,300,0
8,4962,434.968054618,434.968217418,300,0
9,4962,435.001364386,435.002094042,300,1
10,4962,435.034699151,435.034858682,301,0
11,4962,435.068087106,435.068251714,301,0
12,4962,435.101359683,435.102168758,301,1
13,4962,435.134693641,435.134852056,302,0
14,4962,435.168045367,435.168196859,302,0
15,4962,435.201384517,435.202139056,302,1
16,4962,435.234695553,435.234855814,303,0
17,4962,435.268039164,435.268197079,303,0
18,4962,435.301358854,435.302089394,303,1
19,4962,435.334692696,435.334812729,304,0
20,4962,435.368043538,435.368239105,304,0
21,4962,435.401354805,435.402036194,304,1
22,4962,435.434683724,435.434846947,305,0
23,4962,435.468057026,435.468171713,305,0
24,4962,435.501356486,435.502053105,305,1
25,4962,435.534692982,435.534897126,306,0
26,4962,435.568061477,435.568230507,306,0
27,4962,435.601346783,435.602255354,306,1
28,4962,435.634692510,435.634908730,307,0
29,4962,435.668022776,435.668135309,307,0
30,4962,435.701364349,435.702287457,307,1
31,4962,435.734699922,435.734897681,308,0
32,4962,435.768040495,435.768195256,308,0
33,4962,435.801355223,435.802374711,308,1
34,4962,435.834747101,435.834915862,309,0
35,4962,435.868036561,435.868208860,309,0
36,4962,435.901360981,435.902075023,309,1
37,4962,435.934696093,435.934899506,310,0
38,4962,435.968119969,435.968322805,310,0
39,4962,436.001362853,436.002048319,310,1
40,4962,436.034699194,436.034855994,311,0
41,4962,436.068038919,436.068153029,311,0
42,4962,436.101362491,436.102191603,311,1
43,4962,436.134693755,436.134896629,312,0
44,4962,436.168048556,436.168266430,312,0
45,4962,436.201355321,436.202170242,312,1
46,4962,436.234698507,436.234866383,313,0
47,4962,436.268042270,436.268172033,313,0
48,4962,436.301363612,436.302032655,313,1
49,4962,436.334699875,436.334897481,314,0
50,4962,436.368052753,436.368206438,314,0
51,4962,436.401359326,436.402019678,314,1
52,4962,436.434693513,436.434813238,315,0
53,4962,436.468035046,436.468225728,315,0
54,4962,436.501358156,436.502291225,315,1
55,4962,436.534695073,436.534855373,316,0
56,4962,436.568054182,436.568206982,316,0
57,4962,436.601357216,436.602032837,316,1
58,4962,436.634694865,436.634817205,317,0
59,4962,436.668041358,436.668233310,317,0
60,4962,436.701351200,436.701996476,317,1
61,4962,436.734693079,436.734863186,318,0
62,4962,436.768041919,436.768295368,318,0
63,4962,436.801360953,436.802023497,318,1
64,4962,436.834697678,436.834818518,319,0
65,4962,436.868039287,436.868278160,319,0
66,4962,436.901611731,436.902290467,319,1
67,4962,436.934698315,436.934862538,320,0
68,4962,436.968034271,436.968186340,320,0
69,4962,437.001363687,437.002037154,320,1
70,4962,437.034698026,437.034815059,321,0
71,4962,437.068061325,437.068251585,321,0
72,4962,437.101363396,437.102067861,321,1
73,4962,437.134697196,437.134853573,322,0
74,4962,437.168039496,437.168187950,322,0
75,4962,437.201365489,437.202090299,322,1
76,4962,437.234693751,437.234808592,323,0
77,4962,437.268044820,437.268229157,323,0
78,4962,437.301353122,437.302181427,323,1
79,4962,437.334695229,437.334859990,324,0
80,4962,437.368025299,437.368236327,324,0
81,4962,437.401360561,437.402009144,324,1
82,4962,437.434691861,437.434811317,325,0
83,4962,437.468069659,437.468255458,325,0
84,4962,437.501362692,437.502098502,325,1
85,4962,437.534690570,437.534845293,326,0
86,4962,437.568034485,437.568175324,326,0
87,4962,437.601367209,437.602114864,326,1
88,4962,437.634686663,437.634800850,327,0
89,4962,437.668034078,437.668210531,327,0
90,4962,437.701352841,437.702092304,327,1
91,4962,437.734698756,437.734854248,328,0
92,4962,437.768043210,437.768184895,328,0
93,4962,437.801362203,437.802258812,328,1
94,4962,437.834695619,437.834807690,329,0
95,4962,437.868021573,437.868196988,329,0
96,4962,437.901444523,437.902119220,329,1
97,4962,437.934711173,437.934886433,330,0
98,4962,437.968041012,437.968177313,330,0
99,4962,438.001382003,438.002211154,330,1
100,4962,438.034691726,438.034867986,331,0
101,4962,438.068060599,438.068241475,331,0
102,4962,438.101361630,438.102018674,331,1
103,4962,438.134691544,438.134847113,332,0
104,4962,438.168048918,438.168185835,332,0
105,4962,438.201357372,438.202253789,332,1
106,4962,438.234694632,438.234807588,333,0
107,4962,438.268032469,438.268200306,333,0
108,4962,438.301796169,438.302748467,333,1
109,4962,438.334697796,438.334839712,334,0
110,4962,438.368030326,438.368168973,334,0
111,4962,438.402121471,438.402884741,334,1
112,4962,438.434696423,438.434848992,335,0
113,4962,438.468045451,438.468211674,335,0
114,4962,438.501492321,438.502808025,335,1
115,4962,438.534700779,438.534874540,336,0
116,4962,438.568035424,438.568166533,336,0
117,4962,438.601365607,438.602332328,336,1
118,4962,438.634698752,438.634803131,337,0
119,4962,438.668065587,438.668233464,337,0
120,4962,438.701331581,438.702030470,337,1
121,4962,438.734688725,438.734820718,338,0
122,4962,438.768056214,438.768186669,338,0
123,4962,438.801356399,438.802029827,338,1
124,4962,438.834694928,438.834791115,339,0
125,4962,438.868057033,438.868212986,339,0
126,4962,438.901359525,438.901999224,339,1
127,4962,438.934688862,438.934830586,340,0
128,4962,438.968089811,438.968216343,340,0
129,4962,439.001359804,439.001985580,340,1
130,4962,439.034688408,439.034790519,341,0
131,4962,439.068056742,439.068690210,341,1
132,4962,439.101363694,439.101520724,341,0
133,4962,439.134689452,439.134817907,342,0
134,4962,439.168053170,439.168176280,342,0
135,4962,439.201356276,439.201976591,342,1
136,4962,439.234695842,439.234792991,343,0
137,4962,439.268060175,439.268739565,343,1
138,4962,439.301348474,439.301484121,343,0
139,4962,439.334800188,439.334894645,344,0
140,4962,439.368052143,439.368198020,344,0
141,4962,439.401355710,439.402021677,344,1
142,4962,439.434693930,439.434790002,345,0
143,4962,439.468041995,439.468193026,345,0
144,4962,439.501365100,439.501974877,345,1
145,4962,439.534698820,439.534797276,346,0
146,4962,439.568052538,439.568197300,346,0
147,4962,439.601362759,439.602039418,346,1
148,4962,439.634694248,439.634788513,347,0
149,4962,439.668041506,439.668186922,347,0
150,4962,439.701362111,439.702020578,347,1
151,4962,439.734693908,439.734793787,348,0
152,4962,439.768019436,439.768156313,348,0
153,4962,439.801360501,439.802073812,348,1
154,4962,439.834696990,439.834789062,349,0
155,4962,439.868026402,439.868164934,349,0
156,4962,439.901363545,439.901971976,349,1
157,4962,439.934687380,439.934775991,350,0
158,4962,439.968040099,439.968178285,350,0
159,4962,440.001353319,440.002531529,350,1
160,4962,440.034693690,440.034784686,351,0
161,4962,440.067986795,440.068145902,351,0
162,4962,440.101353126,440.102007171,351,1
163,4962,440.134690344,440.134777340,352,0
164,4962,440.168032523,440.168163286,352,0
165,4962,440.201354934,440.201967788,352,1
166,4962,440.234696267,440.234781301,353,0
167,4962,440.268024293,440.268151364,353,0
168,4962,440.301353281,440.301970134,353,1
169,4962,440.334842952,440.334927371,354,0
170,4962,440.368057753,440.368190977,354,0
171,4962,440.401372626,440.402224237,354,1
172,4962,440.434693729,440.434775879,355,0
173,4962,440.468034639,440.468163248,355,0
174,4962,440.501353550,440.502074783,355,1
175,4962,440.534690614,440.534779917,356,0
176,4962,440.568330009,440.568522769,356,0
177,4962,440.601363896,440.601967827,356,1
178,4962,440.634694498,440.634778879,357,0
179,4962,440.668035255,440.668205169,357,0
180,4962,440.701358204,440.701983942,357,1
181,4962,440.734695191,440.734777841,358,0
182,4962,440.768041754,440.768223784,358,0
183,4962,440.801367319,440.802000518,358,1
184,4962,440.834696268,440.834780533,359,0
185,4962,440.868047639,440.868173286,359,0
186,4962,440.901357435,440.902286542,359,1
187,4962,440.934701037,440.934783417,360,0
188,4962,440.968037255,440.968155710,360,0
189,4962,441.001361280,441.001976826,360,1
190,4962,441.034691996,441.034768915,361,0
191,4962,441.068043827,441.068164282,361,0
192,4962,441.101359236,441.102306343,361,1
193,4962,441.134699798,441.134822984,362,0
194,4962,441.168033091,441.168227543,362,0
195,4962,441.201357385,441.202283646,362,1
196,4962,441.234695524,441.234854478,363,0
197,4962,441.268032855,441.268186463,363,0
198,4962,441.301357649,441.302056152,363,1
199,4962,441.334695750,441.334820013,364,0
200,4962,441.368037427,441.368226456,364,0
201,4962,441.401397257,441.402190717,364,1
202,4962,441.434693014,441.434863274,365,0
203,4962,441.468030807,441.468235296,365,0
204,4962,441.501354831,441.502019875,365,1
205,4962,441.534696508,441.534817079,366,0
206,4962,441.568035994,441.568280866,366,0
207,4962,441.601360133,441.602014754,366,1
208,4962,441.634689311,441.634847496,367,0
209,4962,441.668032335,441.668182020,367,0
210,4962,441.701354129,441.702013557,367,1
211,4962,441.734699575,441.734816915,368,0
212,4962,441.768039791,441.768225512,368,0
213,4962,441.801356354,441.802036820,368,1
214,4962,441.834687493,441.834845639,369,0
215,4962,441.868036478,441.868178125,369,0
216,4962,441.901359810,441.902022585,369,1
217,4962,441.934695680,441.934807021,370,0
218,4962,441.968040819,441.968219272,370,0
219,4962,442.001359573,442.001996772,370,1
220,4962,442.034692364,442.034889085,371,0
221,4962,442.068065846,442.068211300,371,0
222,4962,442.101364178,442.102006915,371,1
223,4962,442.134692816,442.134808694,372,0
224,4962,442.168048106,442.168312747,372,0
225,4962,442.201362629,442.202030134,372,1
226,4962,442.234688882,442.234835606,373,0
227,4962,442.268039135,442.268259508,373,0
228,4962,442.301358850,442.302084813,373,1
229,4962,442.334687949,442.334798674,374,0
230,4962,442.368035086,442.368212923,374,0
231,4962,442.401418875,442.402088380,374,1
232,4962,442.434691900,442.434844969,375,0
233,4962,442.468051459,442.468240950,375,0
234,4962,442.501360329,442.502124522,375,1
235,4962,442.534698813,442.534809961,376,0
236,4962,442.568071025,442.568247016,376,0
237,4962,442.601360588,442.602014709,376,1
238,4962,442.634695225,442.634833680,377,0
239,4962,442.668027094,442.668266967,377,0
240,4962,442.701430920,442.702244072,377,1
241,4962,442.734711560,442.734892475,378,0
242,4962,442.768053390,442.768222074,378,0
243,4962,442.801418487,442.802133182,378,1
244,4962,442.834698282,442.834849966,379,0
245,4962,442.868040265,442.868175220,379,0
246,4962,442.901367249,442.902488231,379,1
247,4962,442.934701848,442.934806804,380,0
248,4962,442.968058831,442.968224630,380,0
249,4962,443.001364507,443.002302421,380,1
250,4962,443.034736948,443.034889364,381,0
251,4962,443.068053200,443.068270228,381,0
252,4962,443.101352569,443.102382094,381,1
253,4962,443.134712088,443.134818967,382,0
254,4962,443.168027379,443.168198909,382,0
255,4962,443.201363784,443.202361041,382,1
256,4962,443.234707265,443.234849873,383,0
257,4962,443.268028979,443.268154049,383,0
258,4962,443.301364922,443.302025312,383,1
259,4962,443.334705827,443.334810398,384,0
260,4962,443.368035270,443.369146407,384,1
261,4962,443.401367945,443.401519822,384,0
262,4962,443.434694043,443.434823036,385,0
263,4962,443.468080176,443.468208939,385,0
264,4962,443.501363545,443.502017820,385,1
265,4962,443.534692412,443.534802945,386,0
266,4962,443.568043393,443.568199001,386,0
267,4962,443.601368876,443.602031919,386,1
268,4962,443.634695127,443.634821198,387,0
269,4962,443.668024879,443.668146834,387,0
270,4962,443.701418088,443.702081094,387,1
271,4962,443.734688651,443.734792491,388,0
272,4962,443.768032940,443.768186432,388,0
273,4962,443.801365153,443.802333181,388,1
274,4962,443.834704211,443.834798514,389,0
275,4962,443.868066576,443.868216146,389,0
276,4962,443.901362983,443.902243208,389,1
277,4962,443.934698235,443.934795268,390,0
278,4962,443.968043139,443.968192016,390,0
279,4962,444.001432348,444.002131274,390,1
