iter,PID,start,end,instance,activation
0,4483,404.447110579,404.447114887,0,1
1,4483,404.547191217,404.547193640,0,1
2,4483,404.647193243,404.647196089,0,1
3,4483,404.747193884,404.774167413,0,1
4,4483,404.847189103,404.872482249,0,1
5,4483,404.947188706,404.965386804,0,1
6,4483,405.047192264,405.068819005,0,1
7,4483,405.147191896,405.165221424,0,1
8,4483,405.247191682,405.265272707,0,1
9,4483,405.347192160,405.365279993,0,1
10,4483,405.447194446,405.465293625,0,1
11,4483,405.547193117,405.565236452,0,1
12,4483,405.647194403,405.665233007,0,1
13,4483,405.747193151,405.765369864,0,1
14,4483,405.847182707,405.865288884,0,1
15,4483,405.947191761,405.965116909,0,1
16,4483,406.047193656,406.065295064,0,1
17,4483,406.147192587,406.165189076,0,1
18,4483,406.247193287,406.265160855,0,1
19,4483,406.347193141,406.365160978,0,1
20,4483,406.447191379,406.465232982,0,1
21,4483,406.547192579,406.565180069,0,1
22,4483,406.647190933,406.665254919,0,1
23,4483,406.747192364,406.765167624,0,1
24,4483,406.847184641,406.865042253,0,1
25,4483,406.947191956,406.965208868,0,1
26,4483,407.047201188,407.065707151,0,1
27,4483,407.147190533,407.165117371,0,1
28,4483,407.247272528,407.265707418,0,1
29,4483,407.347185608,407.365296975,0,1
30,4483,407.447190376,407.465081330,0,1
31,4483,407.547204143,407.565679454,0,1
32,4483,407.647185450,407.665324393,0,1
33,4483,407.747895877,407.766128853,0,1
34,4483,407.848042368,407.890369618,0,1
35,4483,407.947191408,407.965447614,0,1
36,4483,408.047190016,408.065210001,0,1
37,4483,408.147193621,408.165317447,0,1
38,4483,408.247191726,408.265485275,0,1
39,4483,408.347198293,408.365584529,0,1
40,4483,408.447191744,408.465279341,0,1
41,4483,408.547188811,408.565596393,0,1
42,4483,408.647192916,408.665192171,0,1
43,4483,408.747189637,408.765439842,0,1
44,4483,408.847192435,408.865545942,0,1
45,4483,408.947191271,408.965267368,0,1
46,4483,409.047192254,409.065666870,0,1
47,4483,409.147194274,409.165224026,0,1
48,4483,409.247194832,409.265640487,0,1
49,4483,409.347191967,409.365186567,0,1
50,4483,409.447192371,409.465167511,0,1
51,4483,409.547193468,409.565254603,0,1
52,4483,409.647191795,409.665248623,0,1
53,4483,409.747192699,409.765334331,0,1
54,4483,409.847188796,409.865452768,0,1
55,4483,409.947193585,409.965147648,0,1
56,4483,410.047191368,410.065355843,0,1
57,4483,410.147189417,410.165379391,0,1
58,4483,410.247193197,410.265468167,0,1
59,4483,410.347196785,410.365466717,0,1
60,4483,410.447195989,410.465466535,0,1
61,4483,410.547199000,410.565438509,0,1
62,4483,410.647193203,410.665221800,0,1
63,4483,410.747195791,410.765280577,0,1
64,4483,410.847192187,410.865236437,0,1
65,4483,410.947194121,410.965208488,0,1
66,4483,411.047191857,411.065207414,0,1
67,4483,411.147191513,411.165214917,0,1
68,4483,411.247193093,411.265133539,0,1
69,4483,411.347193634,411.365247959,0,1
70,4483,411.447190598,411.465206040,0,1
71,4483,411.547192639,411.565229273,0,1
72,4483,411.647194526,411.665191354,0,1
73,4483,411.747194414,411.765232201,0,1
74,4483,411.847191916,411.865255779,0,1
75,4483,411.947206995,411.965245975,0,1
76,4483,412.047192223,412.065267353,0,1
77,4483,412.147192525,412.165150776,0,1
78,4483,412.247193058,412.265302263,0,1
79,4483,412.347194668,412.365292835,0,1
80,4483,412.447193085,412.465169835,0,1
81,4483,412.547191311,412.565229135,0,1
82,4483,412.647192343,412.665344816,0,1
83,4483,412.747192722,412.765203701,0,1
84,4483,412.847191870,412.865649674,0,1
85,4483,412.947192942,412.965346491,0,1
86,4483,413.047186969,413.065151218,0,1
87,4483,413.147190839,413.165143782,0,1
88,4483,413.247188018,413.265224148,0,1
89,4483,413.347191389,413.365225673,0,1
90,4483,413.447189683,413.465240081,0,1
91,4483,413.547188207,413.565183455,0,1
92,4483,413.647189463,413.665146404,0,1
93,4483,413.747192372,413.765217156,0,1
94,4483,413.847190743,413.865197067,0,1
95,4483,413.947184537,413.965163247,0,1
96,4483,414.047194209,414.065177533,0,1
97,4483,414.147193610,414.165231508,0,1
98,4483,414.247190435,414.265347481,0,1
99,4483,414.347193951,414.365200543,0,1
100,4483,414.447192814,414.465173753,0,1
101,4483,414.547192523,414.565444180,0,1
102,4483,414.647192462,414.665153479,0,1
103,4483,414.747192556,414.765332026,0,1
104,4483,414.847191995,414.865230393,0,1
105,4483,414.947191474,414.965335905,0,1
106,4483,415.047191254,415.065200113,0,1
107,4483,415.147200608,415.165201122,0,1
108,4483,415.247194309,415.265374699,0,1
109,4483,415.347191780,415.365316595,0,1
110,4483,415.447194211,415.465152919,0,1
111,4483,415.547193489,415.565173619,0,1
112,4483,415.647191036,415.665256470,0,1
113,4483,415.747191968,415.765442085,0,1
114,4483,415.847194707,415.865239181,0,1
115,4483,415.947192216,415.965295763,0,1
116,4483,416.047192950,416.065214923,0,1
117,4483,416.147192720,416.165251076,0,1
118,4483,416.247192067,416.265169004,0,1
119,4483,416.347191568,416.365234925,0,1
120,4483,416.447190030,416.465154083,0,1
121,4483,416.547189724,416.565171929,0,1
122,4483,416.647187263,416.665243311,0,1
123,4483,416.747188533,416.765180546,0,1
124,4483,416.847188419,416.865214276,0,1
125,4483,416.947191765,416.965172163,0,1
126,4483,417.047193953,417.065188195,0,1
127,4483,417.147182101,417.165133922,0,1
128,4483,417.247193939,417.265301330,0,1
129,4483,417.347189740,417.365164060,0,1
130,4483,417.447187465,417.465260703,0,1
131,4483,417.547188611,417.565206583,0,1
132,4483,417.647189412,417.665399221,0,1
133,4483,417.747194905,417.765208070,0,1
134,4483,417.847187937,417.865172795,0,1
135,4483,417.947187469,417.965211133,0,1
136,4483,418.047189764,418.065581447,0,1
137,4483,418.147192211,418.165106917,0,1
138,4483,418.247191082,418.265194360,0,1
139,4483,418.347187260,418.365186000,0,1
140,4483,418.447181553,418.465596158,0,1
141,4483,418.547190923,418.565207163,0,1
142,4483,418.647190370,418.665205495,0,1
143,4483,418.747193048,418.765258939,0,1
144,4483,418.847192072,418.865183582,0,1
145,4483,418.947193365,418.965212605,0,1
146,4483,419.047192923,419.065307618,0,1
147,4483,419.147196016,419.165348209,0,1
148,4483,419.247191841,419.265213117,0,1
149,4483,419.347191165,419.365311129,0,1
150,4483,419.447197258,419.465226265,0,1
151,4483,419.547190429,419.565183669,0,1
152,4483,419.647190677,419.665583320,0,1
153,4483,419.747193808,419.765497610,0,1
154,4483,419.847194517,419.865430322,0,1
155,4483,419.947193303,419.965456491,0,1
156,4483,420.047193161,420.065427772,0,1
157,4483,420.147191324,420.165214599,0,1
158,4483,420.247192449,420.265154304,0,1
159,4483,420.347193420,420.365231194,0,1
160,4483,420.447190391,420.465284816,0,1
161,4483,420.547192092,420.565225021,0,1
162,4483,420.647191948,420.665161226,0,1
163,4483,420.747191880,420.765277191,0,1
164,4483,420.847191236,420.865308468,0,1
165,4483,420.947190860,420.965479315,0,1
166,4483,421.047194480,421.065254444,0,1
167,4483,421.147192136,421.165232755,0,1
168,4483,421.247192253,421.265220412,0,1
169,4483,421.347182333,421.365150148,0,1
170,4483,421.447193911,421.465224608,0,1
171,4483,421.547184952,421.565121846,0,1
172,4483,421.647191070,421.665271995,0,1
173,4483,421.747193533,421.765191962,0,1
174,4483,421.847191497,421.865227232,0,1
175,4483,421.947188499,421.965193851,0,1
176,4483,422.047190112,422.065182040,0,1
177,4483,422.147190145,422.165262223,0,1
178,4483,422.247189756,422.265170723,0,1
179,4483,422.347183751,422.365144757,0,1
180,4483,422.447196130,422.465248824,0,1
181,4483,422.547195087,422.565223090,0,1
182,4483,422.647190928,422.665162472,0,1
183,4483,422.747192538,422.765137930,0,1
184,4483,422.847191533,422.865198884,0,1
185,4483,422.947191951,422.965164611,0,1
186,4483,423.047193826,423.065191445,0,1
187,4483,423.147185391,423.165411768,0,1
188,4483,423.247188033,423.265251533,0,1
189,4483,423.347160869,423.365564160,0,1
190,4483,423.447193394,423.465360773,0,1
191,4483,423.547191882,423.565405990,0,1
192,4483,423.647193254,423.665408901,0,1
193,4483,423.747192050,423.765337162,0,1
194,4483,423.847191038,423.865396108,0,1
195,4483,423.947192565,423.965223143,0,1
196,4483,424.047192279,424.065273161,0,1
197,4483,424.147194721,424.165211376,0,1
198,4483,424.247194510,424.265214665,0,1
199,4483,424.347193414,424.365181725,0,1
200,4483,424.447193665,424.465203436,0,1
201,4483,424.547190185,424.565324065,0,1
202,4483,424.647189781,424.665242396,0,1
203,4483,424.747189185,424.765287144,0,1
204,4483,424.847192090,424.865283241,0,1
205,4483,424.947193878,424.965230263,0,1
206,4483,425.047193547,425.065220239,0,1
207,4483,425.147193598,425.165433126,0,1
208,4483,425.247187842,425.265387949,0,1
209,4483,425.347192086,425.365194433,0,1
210,4483,425.447194522,425.465246174,0,1
211,4483,425.547203572,425.565247802,0,1
212,4483,425.647188855,425.665160434,0,1
213,4483,425.747191483,425.765273980,0,1
214,4483,425.847208688,425.865342143,0,1
215,4483,425.947198586,425.965214970,0,1
216,4483,426.047194940,426.065210978,0,1
217,4483,426.147193177,426.165257328,0,1
218,4483,426.247191953,426.265209606,0,1
219,4483,426.347192575,426.365312145,0,1
220,4483,426.447192696,426.465216887,0,1
221,4483,426.547201548,426.565404038,0,1
222,4483,426.647186247,426.666368304,0,1
223,4483,426.747190023,426.765727111,0,1
224,4483,426.848029103,426.866239823,0,1
225,4483,426.947188343,426.966857760,0,1
226,4483,427.047200921,427.065426793,0,1
227,4483,427.147224342,427.165577477,0,1
228,4483,427.247189190,427.265214379,0,1
229,4483,427.347192420,427.365604667,0,1
230,4483,427.448090568,427.466041184,0,1
231,4483,427.547193573,427.565512210,0,1
232,4483,427.647193342,427.665568668,0,1
233,4483,427.747191726,427.777497619,0,1
234,4483,427.847191341,427.865172879,0,1
235,4483,427.947193033,427.971221696,0,1
236,4483,428.047224258,428.067403917,0,1
237,4483,428.147232712,428.165281284,0,1
238,4483,428.247197361,428.268524732,0,1
239,4483,428.347197315,428.366207878,0,1
240,4483,428.447190694,428.467894096,0,1
241,4483,428.547209070,428.566441007,0,1
242,4483,428.647188834,428.668691774,0,1
243,4483,428.747293245,428.768660538,0,1
244,4483,428.847193359,428.866173923,0,1
245,4483,428.947252349,428.971560266,0,1
246,4483,429.047195494,429.068529133,0,1
247,4483,429.147193289,429.168884987,0,1
248,4483,429.247528528,429.271890249,0,1
249,4483,429.347196185,429.367228543,0,1
250,4483,429.448089244,429.467501555,0,1
251,4483,429.547191967,429.566662237,0,1
252,4483,429.647197877,429.667489067,0,1
253,4483,429.748251427,429.767238836,0,1
254,4483,429.847191158,429.868645830,0,1
255,4483,429.947194722,429.969493814,0,1
256,4483,430.047195358,430.065581565,0,1
257,4483,430.147186070,430.166075713,0,1
258,4483,430.247186166,430.277920724,0,1
259,4483,430.352331315,430.370350886,0,1
260,4483,430.447194665,430.465627870,0,1
261,4483,430.547202607,430.572631389,0,1
262,4483,430.647199857,430.666635819,0,1
263,4483,430.747190800,430.766731488,0,1
264,4483,430.847185973,430.867229020,0,1
265,4483,430.947193222,430.969683341,0,1
266,4483,431.047199583,431.073837418,0,1
267,4483,431.147195596,431.166211578,0,1
268,4483,431.247197262,431.266165824,0,1
269,4483,431.347215121,431.369632319,0,1
270,4483,431.447282169,431.468698455,0,1
271,4483,431.547193609,431.565697501,0,1
272,4483,431.647196083,431.668072050,0,1
273,4483,431.747418047,431.767271372,0,1
274,4483,431.847192225,431.866473617,0,1
275,4483,431.947206621,431.965290650,0,1
276,4483,432.047193861,432.066865194,0,1
277,4483,432.147194637,432.166628598,0,1
278,4483,432.247186375,432.268535510,0,1
279,4483,432.347191997,432.366138751,0,1
280,4483,432.447198619,432.466996946,0,1
281,4483,432.547197549,432.566847768,0,1
282,4483,432.656059771,432.678731571,0,1
283,4483,432.747322095,432.770086121,0,1
284,4483,432.847199185,432.867252615,0,1
285,4483,432.948354519,432.968790738,0,1
286,4483,433.047197887,433.067417038,0,1
287,4483,433.148053807,433.165881923,0,1
288,4483,433.247193774,433.265599245,0,1
289,4483,433.347200351,433.365583631,0,1
290,4483,433.447348768,433.468320189,0,1
291,4483,433.547190430,433.581859980,0,1
292,4483,433.647198008,433.673368479,0,1
293,4483,433.747198739,433.772763817,0,1
294,4483,433.847189010,433.869950765,0,1
295,4483,433.947416999,433.969307260,0,1
296,4483,434.047190430,434.070003490,0,1
297,4483,434.147197733,434.168450446,0,1
298,4483,434.247196843,434.268542552,0,1
