iter,PID,start,end,instance,activation
0,4963,435.018521686,435.018588029,300,1
1,4963,435.118521868,435.118584442,301,1
2,4963,435.218512819,435.218611776,302,1
3,4963,435.318515308,435.318586074,303,1
4,4963,435.418514259,435.418616023,304,1
5,4963,435.518513094,435.518578591,305,1
6,4963,435.618467278,435.618542621,306,1
7,4963,435.718515304,435.718593069,307,1
8,4963,435.818516524,435.818585251,308,1
9,4963,435.918505821,435.918613969,309,1
10,4963,436.018509269,436.018587265,310,1
11,4963,436.118518560,436.118620901,311,1
12,4963,436.218516774,436.218577540,312,1
13,4963,436.318517373,436.318585716,313,1
14,4963,436.418517741,436.418585315,314,1
15,4963,436.518519186,436.518594413,315,1
16,4963,436.618517939,436.618585474,316,1
17,4963,436.718507615,436.718598111,317,1
18,4963,436.818591672,436.818671052,318,1
19,4963,436.918510967,436.918601616,319,1
20,4963,437.018513833,437.018617135,320,1
21,4963,437.118513541,437.118583115,321,1
22,4963,437.218519788,437.218595554,322,1
23,4963,437.318517843,437.318617184,323,1
24,4963,437.418514860,437.418613470,324,1
25,4963,437.518468801,437.518558643,325,1
26,4963,437.618517046,437.618583274,326,1
27,4963,437.718507255,437.718599943,327,1
28,4963,437.818512695,437.818615151,328,1
29,4963,437.918455906,437.918521826,329,1
30,4963,438.018515879,438.018619027,330,1
31,4963,438.118515197,438.118617692,331,1
32,4963,438.218512555,438.218700084,332,1
33,4963,438.318508950,438.318570947,333,1
34,4963,438.418513576,438.418597957,334,1
35,4963,438.518508049,438.518589045,335,1
36,4963,438.618518982,438.618598824,336,1
37,4963,438.718512301,438.718580952,337,1
38,4963,438.818515504,438.818577540,338,1
39,4963,438.918513900,438.918581781,339,1
40,4963,439.018513024,439.018571252,340,1
41,4963,439.118509183,439.118578834,341,1
42,4963,439.218508650,439.218608684,342,1
43,4963,439.318521194,439.318581152,343,1
44,4963,439.418519391,439.418582581,344,1
45,4963,439.518506282,439.518568510,345,1
46,4963,439.618518441,439.618582745,346,1
47,4963,439.718507178,439.718580520,347,1
48,4963,439.818505299,439.818570795,348,1
49,4963,439.918509150,439.918578531,349,1
50,4963,440.018506615,440.018615686,350,1
51,4963,440.118520499,440.118617533,351,1
52,4963,440.218565266,440.218635532,352,1
53,4963,440.318512846,440.318661992,353,1
54,4963,440.418511615,440.418606341,354,1
55,4963,440.518510154,440.518575189,355,1
56,4963,440.618513923,440.618612610,356,1
57,4963,440.718510039,440.718571728,357,1
58,4963,440.818509769,440.818570382,358,1
59,4963,440.918539768,440.918604226,359,1
60,4963,441.018512075,441.018612185,360,1
61,4963,441.118506493,441.118565990,361,1
62,4963,441.218503681,441.218561755,362,1
63,4963,441.318551135,441.318610708,363,1
64,4963,441.418512247,441.418612703,364,1
65,4963,441.518511434,441.518619582,365,1
66,4963,441.618502314,441.618563272,366,1
67,4963,441.718511539,441.718611880,367,1
68,4963,441.818511342,441.818610298,368,1
69,4963,441.918511221,441.918579064,369,1
70,4963,442.018512906,442.018581826,370,1
71,4963,442.118512819,442.118617390,371,1
72,4963,442.218510885,442.218609034,372,1
73,4963,442.318926700,442.318994697,373,1
74,4963,442.418555978,442.418612629,374,1
75,4963,442.518508547,442.518611580,375,1
76,4963,442.618499806,442.618608993,376,1
77,4963,442.718517833,442.718627174,377,1
78,4963,442.818532938,442.818603857,378,1
79,4963,442.918515428,442.918621231,379,1
80,4963,443.018473264,443.018583528,380,1
81,4963,443.118522977,443.118609242,381,1
82,4963,443.218528269,443.218637302,382,1
83,4963,443.318523177,443.318642094,383,1
84,4963,443.418528238,443.418615888,384,1
85,4963,443.518523223,443.518601527,385,1
86,4963,443.618524977,443.618620741,386,1
87,4963,443.718527000,443.718598842,387,1
88,4963,443.818509870,443.818570020,388,1
89,4963,443.918524815,443.918603734,389,1
90,4963,444.018522067,444.018629792,390,1
91,4963,444.118512970,444.118609811,391,1
92,4963,444.218514449,444.218612983,392,1
93,4963,444.318508891,444.318571272,393,1
94,4963,444.418512909,444.418583597,394,1
95,4963,444.518518234,444.518576654,395,1
96,4963,444.618516829,444.618573711,396,1
97,4963,444.718505809,444.718599804,397,1
98,4963,444.818504904,444.818562670,398,1
99,4963,444.918508614,444.918606302,399,1
100,4963,445.018515668,445.018617125,400,1
101,4963,445.118620484,445.118676789,401,1
102,4963,445.218511310,445.218609459,402,1
103,4963,445.318524553,445.318585781,403,1
104,4963,445.418505029,445.418564680,404,1
105,4963,445.518515234,445.518613306,405,1
106,4963,445.618507863,445.618566975,406,1
107,4963,445.718516414,445.718588679,407,1
108,4963,445.818509543,445.818613037,408,1
109,4963,445.918516055,445.918622896,409,1
110,4963,446.018515566,446.018615177,410,1
111,4963,446.118516305,446.118529266,410,0
112,4963,446.218513160,446.218617193,411,1
113,4963,446.318504515,446.318578742,412,1
114,4963,446.418505792,446.418567481,414,1
115,4963,446.518508992,446.518522569,414,0
116,4963,446.618508385,446.618521346,414,0
117,4963,446.718515432,446.718589505,416,1
118,4963,446.818508748,446.818570476,417,1
119,4963,446.918512333,446.918613905,418,1
120,4963,447.018885859,447.018946394,420,1
121,4963,447.118520150,447.118617029,421,1
122,4963,447.218510615,447.218609264,422,1
123,4963,447.318520464,447.318586384,423,1
124,4963,447.418509584,447.418607809,424,1
125,4963,447.518507779,447.518566276,425,1
126,4963,447.618521897,447.618584856,426,1
127,4963,447.718514286,447.718574706,427,1
128,4963,447.818513674,447.818589324,428,1
129,4963,447.918527677,447.918540368,428,0
130,4963,448.018508410,448.018571560,429,1
131,4963,448.118511216,448.118571944,431,1
132,4963,448.218522945,448.218633555,432,1
133,4963,448.318507368,448.318567749,433,1
134,4963,448.419013687,448.419029571,433,0
135,4963,448.518517788,448.518624282,434,1
136,4963,448.618514633,448.618617204,436,1
137,4963,448.718508939,448.718578359,437,1
138,4963,448.818510438,448.818609856,438,1
139,4963,448.918515244,448.918581510,439,1
140,4963,449.018515702,449.018618543,440,1
141,4963,449.118517812,449.118587077,441,1
142,4963,449.218509537,449.218616108,442,1
