x,y
57.022,1.363
57.098,2.426
57.059,3.416
57.023,4.574
57.07,5.583
57.1,6.597
57.156,7.638
57.129,8.815
57.127,9.931
57.174,11.076
57.188,12.173
57.123,13.321
57.126,14.417
57.096,15.474
57.122,16.501
57.107,17.566
57.082,18.635
57.116,19.72
57.066,20.748
57.038,21.763
56.977,22.826
56.94,23.656
56.904,24.485
56.867,25.315
56.831,26.145
56.794,26.975
56.758,27.805
56.721,28.634
56.685,29.464
56.648,30.294
56.612,31.124
56.575,31.953
56.539,32.783
56.502,33.613
56.466,34.443
56.43,35.273
56.324,36.408
56.191,37.608
56.023,38.769
55.803,39.889
55.524,40.987
55.119,42.13
54.733,43.114
54.154,44.349
53.721,45.299
53.191,46.161
52.672,47.028
52.108,47.914
51.26,48.796
50.421,49.807
49.582,50.596
48.792,51.357
48.018,52.057
46.973,52.735
46.144,53.283
45.238,53.897
44.257,54.324
43.321,54.764
42.23,55.23
41.228,55.577
40.117,55.872
39.009,56.097
37.931,56.275
36.827,56.423
35.755,56.554
34.633,56.659
33.413,56.705
32.337,56.703
31.137,56.705
29.932,56.729
28.877,56.731
27.677,56.751
26.521,56.787
25.33,56.754
24.219,56.763
23.224,56.756
22.071,56.784
21.024,56.785
19.945,56.817
18.915,56.811
17.803,56.832
16.801,56.831
15.716,56.831
14.422,56.879
13.405,56.884
12.377,56.915
11.314,56.925
10.293,56.912
9.116,56.913
8.098,56.95
7.094,56.958
6.082,56.977
4.92,56.965
3.691,57.012
2.534,57.012
1.525,57.028
0.356,57.049
-0.771,57.031
-1.905,57.05
-3.07,57.026
-4.23,57.05
-5.298,57.055
-6.45,57.071
-7.604,57.052
-8.716,57.028
-9.764,57.037
-10.879,57.019
-11.91,57.047
-13.039,57.0
-14.115,57.025
-15.293,57.05
-16.409,57.031
-17.575,57.025
-18.62,57.049
-19.817,57.077
-20.866,57.028
-22.093,56.994
-23.223,56.971
-24.409,57.011
-25.57,56.981
-26.612,56.916
-27.718,56.908
-28.851,56.907
-29.946,56.865
-31.023,56.967
-32.128,56.944
-33.199,56.938
-34.222,56.947
-35.283,56.854
-36.301,56.762
-37.318,56.678
-38.319,56.523
-39.362,56.28
-40.361,56.084
-41.332,55.827
-42.385,55.424
-43.388,55.161
-44.365,54.719
-45.29,54.177
-46.224,53.727
-47.158,53.214
-47.993,52.648
-48.81,51.93
-49.595,51.233
-50.314,50.483
-51.154,49.863
-51.844,49.123
-52.541,48.28
-53.155,47.358
-53.69,46.436
-54.18,45.406
-54.65,44.531
-55.034,43.515
-55.456,42.592
-55.741,41.628
-55.929,40.598
-56.168,39.591
-56.311,38.569
-56.431,37.565
-56.49,36.493
-56.56,35.492
-56.663,34.428
-56.653,33.256
-56.664,32.256
-56.703,31.166
-56.735,30.101
-56.745,28.978
-56.801,27.912
-56.804,26.811
-56.86,25.802
-56.834,24.605
-56.859,23.561
-56.833,22.557
-56.876,21.287
-56.916,20.168
-56.926,18.993
-56.959,17.77
-56.965,16.597
-56.994,15.33
-57.084,14.057
-57.058,13.061
-57.066,12.036
-57.104,10.737
-57.17,9.748
-57.161,8.686
-57.213,7.43
-57.243,6.161
-57.273,4.852
-57.329,3.618
-57.311,2.34
-57.322,1.07
-57.441,-0.092
-57.402,-1.318
-57.437,-2.611
-57.466,-3.862
-57.444,-5.036
-57.481,-6.219
-57.472,-7.439
-57.484,-8.689
-57.487,-9.988
-57.515,-11.04
-57.558,-12.194
-57.605,-13.214
-57.621,-14.266
-57.567,-15.337
-57.556,-16.334
-57.559,-17.328
-57.614,-18.383
-57.632,-19.392
-57.575,-20.722
-57.566,-21.768
-57.593,-23.074
-57.581,-24.368
-57.53,-25.393
-57.507,-26.402
-57.374,-27.713
-57.298,-28.964
-57.318,-29.986
-57.289,-31.259
-57.221,-32.435
-57.146,-33.712
-57.064,-34.885
-56.997,-36.044
-56.711,-37.301
-56.456,-38.564
-56.077,-39.737
-55.857,-40.838
-55.34,-41.74
-54.849,-42.908
-54.352,-44.032
-53.835,-45.038
-53.345,-46.047
-52.896,-47.032
-52.25,-47.966
-51.662,-48.794
-50.924,-49.739
-49.978,-50.72
-48.706,-51.648
-48.056,-52.615
-47.182,-53.289
-46.324,-53.874
-45.189,-54.426
-44.32,-54.943
-43.227,-55.311
-42.011,-55.792
-40.773,-56.131
-39.607,-56.42
-38.492,-56.536
-37.5,-56.713
-36.421,-56.86
-35.324,-56.882
-34.205,-56.905
-33.019,-56.888
-31.938,-56.937
-30.799,-56.972
-29.722,-56.961
-28.606,-56.942
-27.468,-57.0
-26.381,-57.013
-25.204,-57.075
-24.178,-57.077
-23.097,-57.055
-22.018,-57.044
-20.903,-57.084
-19.709,-57.066
-18.656,-57.072
-17.616,-57.078
-16.575,-57.04
-15.547,-57.045
-14.501,-57.081
-13.439,-57.114
-12.43,-57.069
-11.415,-57.076
-10.246,-57.1
-9.009,-57.077
-7.939,-57.078
-6.732,-57.05
-5.543,-57.033
-4.549,-57.004
-3.394,-57.002
-2.284,-57.014
-1.271,-57.015
-0.164,-57.008
0.957,-57.006
2.148,-57.003
3.289,-57.01
4.404,-57.019
5.473,-57.017
6.586,-57.016
7.728,-57.021
8.818,-56.987
9.913,-57.002
10.987,-57.01
12.029,-57.014
13.048,-57.018
14.101,-57.003
15.131,-56.962
16.152,-56.99
17.351,-56.996
18.404,-56.999
19.548,-56.975
20.596,-56.95
21.593,-56.949
22.767,-56.948
23.889,-56.974
25.087,-56.962
26.344,-56.972
27.552,-56.981
28.752,-56.973
29.877,-56.964
30.987,-56.981
32.122,-56.957
33.34,-57.0
34.457,-56.924
35.607,-56.847
36.655,-56.717
37.719,-56.606
38.696,-56.409
39.824,-56.166
40.873,-55.988
41.936,-55.647
42.936,-55.311
43.95,-54.88
44.848,-54.46
45.757,-53.875
46.718,-53.349
47.526,-52.729
48.265,-51.968
50.175,-50.233
51.118,-49.304
51.876,-48.418
52.552,-47.611
53.41,-46.665
53.977,-45.842
54.144,-44.84
54.627,-43.792
55.136,-42.85
55.713,-41.842
55.994,-40.826
56.271,-39.8
56.513,-38.778
56.647,-37.74
56.759,-36.748
56.866,-35.742
56.862,-34.728
56.921,-33.648
56.894,-32.648
56.895,-31.546
56.881,-30.498
56.886,-29.465
56.93,-28.417
56.899,-27.362
56.959,-26.316
56.964,-25.319
56.947,-24.327
56.966,-23.299
57.011,-22.233
57.027,-21.151
56.972,-20.107
57.026,-19.015
56.979,-18.004
56.93,-16.987
56.995,-15.97
57.001,-14.843
57.0337388916625,-12.370152770843752
57.059,-12.307
57.023,-11.149
57.07,-10.14
57.1,-9.126
57.156,-8.085
57.129,-6.908
57.127,-5.792
57.174,-4.647
